sp027-000001_001	पायस प्रहसनम्
sp027-000635_019	भवान् श्मशानम् गच्छतु
sp027-000636_019	तानि शवस्थानानि निन्दित्वा तेषाम् अपमाननम् करोतु
sp027-000637_019	तथापि गुरोः वचनम् पालयन् सः श्मशानम् गत्वा शवस्थानानि सम्यक् निन्दितवान्
sp027-000638_019	तदा गुरुः पृष्टवान् मया यथा उक्तम् तथैव कृतम् ननु
sp027-000639_019	आम् गुरुवर्य भवतः वचनम् यथावत् पालितम्
sp027-000640_019	अधुना पुनः अपि तत्रैव गन्तव्यम् भवता
sp027-000641_019	इदानीम् मया तत्र किम् करणीयम्
sp027-000642_019	पुष्पाणि समर्प्य तेषाम् प्रशंसा करणीया
sp027-000643_019	सम्माननम् च प्रदर्शनीयम्
sp027-000644_019	शिष्यः इदानीम् अपि गुरोः आदेशम् यथावत् पालितवान्
sp027-000645_019	पुनः गुरोः समीपम् आगतवान् च
sp027-000646_019	गुरुः पृष्टवान् वत्स स्मारकाणि यदा भवता अपमानितानि तदा तैः किम् कृतम्
sp027-000647_019	अथ भवता यदा सम्माननम् कृतम् तदा तैः किम् कृतम्
sp027-000648_019	तदा अपि न किमपि कृतम् तैः
sp027-000649_019	निर्जीवानि तानि किम् वा कुर्युः
sp027-000650_019	जीवने अपमानावसराः यथा तथैव प्रशंसावसराः अपि भवन्ति
sp027-000651_019	अवसरद्वये अपि यः मौनेन तिष्ठति
sp027-000652_019	यश्च प्रत्युत्तरम् अयच्छन् विकारम् कमपि न प्राप्नोति सः एव जीवने समाधानम् प्राप्नोति
sp027-000653_019	समाधानम् प्राप्तुम् अयम् एव योग्यः मार्गः इति बोधितवान् गुरुः
sp027-000654_020	अन्ते या मतिः गतिस्सा
sp027-000655_020	कथाकारः अक्षरप्रियदासः
sp027-000656_020	कस्मिंश्चित् आश्रमे कश्चन गुरुः वसति स्म
sp027-000657_020	सः अतीव प्रसिद्धः आसीत्
sp027-000658_020	बहवः शिष्याः तस्य आश्रमे स्थित्वा पठन्ति स्म
sp027-000659_020	गुरुः तान् बहु सम्यक् अध्यापयति स्म
sp027-000660_020	कदाचित् पाठसमये गुरुः शिष्यान् उक्तवान्
sp027-000661_020	अन्ते या मतिः सा गतिः इति एका उक्तिः अस्ति
sp027-000662_020	तन्नाम मनुष्यः मरणदशायाम् अन्तिमे क्षणे यत् चिन्तयति तामेव गतिम् प्राप्नोति इति
sp027-000663_020	पुनः कदाचित् सः शिष्यान् उक्तवान्
sp027-000664_020	मम मरणम् सामान्यानाम् लौकिकानाम् मरणम् इव न भविष्यति
sp027-000665_020	मम शरीर त्यागसमनन्तरमेव आकाशे देवदुन्दुभीनाम् उद्घोषः भविष्यति
sp027-000666_020	ततः केषाञ्चित् मासानाम् अनन्तरम् गुरुः अस्वस्थः जातः
sp027-000667_020	शिष्याः उत्तमस्य वैद्यस्य द्वारा तस्य चिकित्साम् कारितवन्तः
sp027-000668_020	तथापि किमपि प्रयोजनम् न अभवत्
sp027-000669_020	ततः गुरुः शिष्यान् सूचितवान् आश्रमात् बहिः स्थितस्य बदरीवृक्षस्य अधः मम शय्याम् प्रसारयन्तु इति
sp027-000670_020	शिष्याः तथैव कृतवन्तः
sp027-000671_020	गुरुः तत्रैव शयनम् कृतवान्
sp027-000672_020	शिष्याः चिन्तितवन्तः यत् गुरोः प्राणनिष्क्रमणम् सञ्जातम् इति
sp027-000673_020	किमर्थम् एवम् सञ्जातम् इति चिन्तयन्तः ते उपविष्टवन्तः
sp027-000674_020	तेषु कश्चन चतुरः छात्रः आसीत्
sp027-000675_020	सः उक्तवान् गुरुः नैव मृतः
sp027-000676_020	यतः यदि सः मृतः स्यात् तर्हि आकाशे देवदुन्दुभिघोषः भवेत् एव
sp027-000677_020	अतः अत्र किमपि विशिष्टम् कारणम् स्यात्
sp027-000678_020	अहम् परिशीलयामि इति
sp027-000679_020	ततः सः गुरोः शरीरम् यत्र यादृशस्थितौ आसीत् तत्र तादृशस्थितौ एव शयितवान्
sp027-000680_020	सः चिन्तितवान् यत् एतदेव कारणम् इति
sp027-000681_020	तदनन्तरम् सः तत् बदरीफलम् अवतार्य छुरिकया तत् भिन्नम् कृतवान्
sp027-000682_020	शिष्याः ज्ञातवन्तः यत् गुरुः अन्तिमे क्षणे तत् फलमेव पश्यन् प्राणान् त्यक्तवान्
sp027-000683_020	तत्र एव तस्य मतिः आसीत्
sp027-000684_020	अतः सः ताम् गतिम् प्राप्तवान्
sp027-000685_020	फले भिन्ने सति तस्य प्राणाः वैकुण्ठम् प्राप्तवन्तः इति
sp027-000686_021	अन्तरार्थः
sp027-000687_021	कश्चन प्रदेशः आसीत्
sp027-000688_021	तत्र काचित् नदी प्रवहति स्म
sp027-000689_021	नदीतीरे कश्चन सन्न्यासी स्वशिष्यैः सह आश्रमम् निर्माय वसति स्म
sp027-000690_021	तेन तस्याम् नौकायाम् स्थिताः सर्वे अपि मरणम् प्राप्तवन्तः
sp027-000691_021	तत् सर्वम् दृष्ट्वा सन्न्यासी शिष्यान् उक्तवान्
sp027-000692_021	तस्याम् नौकायाम् स्थितेषु कश्चित् दुष्टः आसीत् इति मन्ये
sp027-000693_021	अतः एव ते सर्वे अपि मरणम् प्राप्तवन्तः इति
sp027-000694_021	शिष्याः गुरोः वचनम् अनङ्गीकुर्वन्तः उक्तवन्तः
sp027-000695_021	एकः दुष्टः अस्ति चेत् सर्वे अपि कथम् मरणम् प्राप्नुवन्ति
sp027-000696_021	एतत् तु असमीचीनम् एव इति
sp027-000697_021	सन्न्यासी तु मन्दहासम् कृत्वा तूष्णीम् स्थितवान्
sp027-000698_021	किञ्चित् समायानन्तरम् तेषाम् नौका अन्यत् तीरम् आगता
sp027-000699_021	सर्वे अपि नौकातः अवतीर्णाः
sp027-000700_021	तीरे अनेकाः शुक्तयः पतिताः आसन्
sp027-000701_021	तावता शङ्खे विद्यमानाः पिपीलिकाः बहिः आगताः
sp027-000702_021	तासु एका पिपीलिका तस्य हस्तम् अदशत्
sp027-000703_021	प्रवाहेण नीताश्च अभवन्
sp027-000704_021	सर्वे अपि एताम् घटनाम् दृष्टवन्तः
sp027-000705_021	तदा सन्न्यासी शिष्यान् उक्तवान्
sp027-000706_021	भोः सर्वे अपि भवन्तः एतत् अवलोकितवन्तः खलु
sp027-000707_021	भवताम् मित्रम् एका एव पिपीलिका अदशत्
sp027-000708_021	किन्तु तस्याः कारणतः तया सह स्थिताः सर्वाः अपि पिपीलिकाः जले पतित्वा प्राणान् अत्यजन्
sp027-000709_021	पापात्मा एकः एव चेदपि तस्य प्रभावः परितः विद्यमानानाम् सज्जनानाम् उपरि भवति एव
sp027-000710_021	तत्र एषा घटना एव प्रमाणम् इति
sp027-000711_021	इदानीम् शिष्याः गुरोः वचनम् अङ्गीकृत्वन्तः
sp027-000712_022	एकमतिः विजयते
sp027-000713_022	कथाकारः डाक्टर् कमलेश कुमारः
sp027-000714_022	कस्मिंश्चित् अरण्ये शशः सर्पः कच्छपः शृगालः च इति चत्वारः स्नेहेन वासम् कुर्वन्ति स्म
sp027-000715_022	एकदा तेषु एव काचित् चर्चा प्रवृत्ता
sp027-000716_022	चर्चायाम् अयम् विषयः प्रस्तापितः यत् यदि अकस्मात् एतत् अरण्यम् अग्निना प्रज्वलितम् भविष्यति तर्हि अस्माभिः किम् करणीयम् इति
sp027-000717_022	चत्वारः अपि स्वमतानुसारम् विषयम् प्रस्तुतवन्तः
sp027-000718_022	शतमतिः शशः उक्तवान् अहम् शतधा परिशील्य वदनस्मि यत् वने प्रज्वलिते सति बिलम् प्रवेष्टव्यम्
sp027-000719_022	नास्ति अन्यः उपायः इति
sp027-000720_022	सहस्रमतिः सर्पः उक्तवान् मम मतम् तु वृक्षारोहणस्य अस्ति
sp027-000721_022	वनम् यदा अग्निना दह्यते तदा अस्माभिः सर्वैः अपि वृक्षारोहणम् करणीयम्
sp027-000722_022	न तु अन्यत्र कुत्रापि गन्तव्यम् इति
sp027-000723_022	नैसर्गिकेन कवचेन युक्तः कोटिमतिः कच्छपः एवम् उक्तवान्
sp027-000724_022	त्रयाणामपि मतम् शृण्वन् उपविष्टः एकमतिः शृगालः उक्तवान्
sp027-000725_022	मित्राणि मम तु निश्चितम् एकमेव मतम् अस्ति
sp027-000726_022	यत् यदि वनम् प्रज्वलति तर्हि वनम् परित्यज्य अन्यत्र पलायनम् करणीयम् इति
sp027-000727_022	सर्वे अपि स्वकीयम् मतम् एव प्रतिपादयन्तः स्व स्व आवासस्थानम् प्रविष्टवन्तः
sp027-000728_022	अथ कदाचित् वने दावाग्निः प्रज्वलितः
sp027-000729_022	शशः बिलम् प्रविष्टवान्
sp027-000730_022	शृगालः च स्वमतम् अनुसरन् वनात् बहिः पलायितः
sp027-000731_022	दिनानि अतीतानि
sp027-000732_022	प्रथमतया तेन शशस्य बिलसमीपम् आगतम्
sp027-000733_022	तत्र शतमतिः शशः अग्नौ अङ्गारीभूय मृतः आसीत्
sp027-000734_022	ततः वृक्षः अवलोकितः
sp027-000735_022	तत्र लम्बमानः सहस्रमतिः सर्पः दग्धरज्जुः इव दृष्टिपथम् आगतः
sp027-000736_022	कोटिशः विचार्य कर्मणि प्रवर्तमानः कोटिमतिः कच्छपः भूमौ सुवर्णाङ्गारः इव दृष्टिगोचरः अभवत्
sp027-000737_022	एतत् सर्वम् हृदयविद्रावकम् दृश्यम् दृष्ट्वा शृगालः दुःखेन ततः निर्गतवान्
