sp003-000001_RV_03	राज्ञी सुदक्षिणा गर्भमाधत्त इत्युक्तम्
sp003-002968_RV_13	तदर्थम् उर्वीम् अवदारयद्भिः खनद्भिः नः अस्माकम् पूर्वैः वृद्धैः सगरसुतैः अयम् समुद्रः परिवर्धितः किल
sp003-002969_RV_13	किलेति ऐतिह्ये
sp003-002970_RV_13	अतः नः पूज्यः इति भावः
sp003-002971_RV_13	यद्यपि तुरङ्गहारी शतक्रतुः तथापि तस्य कपिलसमीपे दर्शनात् स एवेति तेषाम् भ्रान्तिः
sp003-002972_RV_13	तन्मत्वैव कविना कपिलेनेति निर्दिष्टम्
sp003-002973_RV_13	गर्भमिति
sp003-002974_RV_13	अर्कमरीचयः अस्मात् अब्धेः
sp003-002975_RV_13	अपादानात्
sp003-002976_RV_13	गर्भम् अम्मयम् दधति
sp003-002977_RV_13	वृष्ट्यर्थम् इत्यर्थः
sp003-002978_RV_13	अयमर्थः दशमसर्गे ताभिर्गर्भः इत्यत्र स्पष्टीकृतः
sp003-002979_RV_13	अयम् लोकोपकारीति भावः
sp003-002980_RV_13	अत्र अब्धौ वसूनि धनानि
sp003-002981_RV_13	धने रत्ने वसु स्मृतम् इति विश्वः
sp003-002982_RV_13	विवृद्धम् अश्नुवते प्राप्नुवन्ति
sp003-002983_RV_13	सम्पद्वान् इत्यर्थः
sp003-002984_RV_13	असौ आपः इन्धनम् दाह्यम् यस्य तद्दाहकम् वह्निम् बिभर्ति
sp003-002985_RV_13	अपकारेपि आश्रितम् न त्यजतीति भावः
sp003-002986_RV_13	अनेन प्रह्लादनम् आह्लादकम् ज्योतिः चन्द्रः अजनि जनितम्
sp003-002987_RV_13	जनेः ण्यन्तात् कर्मणि लुङ्
sp003-002988_RV_13	सौम्यः इति भावः
sp003-002989_RV_13	ताम् तामिति
sp003-002990_RV_13	ताम् ताम् अनेकाम्
sp003-002991_RV_13	नित्यवीप्सयोः इति वीप्सायाम् द्विरुक्तिः
sp003-002992_RV_13	अवस्थाम् अक्षोभाद्यवस्थाम्
sp003-002993_RV_13	विष्णुपक्षे सत्त्वाद्यवस्थाम्
sp003-002994_RV_13	प्रतिपद्यमानम् भजमानम् महिम्ना दश दिशः व्याप्य स्थितम् विष्णोरिव अस्य रत्नाकरस्य रूपम् स्वरूपम्
sp003-002995_RV_13	उक्तरीत्या बहुप्रकारत्वात् व्यापकत्वाच्च ईदृक्तया इयत्तया वा प्रकारतः परिमाणतश्च अनवधारणीयम् दुर्निरूपम्
sp003-002996_RV_13	नाभीति
sp003-002997_RV_13	युगान्ते कल्पान्ते उचिता परिचिता योगा स्वात्मनिष्ठैव निद्रेव निद्रा यस्य सः पुरुषः विष्णुः लोकान्संहृत्य
sp003-002998_RV_13	नाभ्याम् प्ररूढम् यदम्बुरुहम् पद्मम् तदासनेन तन्नाभिकमलाश्रयेण प्रथमेन धात्रा
sp003-002999_RV_13	दक्षादीनामपि स्रष्ठ्रा पितामहेन संस्तूयमानः सन्
sp003-003000_RV_13	अमुम् अधिशेते
sp003-003001_RV_13	अमुष्मिन् शेते इत्यर्थः
sp003-003002_RV_13	कल्पान्तेपि अस्तीति भावः
sp003-003003_RV_13	पक्षच्छिदेति
sp003-003004_RV_13	पक्षच्छिदा गोत्रभिदा इन्द्रेण
sp003-003005_RV_13	उभयत्र सत्सूद्विष इत्यादिना क्विप्
sp003-003006_RV_13	आत्तगन्धाः ह्रतगन्धाः
sp003-003007_RV_13	अभिभूताः इत्यर्थः
sp003-003008_RV_13	गन्धो गन्धक आमोदे लेशे सम्बन्ध गर्वयोः इति विश्वः
sp003-003009_RV_13	आत्तगन्धः अभिभूतः स्यात् इत्यमरः
sp003-003010_RV_13	महीम् धारयन्तीति महीध्राः पर्वताः
sp003-003011_RV_13	मूलविभुजादित्वात्कप्रत्ययः
sp003-003012_RV_13	शतम् शतम् शतशः शरण्यम् रक्षणसमर्थम् एनम् समुद्रम्
sp003-003013_RV_13	परेभ्यः शत्रुभ्यः उपप्लविनः भयवन्तः नृपा धर्मोत्तरम् धर्मप्रधानम् मध्यमभूपालमिव
sp003-003014_RV_13	आश्रयन्ते
sp003-003015_RV_13	अरेश्च विजिगीषोश्च मध्यमो भूम्यनन्तरः इति कामन्दकः
sp003-003016_RV_13	आर्तबन्धुरिति भावः
sp003-003017_RV_13	रसातलादिति
sp003-003018_RV_13	आदिभवेन पुंसा आदिवराहेण रसान्तलात् प्रयुक्तोद्वहनक्रियायाः कृतोद्धरणक्रियायाः
sp003-003019_RV_13	विवाहक्रिया च व्यज्यते
sp003-003020_RV_13	भुवः भूदेवतायाः प्रलये प्रवृद्धम् अस्य अब्धेः अच्छम् अम्भः मुहूर्तम्
sp003-003021_RV_13	वक्त्राभरणम् लज्जारक्षणार्थम् मुखावगुण्ठनम् बभूव
sp003-003022_RV_13	तदुक्तम् उद्धृतासि वराहेण कृष्णेन शतबाहुना इति
sp003-003023_RV_13	मुखार्पणेष्विति
sp003-003024_RV_13	अन्येषाम् पुंसाम् सामान्या साधारण न भवतीति अनन्यसामान्या
sp003-003025_RV_13	कलत्रेषु वृत्तिः भोगरूपा यस्य सः तथोक्तः
sp003-003026_RV_13	इममेवार्थम् प्रतिपादयति तरङ्गः एव अधरः तस्य दाने समर्पणे दक्षः
sp003-003027_RV_13	चतुरः असौ समुद्रः मुखार्पणेषु प्रकृत्या सख्यादिप्रेषणम् विना प्रगल्भाः धृष्टाः सिन्धूः नदीः
sp003-003028_RV_13	सिन्धुः समुद्रे नद्याम् च इति विश्वः
sp003-003029_RV_13	स्वयम् पिबति पाययते च
sp003-003030_RV_13	तरङ्गाधरमिति शेषः
sp003-003031_RV_13	न पादम्याङ्यमा इत्यादिना पिबतेः ण्यन्तात् नित्यम् परस्मैपदनिषेधः
sp003-003032_RV_13	गतिबुद्धिप्रत्यवसानार्थ इत्यादिना सिन्धूनाम् कर्मत्वम्
sp003-003033_RV_13	दम्पत्योः युगपत्परस्पराधरपानम् अनन्यसाधारणमिति भावः
sp003-003034_RV_13	ससत्त्वमिति
sp003-003035_RV_13	अमी तिमयः मत्स्यविशेषाः
sp003-003036_RV_13	तदुक्तम् अस्ति मत्स्यस्तिमिर्नाम शतयोजनमायतः इति
sp003-003037_RV_13	विवृताननत्वात् व्याक्तमुखत्वात् हेतोः
sp003-003038_RV_13	आननम् विवृत्य इत्यर्थः
sp003-003039_RV_13	ससत्त्वम् मत्स्यादिप्राणिसहितम् नदीमुखाम्भः आदाय सम्मीलयन्तः चञ्चुपुटानि सङ्घट्टयन्तः सन्तः
sp003-003040_RV_13	सरन्ध्रैः शिरोभिः जलप्रवाहान् ऊर्ध्वम् वितन्वन्ति
sp003-003041_RV_13	जलयन्त्रक्रीडासमाधिः व्यज्यते
sp003-003042_RV_13	मातङ्गनक्रेरिति
sp003-003043_RV_13	सहसा उत्पतद्भिः मातङ्गनक्रैः मातङ्गाकारैः ग्राहैः द्विधाभिन्नान् समुद्रफेनान् पश्य
sp003-003044_RV_13	ये फेनाः एषाम् जलमातङ्गनक्राणाम् कपोलेषु संसर्पितया संसर्पणेन हेतुना कर्णेषु क्षणम् चामरत्वम् व्रजन्ति
sp003-003045_RV_13	वेलानिलायेति
sp003-003046_RV_13	वेलानिलाय
sp003-003047_RV_13	वेलानिलम् पातुम् इत्यर्थः
sp003-003048_RV_13	क्रियार्थोपपद इत्यादिना चतुर्थी
sp003-003049_RV_13	प्रसृता निर्गता महोर्मीणाम् विस्फूर्जथुः उद्रेकः
sp003-003050_RV_13	ट्वितो अथुच् इति अथुच्प्रत्ययः
sp003-003051_RV_13	तस्मान् निर्विशेषाः दुर्ग्रहभेदाः एते भुजङ्गाः सूर्याशुसम्पर्केण समृद्धरागैः
sp003-003052_RV_13	प्रवृद्धकान्तिभिः फणस्थैः मणिभिः यज्यन्ते उन्नीयन्ते
sp003-003053_RV_13	तवेति
sp003-003054_RV_13	तवाधरस्
sp003-003055_RV_13	तव अधरस्पर्धिषु
sp003-003056_RV_13	अधरसदृशेषु इत्यर्थः
sp003-003057_RV_13	विद्रुमेषु प्रवालेषु सहसा ऊर्मिवेगात् पर्यस्तम् प्रोत्क्षिप्तम् ऊर्ध्वाङ्कुरैः विद्रुमप्ररोहैः
sp003-003058_RV_13	प्रोतमुखम् स्यूतवदनम् एतत् शङ्खानाम् यूथम् वृन्दम् कथञ्चित् क्लेशात् अपक्रामति
sp003-003059_RV_13	विलम्ब्य अपसरतीति अर्थः
sp003-003060_RV_13	प्रवृत्तेति
sp003-003061_RV_13	पयांसि पातुम् प्रवृत्तः एव प्रवृत्तमात्रः न तु पीतवान् तेन अवर्तवेगात्
sp003-003062_RV_13	स्यादावर्तोऽम्भसाम् भ्रमः इत्यमरः
sp003-003063_RV_13	भ्रमता धनेन अयम् समुद्रः भूयः पुनरपि गिरिणा
sp003-003064_RV_13	मन्दरेण प्रमथ्यमानः इव भूयिष्ठम् अत्यन्तम् आभाति
sp003-003065_RV_13	दूरादिति
sp003-003066_RV_13	अयश्चक्रनिभ
sp003-003067_RV_13	अयश्चक्रनिभस्य लवणाम्बुराशेः दूरात् तन्वी अणुत्वेन अवभासमाना
sp003-003068_RV_13	तमालतालीवनराजिभिः नीला वेला तीरभूमिः धारानिबद्धा चक्राश्रिता कलङ्करेखा मालिन्यरेखा इव
sp003-003069_RV_13	आभाति
sp003-003070_RV_13	मालिन्यरेखाम् तु कलङ्कमाहुः इति दण्डी
sp003-003071_RV_13	वेलानिल इति
sp003-003072_RV_13	हे आयताक्षि
sp003-003073_RV_13	वेला स्यात्तीरनीरयोः इति विश्वः
sp003-003074_RV_13	वेलानिलः केतकरेणुभिः ते आननम् सम्भावयति
sp003-003075_RV_13	किमर्थम् इत्यपेक्षायाम् उत्प्रेक्ष्यते बिम्बाधरे बद्धतृष्णम्
sp003-003076_RV_13	माम् मण्डनेन आभरणक्रियया कालहानिः विलम्बः तस्याः अक्षमम् असहमानम्
sp003-003077_RV_13	कर्मणि षष्ठी
sp003-003078_RV_13	कालहानिम् असहमानम् वेत्तीव वेत्ति किम्
sp003-003079_RV_13	नो चेत् कथम् सम्भावयेत् इत्यर्थः
sp003-003080_RV_13	एत इति
sp003-003081_RV_13	एते वयम् सैकतेषु भिन्नाभिः स्फुटिताभिः शुक्तिभिः पर्यस्तानि परितः क्षिप्तानि मुक्तानाम् पटलानि
sp003-003082_RV_13	यस्मिन् तत् तथोक्तम् फलैः आवर्जिताः आनमिताः पूगमालाः यस्मिंस्तत् पयोधेः कूलम् विमानवेगात् मुहूर्तेन प्राप्ताः
sp003-003083_RV_13	कुरुष्वेति
sp003-003084_RV_13	मणिबन्धात् आकनिष्ठम् करस्य करभो बहिः इत्यमरः
sp003-003085_RV_13	करभः इव ऊरू यस्याः सा करभोरूः
sp003-003086_RV_13	ऊरूत्तरपदादौपम्ये इत्यूङ्
sp003-003087_RV_13	तस्याः सम्बुद्धिः हे करभोरु
sp003-003088_RV_13	मृगवत्प्रेक्षते इति विग्रहः
sp003-003089_RV_13	हे मृगव
sp003-003090_RV_13	हे मृगप्रेक्षिणि तावत् पश्चात् मार्गे लङ्घिताध्वनि दृष्टिपातम् कुरुष्व
sp003-003091_RV_13	एषा सकानना भूमिः विदूरीभवतः समुद्रान् निष्पतति निष्क्रामतीव
sp003-003092_RV_13	विदूरशब्दात् विशेष्यनिघ्नात् च्विः
sp003-003093_RV_13	क्वचिदिति
sp003-003094_RV_13	हे देवि विमानम् पुष्पकम् मे मनसः अभिलाषः यथाविधः तथा प्रवर्तते पश्य
sp003-003095_RV_13	क्वचित्सुराणाम् पथा सञ्चरते
sp003-003096_RV_13	क्वचित् घनानाम् क्वचित्पतताम् पक्षिणाम् च पथा सञ्चरते
sp003-003097_RV_13	समस्तृतीयायुक्तात् इति सम्पूर्वाच्चरतेः आत्मनेपदम्
sp003-003098_RV_13	असाविति
sp003-003099_RV_13	महेन्द्रद्विपदानगन्धिः ऐरावतमदगन्धिः
sp003-003100_RV_13	त्रिभिः मार्गैः गच्छतीति त्रिमार्गगा गङ्गा
sp003-003101_RV_13	तद्धितार्थ इत्यादिना उत्तरपदसमासः
sp003-003102_RV_13	तस्याः वीचीनाम् विमर्देन सम्पर्केण शीतः असौ आकाशवायुः
sp003-003103_RV_13	दिनयौवनोत्थान् मध्याह्नसम्भवान् ते मुखे स्वेदलवान् आचामति हरति
sp003-003104_RV_13	अनेन सुरपथसचारः दर्शितः
sp003-003105_RV_13	करेणेति
sp003-003106_RV_13	हे चण्डि कोपने
sp003-003107_RV_13	चण्डस्त्वत्यन्तकोपनः इत्यमरः
sp003-003108_RV_13	कुतूहलिन्या विनोदार्थिन्या त्वया कर्त्र्या वातायने गवाक्षे लम्बितेन अवस्रंसितेन करेण
sp003-003109_RV_13	स्पृष्टः उद्भिन्नविद्युद्वलयः घनः ते द्वितीयमाभरणम् वलयम् आमुञ्चतीव अर्पयतीव
sp003-003110_RV_13	चण्डीत्यनेन कोपन शीलत्वात् भीतः क्षिप्रम् त्वाम् मुञ्चति मेघः इति व्यज्यते
sp003-003111_RV_13	अमीति
sp003-003112_RV_13	अमी चीरभृतः तापसाः जनस्थानम् अपोढविघ्नम् अपास्तविघ्नम् मत्वा
sp003-003113_RV_13	ज्ञात्वा समारब्धाः नवाः उटजाः पर्णशालाः येषु तानि
sp003-003114_RV_13	पर्णशालोटजोऽस्त्रियाम् इत्यमरः
sp003-003115_RV_13	चिरोज्झितानि
sp003-003116_RV_13	राक्षसभयादित्यर्थः
sp003-003117_RV_13	आश्रममण्डलानि आश्रमविभागान् यथास्वम् स्वम् स्वम् अनतिक्रम्य अध्यासते अधितिष्ठन्ति
sp003-003118_RV_13	सेति
sp003-003119_RV_13	सा पूर्वानुभूता स्थली एषा
sp003-003120_RV_13	दृश्यते इत्यर्थः
sp003-003121_RV_13	यत्र स्थल्याम् त्वाम् विचिन्वता अन्विष्यता मया
sp003-003122_RV_13	त्वच्चरणारविन्देन यः विश्लेषः वियोगः तेन यदुःखम् तस्मादिव बद्धमौनम् निःशब्दम्
sp003-003123_RV_13	उर्व्याम् भ्रष्टम् एकम् नूपुरम् मञ्जीरः
sp003-003124_RV_13	मञ्जीरो नूपुरोऽस्त्रियाम् इत्यमरः
sp003-003125_RV_13	अदृश्यत दृष्टम्
sp003-003126_RV_13	हेतूत्प्रेक्षा
sp003-003127_RV_13	त्वमिति
sp003-003128_RV_13	हे भीरु भयशीले
sp003-003129_RV_13	ऊङुतः इत्यूङ्
sp003-003130_RV_13	ततः नदीत्वात् सम्बुद्धौ ह्रस्वः
sp003-003131_RV_13	त्वम् रक्षसा रावणेन यतः येन मार्गेण सार्वविभक्तिकः तसिः
sp003-003132_RV_13	अपनीता अपहृता तम् मार्गम् वागिन्द्रियाभावात् वक्तुम् अशक्नुवत्यः एताः लताः वीरुधः आवर्जिताः नमिताः पल्लवाः
sp003-003133_RV_13	पाणिस्थानीयाः याभिः ताभिः शाखाभिः स्वावयवभूताभिः कृपया मे अदर्शयन्
sp003-003134_RV_13	हस्तचेष्टया असूचयन् इत्यर्थः
sp003-003135_RV_13	शाखा वृक्षान्तरे भुजे इति विश्वः
sp003-003136_RV_13	लतादीनामपि ज्ञानम् अस्त्येव
sp003-003137_RV_13	तदुक्तम् मनुना अन्तःसञ्ज्ञा भवन्त्येते सुखदुःखसमन्विताः इति
sp003-003138_RV_13	मृग्यश्चेति
sp003-003139_RV_13	दर्भाङ्कुरेषु भक्ष्येषु निर्व्यपेक्षाः निःस्पृहाः मृग्यः मृगाङ्गनाश्च उत्पक्ष्मराजीनि विलोचनानि दक्षिणस्याम् दिशि व्यापारयन्त्यः
sp003-003140_RV_13	प्रवर्तयन्त्यः सत्यः तव अगतिज्ञम् गत्यनभिज्ञम् माम् समबोधयन्
sp003-003141_RV_13	दृष्टिचेष्टया त्वद्गतिम् अवबोधयन् इत्यर्थः
sp003-003142_RV_13	एतदिति
sp003-003143_RV_13	माल्यवतः नाम गिरेः अम्बरलेखि अभ्रङ्कषम् शृङ्गम् एतत् पुरस्तात् अग्रे आविर्भवति
sp003-003144_RV_13	यत्र शृङ्गे घनैः मेघैः नवम् पयः मया त्वद्विप्रयोगेण यत् अश्रु तच्च समम् युगपदत् विसृष्टम्
sp003-003145_RV_13	मेघदर्शनात् वर्षतुल्यम् अश्रु विमुक्तम् इति भावः
sp003-003146_RV_13	गन्धश्चेति
sp003-003147_RV_13	यस्मिन् शृङ्गे धाराभिः वर्षधाराभिः आहतानाम् पल्वलानाम् गन्धश्च
sp003-003148_RV_13	अर्धोद्गतकेसरम् कादम्बम् नीपकुसुमम् च
sp003-003149_RV_13	स्निग्धाः मधुराः
sp003-003150_RV_13	शिखिनाम् बर्हिणाम्
sp003-003151_RV_13	शिखिनौ वह्निबर्हिणौ इत्यमरः
sp003-003152_RV_13	केकाश्च
sp003-003153_RV_13	त्वया विना मे असह्यानि बभूवुः
sp003-003154_RV_13	नपुंसकमनपुंसकेन इति नपुंसकैकशेषः
sp003-003155_RV_13	पूर्वानुभुतमिति
sp003-003156_RV_13	किञ्च
sp003-003157_RV_13	हे भीरु यत्र शृङ्गे पूर्वानुभूतम् कम्पोत्तरम् कम्पप्रधानम् तवोपगूढम् उपगूहनम्
sp003-003158_RV_13	स्मरता मया गुहाविसारीणि घनगर्जितानि कथञ्चित् अतिवाहितानि
sp003-003159_RV_13	स्मारकत्वेन उद्दीपकत्वात् क्लेशेन गमितानि इत्यर्थः
sp003-003160_RV_13	आसारेति
sp003-003161_RV_13	यत्र शृङ्गे विभिन्नकोशैः विकसितकुड्मलैः नवकन्दलैः
sp003-003162_RV_13	कन्दलीपुष्पैः अरुणवर्णैः आसारेण धारासम्पातेन
sp003-003163_RV_13	धारासम्पात आसारः इत्यमरः
sp003-003164_RV_13	सिक्तायाः क्षितेः बाष्पस्य धूमवर्णस्य योगाद्धेतोः
sp003-003165_RV_13	विडम्ब्यमानाम् विडम्ब्यमाना अनुक्रियमाणा ते विवाहधूमेन अरुणा लोचनश्रीः
sp003-003166_RV_13	सादृश्यात् स्मर्यमाणा इति शेषः
sp003-003167_RV_13	माम् अक्षिणोत् अपीडयत्
sp003-003168_RV_13	उपान्तेति
sp003-003169_RV_13	उपान्तवानीरवनोपगूहानि पार्श्ववञ्जुलवनच्छन्नानि आलक्ष्याः ईषदृश्याः पारिप्लवाः चञ्चलाः सारसाः
sp003-003170_RV_13	येषु तानि अमूनि पम्पासलिलानि पम्पासरोजलानि दूरात् अवतीर्णा मे दृष्टिः अत एव खेदात्पिबतीव
sp003-003171_RV_13	न विहातुम् उत्सहते इत्यर्थः
sp003-003172_RV_13	अत्रेति
sp003-003173_RV_13	अत्र पम्पासरसि अन्योन्यस्मै दत्तोत्पलकेशराणि अवियुक्तानि रथाङ्गनाम्नाम्
sp003-003174_RV_13	द्वन्द्वानि चक्रवाकमिथुनानि ते तव दूरान्तरवर्तिना दूरदेशवर्तिना
sp003-003175_RV_13	मया हे प्रिये सस्पृहम् साभिलाषम् ईक्षितानि
sp003-003176_RV_13	तदानीम् त्वाम् अस्मार्षम् इत्यर्थः
sp003-003177_RV_13	इमामिति
sp003-003178_RV_13	किञ्च
sp003-003179_RV_13	स्तनवत् अभिरामाभ्याम् स्तबकाभ्याम् अभिनम्राम् तन्वीम् इमाम्
sp003-003180_RV_13	तटाशोकस्य लताम् शाखाम् अतः त्वत्प्राप्तिबुद्ध्या त्वमेव प्राप्ता इति भ्रान्त्या
sp003-003181_RV_13	परिरब्धुम् आलिङ्गितुम् कामः यस्य सः अहम् सौमित्रिणा लक्ष्मणेन साश्रुः निषिद्धः नेयम् सीतेति निवारितः
sp003-003182_RV_13	परिरब्धुकामः इत्यत्र तुम् काममनसोरपि इति वचनात् मकारलोपः
sp003-003183_RV_13	अमूरिति
sp003-003184_RV_13	विमानस्य अन्तरेषु अवकाशेषु लम्बन्ते याः तासाम् काञ्चनकिङ्किणीनाम् स्वनम् श्रुत्वा
sp003-003185_RV_13	स्वयूथशब्दभ्रमात् खम् आकाशम् उत्पतन्त्यः अमूः गोदावरीसारसपङ्क्तयः त्वाम् प्रत्युद्व्रजन्तीव
sp003-003186_RV_13	एषेति
sp003-003187_RV_13	पेशलमध्ययापि
sp003-003188_RV_13	भाराक्षमयापीत्यर्थः
sp003-003189_RV_13	त्वया घटाम्बुभिः संवर्धिताः बालचूताः यस्याः सा
sp003-003190_RV_13	उन्मुखाः अस्मत् अभिमुखाः त्वत्संवर्धिताः एव कृष्णसाराः
sp003-003191_RV_13	यस्याः सा चिरात् दृष्टा एषा पञ्चवटी मे मनः आनन्दयति आह्लादयति
sp003-003192_RV_13	पश्चवटीशब्दः पूर्वमेव व्याख्यातः
sp003-003193_RV_13	अत्रेति
sp003-003194_RV_13	अत्र पञ्चवट्याम्
sp003-003195_RV_13	गोदा गोदावरी
sp003-003196_RV_13	तस्याः समीपे अनुगोदम्
sp003-003197_RV_13	अनुर्यत्समया इत्यव्ययीभावः
sp003-003198_RV_13	मृगयायाः निवृत्तः तरङ्गवातेन विनीतखेदः रहः रहसि
sp003-003199_RV_13	अत्यन्तसंयोगे द्वितीया
sp003-003200_RV_13	त्वदुत्सङ्गनिषण्णमूर्धा सन् अहम् वानीरगृहेषु सुप्तः स्मरामि
sp003-003201_RV_13	वाक्यार्थः कर्म
sp003-003202_RV_13	सुप्त इति यत् तत्स्मरामि इत्यर्थः
sp003-003203_RV_13	भ्रूभेदेति
sp003-003204_RV_13	यः मुनिः भ्रूभेदमात्रेण भ्रूभङ्गमात्रेणैव नहुषम् राजानम् मघोनः पदात् इन्द्रत्वात् प्रभ्रंशयाञ्चकार प्रभ्रंशयति स्म
sp003-003205_RV_13	आविलाम्भःपरिशुद्धिहेतोः कलुषजलप्रसादहेतोः तस्य मुनेः अगस्त्यस्य
sp003-003206_RV_13	अगस्त्योदये शरदि जलम् प्रसीदति इत्युक्तम् प्राक्
sp003-003207_RV_13	भूमौ भवः भौमः स्थानपरिग्रहः आश्रमः अयम्
sp003-003208_RV_13	दृश्यते इति शेषः
sp003-003209_RV_13	भौमः इत्यनेन दिव्योपि अस्तीत्युक्तम्
sp003-003210_RV_13	परिगृह्यत इति परिग्रहः स्थानमेव परिग्रहः इति विग्रहः
sp003-003211_RV_13	त्रेताग्नीति
sp003-003212_RV_13	अनिन्द्यकीर्तेः तस्य अगस्त्यस्य आक्रान्तविमानमार्गम्
sp003-003213_RV_13	हविर्गन्धः अस्य अस्तीति हविर्गन्धि त्रेताग्निः अग्नित्रयम्
sp003-003214_RV_13	अग्नित्रयमिदम् त्रेता इत्यमरः
sp003-003215_RV_13	पृषोदरादित्वात् एत्वम्
sp003-003216_RV_13	त्रेताग्नेः धूमाग्रम् इदम् घ्रात्वा आघ्राय रजसः गुणात् विमुक्तः
sp003-003217_RV_13	मे मम आत्मा अन्तःकरणम् लघिमानम् लघुत्वगुणम् समश्नुते प्राप्नोति
sp003-003218_RV_13	एतदिति
sp003-003219_RV_13	हे मानिनि शातकर्णेः मुनेः सम्बन्धि पञ्चाप्सरो नाम पञ्चाप्सर इति प्रसिद्धम्
sp003-003220_RV_13	पञ्च अप्सरसः यस्मिन्निति विग्रहः
sp003-003221_RV_13	पर्यन्तेषु वनानि यस्य तत् पर्यन्तवनम् एतत् विहारवारि क्रीडासरः विदूरात्
sp003-003222_RV_13	मेघानाम् अन्तरे मध्ये आलक्ष्यम् ईषदृश्यम्
sp003-003223_RV_13	आङीषदर्थेऽभिव्याप्तौ
sp003-003224_RV_13	इत्यमरः
sp003-003225_RV_13	इन्दुबिम्बमिव
sp003-003226_RV_13	आभाति
sp003-003227_RV_13	पुरेति
sp003-003228_RV_13	पुरा पूर्वस्मिन्काले दर्भाङ्कुरमात्रवृत्तिः तन्मात्राहारः मृगैः सार्धम् सह
sp003-003229_RV_13	चरन् सः ऋषिः समाधेः तपसः भीतेन मघोना इन्द्रेण पञ्चानाम् अप्सरसाम् यौवनम्
sp003-003230_RV_13	तद्धितार्थ इत्यनेन उत्तरपदसमासः
sp003-003231_RV_13	तदेव कूटबन्धम् कपटयन्त्रम् उपनीतः
sp003-003232_RV_13	उन्माथः कोटयन्त्रम् स्यात् इत्यमरः
sp003-003233_RV_13	किल इति ऐतिह्ये
sp003-003234_RV_13	मृगसाहचर्यात् मृगवदेव बद्धः इति भावः
sp003-003235_RV_13	तस्येति
sp003-003236_RV_13	अन्तर्हितसौधभाजः जलान्तर्गतप्रासादगतस्य तस्य शातकर्णेः अयम्
sp003-003237_RV_13	प्रसक्तः सन्ततः सङ्गीतमृदङ्गघोषः वियद्गतः सन् पुष्पकस्य चन्द्रशालाः शिरोगृहाणि
sp003-003238_RV_13	चन्द्रशाला शिरोगृहम् इति हलायुधः
sp003-003239_RV_13	क्षणम् प्रतिश्रुद्भिः प्रतिध्वानैः मुखराः ध्वनन्तीःकरोति
sp003-003240_RV_13	स्त्री प्रतिश्रुत्प्रतिध्वाने इत्यमरः
sp003-003241_RV_13	हविर्भुजामिति
sp003-003242_RV_13	नाम्ना सुतीक्ष्णः सुतीक्ष्णनामा चरितेन दान्तः सौम्यः असौ अपरः तपस्वी
sp003-003243_RV_13	एधवताम् इन्धनवताम्
sp003-003244_RV_13	काष्ठम् दार्विन्धनम् त्वेधः इत्यमरः
sp003-003245_RV_13	चतुर्णाम् हविर्भुजाम् अग्नीनाम् मध्ये
sp003-003246_RV_13	ललाटम् तपतीति ललाटन्तपः सूर्यः
sp003-003247_RV_13	असूर्यललाटयोः दृशितपोः इति खश्प्रत्ययः
sp003-003248_RV_13	अरुर्द्विषत् इत्यादिना मुमागमः
sp003-003249_RV_13	ललाटन्तपः सप्तसप्तिः सप्ताश्वः सूर्यः यस्य सः तथोक्तः सन्
sp003-003250_RV_13	तपस्यति तपश्चरति
sp003-003251_RV_13	कर्मणो रोमन्थतपोभ्याम् वर्तिचरोः इति क्यङ्
sp003-003252_RV_13	तपसः परस्मैपदम् च इति वक्तव्यम्
sp003-003253_RV_13	अमुमिति
sp003-003254_RV_13	जनितेन्द्रशङ्कम्
sp003-003255_RV_13	तपसा इति शेषः
sp003-003256_RV_13	अमुम् सुतीक्ष्णम् सहासम् प्रहितानी ईक्षणानि दृष्टयः येषु तानि
sp003-003257_RV_13	व्याजेन केनचिन्मिषेण
sp003-003258_RV_13	पुंस्यर्धोऽर्धम् समेम्ऽशके इति विश्वः
sp003-003259_RV_13	अर्धम् ईषत् सन्दर्शिताः मेखलाः येषु तानि सुराङ्गनानाम् इन्द्रप्रेषितानाम्
sp003-003260_RV_13	विभ्रमाः एव चेष्टितानि विकर्तुम् स्खलयितुम् अलम् समर्थानि न बभूवुः इति शेषः
sp003-003261_RV_13	एष इति
sp003-003262_RV_13	ऊर्ध्वबाहुः एषः सुतीक्ष्णः अक्षमाल इव वलयम् यस्य तम् मृगाणाम् कण्डूयितारम्
sp003-003263_RV_13	कुशाः एव सूचयः ताः लुनातीति कुशसूचिलावः तम्
sp003-003264_RV_13	कर्मण्यण् इत्यण्
sp003-003265_RV_13	एभिः विशेषणैः जपशीलत्वम् भूतदया कर्मक्षमत्वम् च द्योत्यते
sp003-003266_RV_13	सव्यादितरम् दक्षिणम् भुजम् मे मम सभाजने सम्माननिमित्ते
sp003-003267_RV_13	निमित्तात्कर्मयोगे इति सप्तमी
sp003-003268_RV_13	इतः प्राध्वम् प्रकृतानुकूलबन्धम् प्रयुङ्क्ते
sp003-003269_RV_13	आनुकूल्यार्थकम् प्राध्वम् इत्यमरः
sp003-003270_RV_13	अव्ययम् च एतत्
sp003-003271_RV_13	वाचंयमत्वादिति
sp003-003272_RV_13	एषः सुतीक्ष्णः
sp003-003273_RV_13	वाचम् यच्छतीति वाचंयमः मौनव्रती
