sp006-000001_GB_00-00	शाङ्करभाष्यम्
sp006-001193_GB_04-18-01	अतो न विरुद्धम्
sp006-001194_GB_04-18-01	बुद्धिमत्त्वाद्युपपत्तेश्च
sp006-001195_GB_04-18-01	बोद्धव्यम् इति च यथाभूतदर्शनम् उच्यते
sp006-001196_GB_04-18-01	न च विपरीतज्ञानात् अशुभात् मोक्षणम् स्यात्
sp006-001197_GB_04-18-01	इति च उक्तम्
sp006-001198_GB_04-18-01	तस्मात् कर्माकर्मणी विपर्ययेण गृहीते प्राणिभिः
sp006-001199_GB_04-18-01	तद्विपर्ययग्रहणनिवृत्त्यर्थम् भगवतो वचनम् कर्मणि अकर्म यः इत्यादि
sp006-001200_GB_04-18-01	न च अत्र कर्माधिकरणम् अकर्म अस्ति कुण्डे बदराणीव
sp006-001201_GB_04-18-01	न अपि अकर्माधिकरणम् कर्म अस्ति
sp006-001202_GB_04-18-01	कर्माभावत्वात् अकर्मणः
sp006-001203_GB_04-18-01	अतो विपरीतगृहीते एव कर्माकर्मणी लौकिकैः
sp006-001204_GB_04-18-01	यथा मृगतृष्णिकायाम् उदकम् शुक्तिकायाम् वा रजतम्
sp006-001205_GB_04-18-01	ननु कर्म कर्म एव सर्वेषाम् न क्वचित् व्यभिचरति तन्न
sp006-001206_GB_04-18-01	नौस्थस्य नावि गच्छन्त्याम् तटस्थेषु अगतिषु नगेषु प्रतिकूलगतिदर्शनात्
sp006-001207_GB_04-18-01	दूरेषु चक्षुषा असन्निकृष्टेषु गच्छत्सु गत्यभावदर्शनात्
sp006-001208_GB_04-18-01	एवम् इहापि अकर्मणि अहङ्करोमि इति कर्मदर्शनम्
sp006-001209_GB_04-18-01	कर्मणि च अकर्मदर्शनम् विपरीतदर्शनम् येन तन्निराकरणार्थम् उच्यते कर्मणि अकर्म यः पश्येत् इत्यादि
sp006-001210_GB_04-18-01	तदेतत् उक्तप्रतिवचनम् अपि असकृत्
sp006-001211_GB_04-18-01	अत्यन्तविपरीतदर्शनभाविततया मोमुह्यमानो लोकः
sp006-001212_GB_04-18-01	श्रुतमपि असकृत् तत्त्वम् विस्मृत्य मिथ्याप्रसङ्गम् अवतार्य अवतार्य चोदयति इति
sp006-001213_GB_04-18-01	पुनः पुनः उत्तरम् आह भगवान् दुर्विज्ञेयत्वम् च आलक्ष्य वस्तुनः
sp006-001214_GB_04-18-01	इत्यादिना आत्मनि कर्माभावः श्रुतिस्मृतिन्यायप्रसिद्ध उक्तो वक्ष्यमाणश्च
sp006-001215_GB_04-18-01	तस्मिन् आत्मनि कर्माभावे अकर्मणि कर्मविपरीतदर्शनम् अत्यन्तनिरूढम्
sp006-001216_GB_04-18-01	देहाद्याश्रयम् च कर्म आत्मनि अध्यारोप्य
sp006-001217_GB_04-18-01	इति च तथा
sp006-001218_GB_04-18-01	इति कार्यकरणाश्रयम् व्यापारोपरमम् तत्कृतम् च सुखित्वम् आत्मनि अध्यारोप्य
sp006-001219_GB_04-18-01	इति अभिमन्यते लोकः
sp006-001220_GB_04-18-01	तत्र इदम् लोकस्य विपररीतदर्शनापनयाय आह भगवान्
sp006-001221_GB_04-18-01	कर्मणि अकर्म यः पश्येत् इत्यादि
sp006-001222_GB_04-18-02	यतः पण्डितः अपि अहम् करोमि इति मन्यते
sp006-001223_GB_04-18-02	अतः आत्मसमवेततया सर्वलोकप्रसिद्धे कर्मणि नदीकूलस्थेषु इव वृक्षेषु गतिप्रातिलोम्येन
sp006-001224_GB_04-18-02	अकर्म कर्माभावम् यथाभूतम् गत्यभावम् इव वृक्षेषु यः पश्येत्
sp006-001225_GB_04-18-02	अकर्मणि च कार्यकरणव्यापारोपरमे कर्मवत् आत्मनि अध्यारोपिते तूष्णीम् अकुर्वन् सुखम् आस इति अहङ्काराभिसन्धिहेतुत्वात्
sp006-001226_GB_04-18-02	तस्मिन् अकर्मणि च कर्म यः पश्येत्
sp006-001227_GB_04-18-02	य एवम् कर्माकर्मविभागज्ञः स बुद्धिमान् पण्डितो मनुष्येषु
sp006-001228_GB_04-18-02	स युक्तो योगी कृत्स्नकर्मकृच्च सः अशुभात् मोक्षितः कृतकृत्यो भवति इत्यर्थः
sp006-001229_GB_04-18-02	अयम् श्लोकः अन्यथा व्याख्यातः कैश्चित्
sp006-001230_GB_04-18-02	नित्यानाम् किल कर्मणाम् ईश्वरार्थे अनुष्ठीयमानानाम् तत्फलाभावात् अकर्माणि तानि उच्यन्ते गौण्या वृत्त्या
sp006-001231_GB_04-18-02	तेषाम् च अकरणम् अकर्म
sp006-001232_GB_04-18-02	तच्च प्रत्यवायफलत्वात् कर्म उच्यते गौण्या एव वृत्त्या
sp006-001233_GB_04-18-02	तत्र नित्ये कर्मणि अकर्म यः पश्येत् फलाभावात्
sp006-001234_GB_04-18-02	यथा धेनुः अपि गौः अगौः उच्यते
sp006-001235_GB_04-18-02	क्षीराख्यम् फलम् न प्रयच्छतीति तद्वत्
sp006-001236_GB_04-18-02	तथा नित्याकरणे तु अकर्मणि च कर्म यः पश्येत् नरकादिप्रत्यवायफलम् प्रयच्छति इति
sp006-001237_GB_04-18-02	न एतत् युक्तम् व्याख्यानम्
sp006-001238_GB_04-18-02	एवम् ज्ञानात् अशुभात् मोक्षानुपपत्तेः
sp006-001239_GB_04-18-02	इति भगवता उक्तम् वचनम् बाध्येत कथम्
sp006-001240_GB_04-18-02	नित्यानामनुष्ठानात् अशुभात् स्यान्नाम मोक्षणम् न तु तेषाम् फलाभावज्ञानात्
sp006-001241_GB_04-18-02	न हि नित्यानाम् फलाभावज्ञानम् अशुभमुक्तिफलत्वेन चोदितम् नित्यकर्मज्ञानम् वा
sp006-001242_GB_04-18-02	न च भगवता एव इह उक्तम्
sp006-001243_GB_04-18-02	एतेन अकर्मणि कर्मदर्शनम् प्रत्युक्तम्
sp006-001244_GB_04-18-02	न हि अकर्मणि कर्म इति दर्शनम् कर्तव्यतया इह चोद्यते नित्यस्य तु कर्तव्यतामात्रम्
sp006-001245_GB_04-18-02	न च अकरणात् नित्यस्य प्रत्यवायो भवतीति विज्ञानात् किञ्चित् फलम् स्यात्
sp006-001246_GB_04-18-02	नापि नित्याकरणम् ज्ञेयत्वेन चोदितम्
sp006-001247_GB_04-18-02	नापि कर्म अकर्म इति मिथ्यादर्शनात् अशुभात् मोक्षणम् बुद्धिमत्त्वम् युक्तता कृत्स्नकर्मकृत्त्वादि च फलम् उपपद्यते स्तुतिर्वा
sp006-001248_GB_04-18-02	मिथ्याज्ञानमेव हि साक्षात् अशुभरूपम् कुतः अन्यस्मादशुभात् मोक्षणम्
sp006-001249_GB_04-18-02	न हि तमः तमसो निवर्तकम् भवति
sp006-001250_GB_04-18-02	ननु कर्मणि यदकर्मदर्शनम् अकर्मणि वा कर्मदर्शनम् न तत् मिथ्याज्ञानम्
sp006-001251_GB_04-18-02	किम् तर्हि गौणम् फलभावाभावनिमित्तम्
sp006-001252_GB_04-18-02	न कर्माकर्मविज्ञानादपि गौणात् फलस्य अश्रवणात्
sp006-001253_GB_04-18-02	नापि श्रुतहान्यश्रुतपरिकल्पनाया कश्चित् विशेषो लभ्यते
sp006-001254_GB_04-18-02	स्वशब्देनापि शक्यम् वक्तुम् नित्यकर्मणाम् फलम् नास्ति अकरणाच्च तेषाम् नरकपातः स्यादिति
sp006-001255_GB_04-18-02	तत्र व्याजेन परव्यामोहरूपेण कर्मणि अकर्म यः पश्येदित्यादिना किम्
sp006-001256_GB_04-18-02	तत्र एवम् व्याचक्षाणेन भगवता उक्तम् वाक्यम् लोकव्यामोहार्थमिति व्यक्तम् कल्पितम् स्यात्
sp006-001257_GB_04-18-02	न च एतत् छद्मरूपेण वाक्येन रक्षणीयम् वस्तु
sp006-001258_GB_04-18-02	नापि शब्दान्तरेण पुनः पुनः उच्यमानम् सुबोधः स्यात् इत्येवम् वक्तुम् युक्तम्
sp006-001259_GB_04-18-02	इति अत्र हि स्फुटतर उक्तः अर्थो न पुनः वक्तव्यो भवति
sp006-001260_GB_04-18-02	सर्वत्र च प्रशस्तम् बोद्धव्यम् च कर्तव्यमेव
sp006-001261_GB_04-18-02	न निष्प्रयोजनम् बोद्धव्यम् इति उच्यते
sp006-001262_GB_04-18-02	न च मिथ्याज्ञानम् बोद्धव्यम् भवति तत्प्रत्युपस्थापितम् वा वस्त्वाभासम्
sp006-001263_GB_04-18-02	नापि नित्यानाम् अकरणात् अभावात् प्रत्यवायभावोत्पत्तिः
sp006-001264_GB_04-18-02	इति वचनात्
sp006-001265_GB_04-18-02	छान्दोग्य उपनिषत् षट् द्वि द्वि इति च दर्शितम् असतः सज्जन्मप्रतिषेधात्
sp006-001266_GB_04-18-02	असतः सदुत्पत्तिम् ब्रुवता असदेव सद्भवेत् सच्च असद्भवेत् इति उक्तम् स्यात्
sp006-001267_GB_04-18-02	तच्च अयुक्तम् सर्वप्रमाणविरोधात्
sp006-001268_GB_04-18-02	न च निष्फलम् विदध्यात् कर्म शास्त्रम् दुःखस्वरूपत्वात्
sp006-001269_GB_04-18-02	दुःखस्य च बुद्धिपूर्वकतया कार्यत्वानुपपत्तेः
sp006-001270_GB_04-18-02	तदकरणे च नरकपाताभ्युपगमे अनर्था एव उभयथापि करणे अकरणे च शास्त्रम् निष्फलम् कल्पितम् स्यात्
sp006-001271_GB_04-18-02	स्वाभ्युपगमविरोधः च नित्यम् निष्फलम् कर्म इति अभ्युपगम्य मोक्षफलाय इति ब्रुवतः
sp006-001272_GB_04-18-02	तस्मात् यथाश्रुत एव अर्थः कर्मणि अकर्म यः इत्यादेः
sp006-001273_GB_04-18-02	तथा च व्याख्यातः अस्माभिः श्लोकः
sp006-001274_GB_04-19	यस्य यथोक्तदर्शिनः सर्वे यावन्तः समारम्भाः कर्माणि समारभ्यन्ते इति समारम्भाः
sp006-001275_GB_04-19	कामसङ्कल्पवर्जिताः कामैः तत्कारणैश्च सङ्कल्पैः वर्जिता मुधा एव चेष्टामात्रा अनुष्ठीयन्ते
sp006-001276_GB_04-19	प्रवृत्तेन चेत् लोकसङ्ग्रहार्थम् निवृत्तेन चेत् जीवनमात्रार्थम्
sp006-001277_GB_04-19	तम् ज्ञानाग्निदग्धकर्माणम् कर्मादौ अकर्मादिदर्शनम् ज्ञानम् तदेव अग्निः
sp006-001278_GB_04-19	तेन ज्ञानाग्निना दग्धानि शुभाशुभलक्षणानि कर्माणि यस्य
sp006-001279_GB_04-19	तम् आहुः परमार्थतः पण्डितम् बुधाः ब्रह्मविदः
sp006-001280_GB_04-20	कर्मणि न प्रवर्तते यद्यपि प्राग् विवेकतः प्रवृत्तः
sp006-001281_GB_04-20	यस्तु प्रारब्धकर्मा सन् उत्तरकालम् उत्पन्नात्मसम्यग्दर्शनः स्यात्
sp006-001282_GB_04-20	स कर्मणि प्रयोजनम् अपश्यन् ससाधनम् कर्म परित्यजत्येव
sp006-001283_GB_04-20	स कुतश्चित् निमित्तात् कर्मपरित्यागासम्भवे सति
sp006-001284_GB_04-20	कर्मणि तत्फले च सङ्गरहिततया स्वप्रयोजनाभावात् लोकसङ्ग्रहार्थम् पूर्ववत् कर्मणि प्रवृत्तोऽपि न एव किञ्चित् करोति
sp006-001285_GB_04-20	ज्ञानाग्निदग्धकर्मत्वात् तदीयम् कर्म अकर्म एव सम्पद्यते इति एतम् अर्थम् दर्शयिष्यन् आह
sp006-001286_GB_04-20	त्यक्त्वा कर्मसु अभिमानम् फलासङ्गम् च यथोक्तेन ज्ञानेन नित्यतृप्तो निराकाङ्क्षो विषयेषु इत्यर्थः
sp006-001287_GB_04-20	निराश्रय आश्रयरहितः आश्रयो नाम यदाश्रित्य पुरुषार्थम् सिसाधयिषति
sp006-001288_GB_04-20	दृष्टादृष्टेष्टफलसाधनाश्रयरहित इत्यर्थः
sp006-001289_GB_04-20	विदुषा क्रियमाणम् कर्म परमार्थतः अकर्म एव तस्य निष्क्रियात्मदर्शनसम्पन्नत्वात्
sp006-001290_GB_04-20	तेन एवम्भूतेन प्रयोजनाभावात् ससाधनम् कर्म परित्यक्तव्यम् एव इति प्राप्ते
sp006-001291_GB_04-20	ततो निर्गमासम्भवात् लोकसङ्ग्रहचिकीर्षया शिष्टविगर्हणापरिजिहीर्षया वा
sp006-001292_GB_04-20	पूर्ववत् कर्मणि अभिप्रवृत्तः अपि निष्क्रियात्मदर्शनसम्पन्नत्वात् न एव किञ्चित् करोति सः
sp006-001293_GB_04-21	स दृष्टादृष्टेष्टविषयाशीर्विवर्जिततया दृष्टादृष्टार्थे कर्मणि प्रयोजनम् अपश्यन् ससाधनम् कर्म सन्न्यस्य
sp006-001294_GB_04-21	शरीरयात्रामात्रचेष्टो यतिः ज्ञाननिष्ठो मुच्यते इत्येतमर्थम् दर्शयितुम् आह
sp006-001295_GB_04-21	निराशीः निर्गता आशिषो यस्मात् स निराशीः
sp006-001296_GB_04-21	यतचित्तात्मा चित्तम् अन्तःकरणम् आत्मा बाह्यः कार्यकरणसङ्घातः
sp006-001297_GB_04-21	तौ उभौ अपि यतौ संयतौ येन सः यतचित्तात्मा
sp006-001298_GB_04-21	त्यक्तसर्वपरिग्रहः त्यक्तः सर्वः परिग्रहो येन स त्यक्तसर्वपरिग्रहः
sp006-001299_GB_04-21	शारीरम् शरीरस्थितिमात्रप्रयोजनम्
sp006-001300_GB_04-21	केवलम् तत्रापि अभिमानवर्जितम् कर्म कुर्वन् न आप्नोति न प्राप्नोति किल्बिषम् अनिष्टरूपम् पापम् धर्मम् च
sp006-001301_GB_04-21	धर्मः अपि मुमुक्षोः किल्बिषमेव बन्धापादकत्वात्
sp006-001302_GB_04-21	किञ्च शारीरम् केवलम् कर्म इत्यत्र किम् शरीरनिर्वर्त्यम् शारीरम् कर्म अभिप्रेतम्
sp006-001303_GB_04-21	आहोस्वित् शरीरस्थितिमात्रप्रयोजनम् शारीरम् कर्म इति
sp006-001304_GB_04-21	किम् च अतो यदि शरीरनिर्वर्त्यम् शारीरम् कर्म यदि वा शरीरस्थितिमात्रप्रयोजनम् शारीरम् इति उच्यते
sp006-001305_GB_04-21	यदा शरीरनिर्वर्त्यम् कर्म शारीरम् अभिप्रेतम् स्यात्
sp006-001306_GB_04-21	तदा दृष्टादृष्टप्रयोजनम् कर्म प्रतिषिद्धमपि शरीरेण कुर्वन् न आप्नोति किल्बिषम् इति ब्रुवतो विरुद्धाभिधानम् प्रसज्येत
sp006-001307_GB_04-21	शास्त्रीयम् च कर्म दृष्टादृष्टप्रयोजनम् शरीरेण कुर्वन् न आप्नोति किल्बिषम्
sp006-001308_GB_04-21	इत्यपि ब्रुवतः अप्राप्तप्रतिषेधप्रसङ्गः
sp006-001309_GB_04-21	शारीरम् कर्म कुर्वन् इति विशेषणात् केवलशब्दप्रयोगाच्च वाङ्मनसनिर्वर्त्यम् कर्म
sp006-001310_GB_04-21	विधिप्रतिषेधविषयम् धर्माधर्मशब्दवाच्यम् कुर्वन् प्राप्नोति किल्बिषम् इति उक्तम् स्यात्
sp006-001311_GB_04-21	तत्रापि वाङ्मनसाभ्याम् विहितानुष्ठानपक्षे किल्बिषप्राप्तिवचनम् विरुद्धम् आपद्येत
sp006-001312_GB_04-21	प्रतिषिद्धसेवापक्षेऽपि भूतार्थानुवादमात्रम् अनर्थकम् स्यात्
sp006-001313_GB_04-21	यदा तु शरीरस्थितिमात्रप्रयोजनम् शारीरम् कर्म अभिप्रेतम् भवेत्
sp006-001314_GB_04-21	तदा दृष्टादृष्टप्रयोजनम् कर्म विधिप्रतिषेधगम्यम् शरीरवाङ्मनसनिर्वर्त्यम् अन्यदकुर्वन्
sp006-001315_GB_04-21	तैः एव शरीरादिभिः शरीरस्थितिमात्रप्रयोजनम् केवलशब्दप्रयोगात् अहम् करोमि इति
sp006-001316_GB_04-21	अभिमानवर्जितः शरीरादिचेष्टामात्रम् लोकदृष्ट्या कुर्वन् न आप्नोति किल्बिषम्
sp006-001317_GB_04-21	एवम्भूतस्य पापशब्दवाच्यकिल्बिषप्राप्त्यसम्भवात् किल्बिषम् संसारम् न आप्नोति
sp006-001318_GB_04-21	ज्ञानाग्निदग्धसर्वकर्मत्वात् अप्रतिबन्धेन मुच्यते एव इति पूर्वोक्तसम्यग्दर्शनफलानुवाद एव एषः
sp006-001319_GB_04-21	एवम् शारीरम् केवलम् कर्म इति अस्य अर्थ परिग्रहे निरवद्यम् भवति
sp006-001320_GB_04-22	याचनादिना शरीरस्थितौ कर्तव्यतायाम् प्राप्तायाम्
sp006-001321_GB_04-22	बोधायन स्मृतिः एकविंशति अष्ट द्वादश
sp006-001322_GB_04-22	इत्यादिना वचनेन अनुज्ञातम् यतेः शरीरस्थितिहेतोः अन्नादेः प्राप्तिद्वारम् आविष्कुर्वन् आह
sp006-001323_GB_04-22	यदृच्छालाभसन्तुष्टः अप्रार्थितोपनतो लाभो यदृच्छालाभः तेन सन्तुष्टः सञ्जातालम्प्रत्ययः
sp006-001324_GB_04-22	द्वन्द्वातीतो द्वन्द्वः शीतोष्णादिभिः हन्यमानः अपि अविषण्णचित्तो द्वन्द्वातीत उच्यते
sp006-001325_GB_04-22	विमत्सरो विगतमत्सरो निर्वैरबुद्दिः समः तुल्यो यदृच्छालाभस्य सिद्धौ असिद्धौ च
sp006-001326_GB_04-22	य एवम्भूतो यतिः अन्नादेः शरीरस्थितिहेतोः लाभालाभयोः समो हर्षविषादवर्जितः
sp006-001327_GB_04-22	कर्मादौ अकर्मादिदर्शी यथाभूतात्मदर्शननिष्ठः शरीरस्थितिमात्रप्रयोजने भिक्षाटनादिकर्मणि
sp006-001328_GB_04-22	शरीरादिनिर्वर्त्ये न एव किञ्चित् करोमि अहम्
sp006-001329_GB_04-22	गुणा गुणेषु वर्तन्ते इति एवम् सदा सम्परिचक्षाण आत्मनः कर्तृत्वाभावम् पश्यन्
sp006-001330_GB_04-22	न एव किञ्चित् भिक्षाटनादिकम् कर्म करोति
sp006-001331_GB_04-22	लोकव्यवहारसामान्यदर्शनेन तु लौकिकैः आरोपितकर्तृत्वे भिक्षाटनादौ कर्मणि कर्ता भवति
sp006-001332_GB_04-22	स्वानुभवेन तु शास्त्रप्रमाणादिजनितेन अकर्ता एव
sp006-001333_GB_04-22	स एवम् पराध्यारोपितकर्तृत्वः शरीरस्थितिमात्रप्रयोजनम् भिक्षाटनादिकम् कर्म कृत्वा अपि न निबध्यते
sp006-001334_GB_04-22	बन्धहेतोः कर्मणः सहेतुकस्य ज्ञानाग्निना दग्धत्वात् इति उक्तानुवाद एव एषः
sp006-001335_GB_04-23	इति अनेन श्लोकेन यः प्रारब्धकर्मा सन् यदा निष्क्रियब्रह्मात्मदर्शनसम्पन्नः स्यात्
sp006-001336_GB_04-23	तदा तस्य आत्मनः कर्तृकर्मप्रयोजनाभावदर्शिनः कर्मपरित्यागे प्राप्ते कुतश्चित् निमित्तात् तदसम्भवे सति
sp006-001337_GB_04-23	पूर्ववत् तस्मिन् कर्मणि अभिप्रवृत्तः अपि
sp006-001338_GB_04-23	न एव किञ्चित् करोति स इति कर्माभावः प्रदर्शितः
sp006-001339_GB_04-23	यस्य एवम् कर्माभावो दर्शितः तस्य एव
sp006-001340_GB_04-23	गतसङ्गस्य सर्वतोनिवृत्तासक्तेः मुक्तस्य निवृत्तधर्माधर्मादिबन्धनस्य
sp006-001341_GB_04-23	ज्ञानावस्थितचेतसो ज्ञाने एव अवस्थितम् चेतो यस्य सः अयम् ज्ञानावस्थितचेताः तस्य
sp006-001342_GB_04-23	यज्ञाय यज्ञनिर्वृत्त्यर्थम् आचरतो निवर्तयतः कर्म समग्रम् सहाग्रेण फलेन वर्तते
sp006-001343_GB_04-23	इति समग्रम् कर्म तत् समग्रम् प्रविलीयते विनश्यति इत्यर्थः
sp006-001344_GB_04-24	ब्रह्म अर्पणम् येन कारणेन ब्रह्मवित् हविः अग्नौ अर्पयति तत् ब्रह्म एव इति पश्यति
sp006-001345_GB_04-24	तस्य आत्मव्यतिरेकेण अभावम् पश्यति यथा शुक्तिकायाम् रजताभावम् पश्यति
sp006-001346_GB_04-24	तदुच्यते ब्रह्म एव अर्पणम् इति
sp006-001347_GB_04-24	यथा यद्रजतम् तत् शुक्तिका एव इति
sp006-001348_GB_04-24	ब्रह्म अर्पणम् इति असमस्ते पदे
sp006-001349_GB_04-24	यत् अर्पणबुद्ध्या गृह्यते लोके तत् अस्य ब्रह्मविदो ब्रह्म एव इत्यर्थः
sp006-001350_GB_04-24	ब्रह्म हविः तथा यत् हविर्बुद्ध्या गृह्यमाणम् तत् ब्रह्म एव अस्य
sp006-001351_GB_04-24	तथा ब्रह्माग्नौ इति समस्तम् पदम्
sp006-001352_GB_04-24	अग्निः अपि ब्रह्म एव यत्र हूयते ब्रह्मणा कर्त्रा ब्रह्म एव कर्ता इत्यर्थः
sp006-001353_GB_04-24	यत् तेन हुतम् हवनक्रिया तत् ब्रह्म एव
sp006-001354_GB_04-24	फलम् तदपि ब्रह्म एव
sp006-001355_GB_04-24	ब्रह्म एव कर्म ब्रह्मकर्म तस्मिन् समाधिः
sp006-001356_GB_04-24	यस्य स ब्रह्मकर्मसमाधिः तेन ब्रह्मकर्मसमाधिना ब्रह्म एव गन्तव्यम्
sp006-001357_GB_04-24	एवम् लोकसङ्ग्रहम् चिकीर्षूणापि क्रियमाणम् कर्म परमार्थतः अकर्म
sp006-001358_GB_04-24	ब्रह्मबुद्ध्युपमृदितत्वात्
sp006-001359_GB_04-24	एवम् सति निवृत्तकर्मणः अपि सर्वकर्मसन्न्यासिनः सम्यग्दर्शनस्तुत्यर्थम् यज्ञत्वसम्पादनम् ज्ञानस्य सुतराम् उपपद्यते
sp006-001360_GB_04-24	यत् अर्पणादि अधियज्ञे प्रसिद्धम् तत् अस्य अध्यात्मम् ब्रह्म एव परमार्थदर्शिन इति
sp006-001361_GB_04-24	अन्यथा सर्वस्य ब्रह्मत्वे अर्पणादीनाम् एव विशेषतो ब्रह्मत्वाभिधानम् अनर्थकम् स्यात्
sp006-001362_GB_04-24	तस्मात् ब्रह्म एव इदम् सर्वम् इति अभिजानतो विदुषः सर्वकर्माभावः
sp006-001363_GB_04-24	कारकबुद्ध्यभावाच्च
sp006-001364_GB_04-24	न हि कारकबुद्धिरहितम् यज्ञाख्यम् कर्म दृष्टम्
sp006-001365_GB_04-24	सर्वमेव अग्निहोत्रादिकम् कर्म शब्दसमर्पितदेवताविशेषसम्प्रदानादिकारकबुद्धिमत् कर्त्रभिमानफलाभिसन्धिमच्च दृष्टम्
sp006-001366_GB_04-24	न उपमृदितक्रियाकारकफलभेदबुद्धिमत् कर्तृत्वाभिमानफलाभिसन्धिरहितम् वा
sp006-001367_GB_04-24	इदम् तु ब्रह्मबुद्ध्युपमृदितार्पणादिकारकक्रियाफलभेदबुद्धि कर्म
sp006-001368_GB_04-24	अतः अकर्म एव तत्
sp006-001369_GB_04-24	तथा च दर्शितम्
sp006-001370_GB_04-24	इत्यादिभिः
sp006-001371_GB_04-24	तथा च दर्शयन् तत्र तत्र क्रियाकारकफलभेदबुद्ध्युपमर्दम् करोति
sp006-001372_GB_04-24	दृष्टा च काम्याग्निहोत्रादौ कामोपमर्देन काम्याग्निहोत्रादिहानिः
sp006-001373_GB_04-24	तथा मतिपूर्वकामतिपूर्वकादीनाम् कर्मणाम् कार्यविशेषस्य आरम्भकत्वम् दृष्टम्
sp006-001374_GB_04-24	तथा इहापि ब्रह्मबुद्ध्युपमृदितार्पणादिकारकक्रियाफलभेदबुद्धेः बाह्यचेष्टामात्रेण कर्मापि विदुषः अकर्म सम्पद्यते
sp006-001375_GB_04-24	अत उक्तम् समग्रम् प्रविलीयते इति
sp006-001376_GB_04-24	अत्र केचिदाहुः यद्ब्रह्म तदर्पणादीनि
sp006-001377_GB_04-24	ब्रह्म एव किल अर्पणादिना पञ्चविधेन कारकात्मना व्यवस्थितम् सत् तद् एव कर्म करोति
sp006-001378_GB_04-24	तत्र न अर्पणादिबुद्धिः निवर्त्यते किम् तु अर्पणादिषु ब्रह्मबुद्धिः आधीयते
sp006-001379_GB_04-24	यथा प्रतिमादौ विष्ण्वादिबुद्धिः यथा वा नामादौ ब्रह्मबुद्धिः इति
sp006-001380_GB_04-24	सत्यम् एवमपि स्यात् यदि ज्ञानयज्ञस्तुत्यर्थम् प्रकरणम् न स्यात्
sp006-001381_GB_04-24	अत्र तु सम्यग्दर्शनम् ज्ञानयज्ञशब्दितम् अनेकान् यज्ञशब्दितान् क्रियाविशेषान् उपन्यस्य
sp006-001382_GB_04-24	इति ज्ञानम् स्तौति
sp006-001383_GB_04-24	अत्र च समर्थमिदम् वचनम् ब्रह्मार्पणम् इत्यादि ज्ञानस्य यज्ञत्वसम्पादने अन्यथा सर्वस्य ब्रह्मत्वे अर्पणादीनामेव
sp006-001384_GB_04-24	विशेषतो ब्रह्मत्वाभिधानम् अनर्थकम् स्यात्
sp006-001385_GB_04-24	ये तु अर्पणादिषु प्रतिमायाम् विष्णुदृष्टिवत् ब्रह्मदृष्टिः क्षिप्यते नामादिषु इव च
sp006-001386_GB_04-24	इति ब्रुवते न तेषाम् ब्रह्मविद्या उक्ता इह विवक्षिता स्यात्
sp006-001387_GB_04-24	अर्पणादिविषयत्वात् ज्ञानस्य
sp006-001388_GB_04-24	न च दृष्टिसम्पादनज्ञानेन मोक्षफलम् प्राप्यते
sp006-001389_GB_04-24	इति च उच्यते
sp006-001390_GB_04-24	विरुद्धम् च सम्यग्दर्शनम् अन्तरेण मोक्षफलम् प्राप्यते इति
sp006-001391_GB_04-24	प्रकृतविरोधश्च सम्यग्दर्शनम् च प्रकृतम्
sp006-001392_GB_04-24	इत्यत्र अन्ते च सम्यग्दर्शनम् तस्य एव उपसंहारात्
sp006-001393_GB_04-24	इत्यादिना सम्यग्दर्शनस्तुतिम् एव कुर्वन् उपक्षीणः अध्यायः
sp006-001394_GB_04-24	तत्र अकस्मात् अर्पणादौ ब्रह्मदृष्टिः अप्रकरणे प्रतिमायाम् इव विष्णुदृष्टिः उच्यते इति अनुपपन्नम्
sp006-001395_GB_04-24	तस्मात् यथाव्याख्यातार्थ एव अयम् श्लोकः
sp006-001396_GB_04-25	दैवम् एव देवा इज्यन्ते येन यज्ञेन असौ दैवो यज्ञः
sp006-001397_GB_04-25	तमेव अपरे यज्ञम् योगिनः कर्मिणः पर्युपासते कुर्वन्ति इत्यर्थः
sp006-001398_GB_04-25	ब्रह्माग्नौ सत्यम् ज्ञानमनन्तम् ब्रह्म
sp006-001399_GB_04-25	तैत्तरीय उपनिषत् द्वि एक
sp006-001400_GB_04-25	विज्ञानमानन्दम् ब्रह्म बृहदारण्यक उपनिषत् त्रि नव अष्टाविंशति
sp006-001401_GB_04-25	बृहदारण्यक उपनिषत् त्रि चतुः एकम्
sp006-001402_GB_04-25	इत्यादिवचनोक्तम् अशनायादिसर्वसंसारधर्मवर्जितम् नेति नेति इति निरस्ताशेषविशेषम् ब्रह्मशब्देन उच्यते
sp006-001403_GB_04-25	ब्रह्म च तदग्निश्च स होमाधिकरणत्वविवक्षया ब्रह्माग्निः
sp006-001404_GB_04-25	तस्मिन् ब्रह्माग्नौ अपरे अन्ये ब्रह्मविदः
sp006-001405_GB_04-25	यज्ञम् यज्ञशब्दवाच्य आत्मा आत्मनामसु यज्ञशब्दस्य पाठात्
sp006-001406_GB_04-25	तम् आत्मानम् यज्ञम् परमार्थतः परम् एव ब्रह्म
sp006-001407_GB_04-25	सन्तम् बुद्ध्याद्युपाधिसंयुक्तम् अध्यस्तसर्वोपाधिधर्मकम् आहुतिरूपम्
sp006-001408_GB_04-25	यज्ञेन एव आत्मना एव उक्तलक्षणेन उपजुह्वति प्रक्षिपन्ति
sp006-001409_GB_04-25	सोपाधिकस्य आत्मनो निरुपाधिकेन परब्रह्मस्वरूपेण एव
