sp021-000001_01	भक्तः कुलशेखरः
sp021-000633_16	सुदर्शनः
sp021-000634_16	कश्चन आश्रमः
sp021-000635_16	आश्रमे बहवः शिष्याः
sp021-000636_16	कदाचित् कश्चन शिष्यः गुरुम् उपसर्प्य अवदत्
sp021-000637_16	गुरुवर्य यदा अहम् शारीरककार्यम् कुर्वन् भवेयम् यदा च एकान्ते भवेयम्
sp021-000638_16	तदा सर्वदा निषिद्धानाम् एव वस्तूनाम् स्मरणम् भवति
sp021-000639_16	यानि मम हिताय न भवेयुः तेषाम् प्राप्तौ इच्छा उत्पद्यते
sp021-000640_16	एवम् चेत् मम प्रगतिः कथम् स्यात्
sp021-000641_16	किम् करणीयम् इत्येव न ज्ञायते
sp021-000642_16	एतस्याः दुरवस्थायाः स्मरणात् मनः उद्विग्नम् भवति अपि इति
sp021-000643_16	गुरुः उत्तरम् किमपि न अवदत्
sp021-000644_16	मन्दहासमात्रम् प्राकटयत् सः
sp021-000645_16	शिष्यः पुनः अपृच्छत्
sp021-000646_16	आचार्य वर्य मम प्रश्नस्य समाधानम् किम्
sp021-000647_16	अहम् कथम् प्रगति साधयेयम् इति
sp021-000648_16	गुरुः मन्दहासम् प्रकटयन् उत्थाय ततः गच्छन् हस्तसङ्केतेन तम् शिष्यम् असूचयत्
sp021-000649_16	माम् अनुसर इति
sp021-000650_16	ततः तौ आश्रमात् बहिः गतवन्तौ
sp021-000651_16	समीपे एव स्थितम् एकम् कण्टकसस्यम् प्रदर्श्य गुरुः अपृच्छत्
sp021-000652_16	इतः किम् ज्ञायते त्वया
sp021-000653_16	एतत् तु कण्टकमयम् सस्यम्
sp021-000654_16	घोरः विषांशः अपि अस्ति अस्मिन् इति श्रुतम् मया
sp021-000655_16	अस्य दर्शनात् तव शरीरे विषप्रवेशः जातः किम्
sp021-000656_16	न केवलेन दर्शनमात्रेण शरीरे विषप्रवेशः कथम् भवेत्
sp021-000657_16	एतस्य विषसस्यस्य पर्णानि फलम् मूलम् वा यदि सेव्येत
sp021-000658_16	तर्हि एव कश्चित् विषस्य परिणाम प्राप्नुयात्
sp021-000659_16	तदा गुरुः अवदत्
sp021-000660_16	निषिद्धविषयाणाम् विषये अपि इयमेव नीतिः अन्विता भवेत्
sp021-000661_16	मनसि तेषाम् सञ्चारतः न कापि हानिः
sp021-000662_16	अधोगतिकारकेषु अंशेषु यावत् वयम् प्रवृत्ताः न भवेम
sp021-000663_16	तावत् तेषाम् स्मरणतः किमपि कष्टम् न भवेत्
sp021-000664_16	किन्तु पुनः पुनः स्मरणात् तेषु प्रवृत्तिः भवेत् इत्यतः सद्विषयाः एव चिन्तनीयाः इति उच्यते
sp021-000665_16	सद्विचाराः एव मनसि यथा उद्भवेयुः तथा करणाय किम् करणीयम्
sp021-000666_16	शिष्यः पुनः अपृच्छत्
sp021-000667_16	तदर्थम् सत्कार्येषु प्रवृत्तिम् अधिकम् कुरु
sp021-000668_16	सर्वदा कार्यव्यापृतिः भवेत्
sp021-000669_16	सद्भक्तकथाः शृणु
sp021-000670_16	सज्जनानाम् सहवासम् अधिकम् कुरु
sp021-000671_16	एतस्य सर्वस्य कारणतः सर्वदा मनसि सद्विचाराः एव उत्पद्येरन्
sp021-000672_17	अज्ञानम् दुःखकारकम्
sp021-000673_17	श्रीशः देवपूजारी
sp021-000674_17	कस्मिंश्चित् वने कश्चन तक्षकः निवसति स्म
sp021-000675_17	प्रतिदिनम् सः वृक्षाणाम् कर्तनम् कृत्वा
sp021-000676_17	तान् ज्वालयित्वा कृष्णाङ्गारान् निर्माय विक्रयणम् करोति स्म
sp021-000677_17	एकस्मिन् दिने कश्चन मार्गभ्रष्टः अश्वारोही तत् वनम् प्राप्तवान्
sp021-000678_17	श्रान्तः क्लान्तः च सः अश्वारोही तक्षकम् जलम् याचितवान्
sp021-000679_17	माध्याह्नसमयः आसीत्
sp021-000680_17	अतः तक्षकः स्वभोजनम् बुभुक्षिताय अतिथये समर्पितवान् जलम् च दत्तवान्
sp021-000681_17	भोजनम् प्राप्य सन्तुष्टः अश्वारोही स्वपरिचयम् श्रावितवान्
sp021-000682_17	पथिकः पार्श्वराज्यस्य राजा आसीत्
sp021-000683_17	किञ्चित् विश्रामम् स्वीकृत्य गमनसमये सः नृपः तक्षकाय धन्यवादम् समर्प्य कथितवान्
sp021-000684_17	यदि कदापि किमपि कष्टम् भवेत् तर्हि भवान् मम स्मरणम् करोतु
sp021-000685_17	अहम् निश्चयेन साहाय्यम् करिष्यामि
sp021-000686_17	यदा कदापि मम समीपम् आगन्तुम् अर्हति भवान् इति
sp021-000687_17	गच्छता कालेन वनस्थान् सर्वान् वृक्षान् कर्तयित्वा
sp021-000688_17	ज्वालयित्वा च कृष्णाङ्गारान् निर्माय तक्षकः विक्रयणम् कृतवान्
sp021-000689_17	वनम् समाप्तम् जातम्
sp021-000690_17	तक्षकः चिन्ताग्रस्तः जातः
sp021-000691_17	अग्रे अर्थार्जनम् कथम् करणीयम् इति प्रश्नः आगतः
sp021-000692_17	अकस्मात् तस्य मनसि राज्ञः स्मरणम् आगतम्
sp021-000693_17	अतः सः राजधानीम् सम्प्राप्य नृपेण मिलितवान् स्वसमस्याम् निवेदितवान् च
sp021-000694_17	राजा महानगरात् बहिः रक्षितम् स्वचन्दनवनम् तक्षकाय दत्तवान्
sp021-000695_17	कतिपयमासानन्तरम् नृपः तक्षकम् स्मृत्वा
sp021-000696_17	तस्य अवस्थाम् ज्ञातुम् वनम् अगच्छत्
sp021-000697_17	तत्र द्वित्राः वृक्षाः अवशिष्टाः आसन्
sp021-000698_17	तेषाम् समाप्तेः अनन्तरम् किम् इति चिन्तयन् म्लानमुखः तक्षकः रोदनम् आरब्धवान्
sp021-000699_17	एतत् दृष्ट्वा नृपः आश्चर्ययुक्तः अभवत्
sp021-000700_17	चन्दनवृक्षाः कुत्र गताः इति तस्य मनसि प्रश्नः उद्भूतः
sp021-000701_17	राज्ञा पृष्टः तक्षकः उक्तवान्
sp021-000702_17	अहम् यथापूर्व कृष्णाङ्गाराणाम् निर्माणम् कृत्वा विक्रयणम् करोमि स्म
sp021-000703_17	अत्रापि तथैव कृतवान् इति
sp021-000704_17	राजा तस्य अज्ञानम् ज्ञात्वा मनसि एव हसन्
sp021-000705_17	चन्दनवृक्षस्य एकाम् शाखाम् कर्तयित्वा विपणिम् गत्वा विक्रीय आगच्छ
sp021-000706_17	इति आदिश्य तम् तक्षकम् विपणिम् प्रति प्रेषितवान्
sp021-000707_17	विपण्याम् चन्दनवृक्षखण्डम् दृष्ट्वा
sp021-000708_17	क्रेतुम् इच्छुकाः आपणिकाः अहमहमिकया मूल्यवर्धनम् कृतवन्तः
sp021-000709_17	तेन दशसहस्रपरिमितेन मूल्येन चन्दनकाष्ठस्य विक्रयणम् अभवत्
sp021-000710_17	तक्षकः एतावत् धनम् प्राप्य चन्दनस्य मूल्यम् कियत् इति अवगतवान्
sp021-000711_17	अद्यपर्यन्तम् चन्दनकाष्ठानि एव दग्ध्वा अङ्गाराः निर्मिताः यत् तत् स्मरन् सः तक्षकः महान्तम् पश्चात्तापम् अनुभूतवान्
sp021-000712_18	गुरौ प्राप्ते
sp021-000713_18	कदाचित् कश्चन तरुणः गुरोः समीपम् आगत्य प्रार्थितवान्
sp021-000714_18	गुरुवर्य शिष्यत्वेन स्वीकृत्य अहम् अनुग्रहणीयः इति
sp021-000715_18	तदा गुरुः अवदत्
sp021-000716_18	भोः आश्रमे एतावता एव शताधिकाः शिष्याः सन्ति
sp021-000717_18	अतः तव स्वीकारः भवितुम् नार्हति इति
sp021-000718_18	गुरुदेव मम स्वीकारम् मा निराकरोतु भवान्
sp021-000719_18	मम निमित्तम् कापि व्यवस्था न आवश्यकी
sp021-000720_18	भवान् यत् कार्यम् वदेत् तत् कुर्वन् स्थास्यामि अहम्
sp021-000721_18	अस्तु तर्हि
sp021-000722_18	पाकशालायाम् पेषणादिकार्ये साहाय्यम् कुरु इति अवदत् गुरुः
sp021-000723_18	शिष्यः एताम् आज्ञाम् शिरसा वहन् पेषणादिकार्ये उद्यतः अभवत्
sp021-000724_18	आश्रमे जनाः बहवः
sp021-000725_18	अतः सर्वदा पेषणादिकार्यम् पाकशालायाम् भवति स्म एव
sp021-000726_18	तत् श्रद्धया अकरोत् शिष्यः
sp021-000727_18	गुरुः तम् कदापि किमपि न बोधितवान्
sp021-000728_18	एवमेव बहूनि वर्षाणि अतीतानि
sp021-000729_18	गुरोः अन्तिमकालः सन्निहितः
sp021-000730_18	सः शिष्यान् आहूय अवदत्
sp021-000731_18	आश्रमे भवद्भिः यत् शिक्षणम् प्राप्तम् तस्य सारम् लिखित्वा यच्छन्तु इति
sp021-000732_18	प्रायः सर्वेषाम् आशयः समानः एव आसीत्
sp021-000733_18	मनः दर्पणः इव
sp021-000734_18	गुरुः स्वबोधनैः तत्रत्यान् धूलिकणान् दूरीकरोति
sp021-000735_18	ज्ञानाञ्जनशलाकया सः अस्माकम् चक्षुः उन्मीलयति इति
sp021-000736_18	कस्यापि उत्तरस्य पठनात् गुरुः न सन्तुष्टः
sp021-000737_18	सः अन्ते अवदत्
sp021-000738_18	सः पेषणकार्यनिरतः अपि अस्मिन् विषये पृच्छ्यताम्
sp021-000739_18	स तु अशिक्षितः
sp021-000740_18	किम् वा वदेत् सः
sp021-000741_18	इति चिन्तयन्तः शिष्याः पेषणकर्तारम् अवदन्
sp021-000742_18	भवता यत् अत्र प्राप्तम् तत् साररूपेण वद इति
sp021-000743_18	भवद्भिः किम् वा लिखितम् पेषणकर्ता अपृच्छत्
sp021-000744_18	मनोरूपस्य दर्पणस्य मालिन्यापसारकः भवति गुरुः इति
sp021-000745_18	तदा सः पेषणकर्ता अवदत्
sp021-000746_18	सुहृदः गुरौ प्राप्ते पुनः मनः अस्मत्समीपे क्व भवेत्
sp021-000747_18	तत् तु भवेत् गुर्वधीनम्
sp021-000748_18	सः एव सर्वाः क्रियाः निर्दिशति कारयति च
sp021-000749_18	एतत् श्रुत्वा नितराम् सन्तुष्टः गुरुः ऐदम्प्राथम्येन तम् स्वसमीपम् आनाय्य
sp021-000750_18	आशिषा अनुगृहीतवान्
sp021-000751_18	तमेव आश्रमस्य उत्तराधिकारिणम् कृतवान् च
