sp023-000001_001	ब्रह्मसूत्रे प्रथमाध्याये प्रथमः पादः
sp023-000477_006	साङ्ख्यादयस्तु परिनिष्ठितम् वस्तु प्रमाणान्तरगम्यमेव इति मन्यमानाः प्रधानादीनि कारणान्तराणि अनुमिमानाः तत्परतयैव वेदान्तवाक्यानि योजयन्ति
sp023-000478_006	सर्वेष्वेव वेदान्तवाक्येषु सृष्टिविषयेषु अनुमानेनैव कार्येण कारणम् लिलक्षयिषितम्
sp023-000479_006	प्रधानपुरुषसंयोगा अनित्य अनुमेया इति साङ्ख्या मन्यन्ते
sp023-000480_006	एवम् अन्येऽपि तार्किकाः वाक्याभासयुक्त्याभासावष्टम्भाः पूर्वपक्षवादिनः इह उत्तिष्ठन्ते
sp023-000481_006	तत्र पदवाक्यप्रमाणज्ञेन आचार्येण वेदान्तवाक्यानाम् ब्रह्मात्म अवगतिपरत्वप्रदर्शनाय वाक्याभासयुक्त्याभासप्रतिपत्तयः पूर्वपक्षीकृत्य निराक्रियन्ते
sp023-000482_006	तत्र साङ्ख्याः प्रधानम् त्रिगुणम् अचेतनम् स्वतन्त्रम् जगतः कारणमिति मन्यमाना आहुः
sp023-000483_006	यानि वेदान्तवाक्यानि सर्वज्ञस्य सर्वशक्तेर्ब्रह्मणो जगत्कारणत्वम् प्रदर्शयन्तीत्यवोचः
sp023-000484_006	तानि प्रधानकारणपक्षेऽपि योजयितुम् शक्यन्ते
sp023-000485_006	सर्वशक्तित्वम् तावत् प्रधानस्यापि स्वविकारविषयम् उपपद्यते
sp023-000486_006	एवम् सर्वज्ञत्वमपि उपपद्यते
sp023-000487_006	कथम् यत्त्वम् ज्ञानम् मन्यसे स सत्त्वधर्मः
sp023-000488_006	तेन च सत्त्वधर्मेण ज्ञानेन कार्यकरणवन्तः पुरुषाः सर्वज्ञा योगिनः प्रसिद्धाः
sp023-000489_006	सत्त्वस्य हि निरतिशयोत्कर्षे सर्वज्ञत्वम् प्रसिद्धम्
sp023-000490_006	न केवलस्य अकार्यकरणस्य पुरुषस्य उपलब्धिमात्रस्य सर्वज्ञत्वम् किञ्चिज्ज्ञत्वम् वा कल्पयितुम् शक्यम्
sp023-000491_006	त्रिगुणत्वात्तु प्रधानस्य सर्वज्ञानकारणभूतम् सत्त्वम् प्रधानावस्थायामपि विद्यत इति प्रधानस्य अचेतनस्यैव सतः सर्वज्ञत्वम् उपचर्यते वेदान्तवाक्येषु
sp023-000492_006	अवश्यम् च त्वयापि सर्वज्ञम् ब्रह्म इति अभ्युपगच्छता सर्वज्ञानशक्तिमत्त्वेनैव सर्वज्ञत्वम् अभ्युपगन्तव्यम्
sp023-000493_006	न हि सर्वदा सर्वविषयम् ज्ञानम् कुर्वदेव ब्रह्म वर्तते
sp023-000494_006	तथाहि ज्ञानस्य नित्यत्वे ज्ञानक्रियाम् प्रति स्वातन्त्र्यम् ब्रह्मणो हीयेत
