sp022-000001_001	श्री परमात्मने नमः
sp022-000459_008	धृतराष्ट्रः अस्ति अज्ञानस्य प्रतीकः
sp022-000460_008	सञ्जयस्तु संयमस्य प्रतीकः ज्ञेयः
sp022-000461_008	अज्ञानम् चेतसः तिष्ठत्यन्तराले
sp022-000462_008	धृतराष्ट्रः तु अज्ञानाच्छादितमानसः अस्ति
sp022-000463_008	जन्मान्धः अपि इति अवधेयः
sp022-000464_008	परन्तु संयमप्रतीकभूतस्य सञ्जयस्य माध्यमेन धृतराष्ट्रः पश्यति शृणोति च
sp022-000465_008	यत् परमात्मैवैकम् सत्यम् अस्ति
sp022-000466_008	पुनरपि यदावधि मोहस्वरूपः दुर्योधनः तस्य हृदयप्रदेशे विराजते
sp022-000467_008	तदवधिम् यावत् तस्य दृष्टिः विकाररूपे कौरव एव संलग्ना अस्ति
sp022-000468_008	शरीरम् एकम् क्षेत्रम् अस्ति
sp022-000469_008	यदा हृदयदेशे दैवीसम्पदः प्राचुर्यम् जायते
sp022-000470_008	तदेदम् शरीरम् धर्मक्षेत्रायते
sp022-000471_008	यदा आसुरीसम्पदः प्राचुर्यम् भवति तदा कुरुक्षेत्रायते च
sp022-000472_008	आदेशवाचकम् कुरु पदम् कर्मणि प्रवृत्यर्थम्
sp022-000473_008	कर्म कुरु इति कर्म कर्तुम् प्रेरकम् क्रियापदम् अस्ति
sp022-000474_008	श्रीकृष्णः कथयति यत् प्रकृतिप्रभूतैः त्रिभिः गुणैः परतन्त्रः मनुष्यः कर्म करोति
sp022-000475_008	सः क्षणमात्रम् अपि अकुर्वन् कर्म न अवस्थातुम् शक्नोति
sp022-000476_008	गुणाः तु तेन मानवेन बलात् कर्मकारयन्ति
sp022-000477_008	सुप्तावस्थायाम् अपि कर्मविरामः न भवति
sp022-000478_008	तदपि पुष्टशरीरस्य बुभुक्षानिवारकखाद्यमात्रम् अस्ति
sp022-000479_008	त्रयो गुणाः मानवम् देवतातः समारभ्य कीटादि विविधशरीरेषु बध्नन्ति
sp022-000480_008	यावत् प्रकृतिः प्रकृतिजाः गुणाः च सन्ति जीविताः तावत् कुरु इत्यादेशः अपि जीविष्यति
sp022-000481_008	अतो हि जन्ममृत्युसहितम् क्षेत्रम् विकारग्रसितञ्च क्षेत्रम् कुरुक्षेत्रम् जानीयात्
sp022-000482_008	तथा परमधर्मपरमात्मनि प्रवेशयितुम् पुण्यमयीनाम् पाण्डवप्रतीकभूतानाम् प्रवृत्तीनाम् क्षेत्रम् धर्मक्षेत्रम् अस्ति
sp022-000483_008	पुरातत्वविदः पञ्चाम्बुप्रदेशे काशीप्रयागयोः अन्तराले तथा भारतभूखण्डस्य अनेकेषु स्थलेषु कुरुक्षेत्रस्य शोधात्मकान्वेषणे रताः सन्ति
sp022-000484_008	किन्तु गीताकारः स्वयम् कथितवान् अस्ति
sp022-000485_008	यत् यस्मिन् क्षेत्रे युद्धम् अभवत् तत्क्षेत्रम् क्व अस्ति
sp022-000486_008	इदम् शरीरम् कौन्तेय क्षेत्रमित्यभिधीयते
sp022-000487_008	अर्जुन इदम् शरीरमेव क्षेत्रम् अस्ति
sp022-000488_008	य इदम् क्षेत्रम् जानाति स एव पारङ्गामी क्षेत्रज्ञः
sp022-000489_008	अग्रे चलित्वा श्रीकृष्णः क्षेत्रस्य विस्तारम् अवर्णयत्
sp022-000490_008	यथा यस्मिन् क्षेत्रे दशेन्द्रियाणि मनः बुद्धिः अहङ्कारः पञ्चविकारास्त्रयोगुणाश्च सततम् वर्तन्ते
sp022-000491_008	इदम् शरीरमेव युद्धभूमिप्रतीकभूतम् क्षेत्रम् अस्ति
sp022-000492_008	अस्मिन् क्षेत्रे युयुत्सू द्वे प्रवृत्यौ विराजेते
sp022-000493_008	एका दैवीसम्पन्नाम्नी द्वितीया आसुरीसम्पन्नाम्नी
sp022-000494_008	पाण्डुधृतराष्ट्रयोः सन्ततयः सजातीयविजातीयप्रवृत्यौ स्तः
