sp010-000001_SR_01	समर्थः स्वामी रामदासः
sp010-000521_SR_17	किम् मंस्यसे त्वम् ममैकाम् याचनाम्
sp010-000522_SR_17	नारायणोऽब्रूत प्रथमतमोऽहमम्बाया आज्ञाकरः
sp010-000523_SR_17	उच्यताम्
sp010-000524_SR_17	पुत्र अहमिच्छामि त्वामेकदा विवाहचतुष्के स्थितम्
sp010-000525_SR_17	तद् दृश्यम् दृष्टमथ ममाक्षिणी परितृप्ते पुरोहितेन सावधान इति
sp010-000526_SR_17	पदमेकवारम् उच्चारितम् श्रुत्वैव मम श्रवसी तर्पिष्यतः
sp010-000527_SR_17	एतावदेवाहमिच्छामि
sp010-000528_SR_17	अप्यनुमतम् तव इति
sp010-000529_SR_17	नारायण उदतरत् एतावदहम् करिष्यामि
sp010-000530_SR_17	पुरोहितेनोच्चारितम् सावधानशब्दम् यावदहम् स्थास्यामि विवाहचतुष्के
sp010-000531_SR_17	मातराश्वसिहि
sp010-000532_SR_17	माता प्रसन्ना
sp010-000533_SR_17	तया व्यचारि युवका आदौ नहीत्येव आम्रेडयन्ति जातविवाहाः पुनः सर्वमूरीकुर्वन्त्येवेति
sp010-000534_SR_17	नारायणोऽपि तथैव पश्चादनुकूलो भविष्यति
sp010-000535_SR_17	तया आसन नाम्नो ग्रामस्य भानजीपन्त गोसावी सम्पर्चितः
sp010-000536_SR_17	स स्वीकृतिम् दत्तवान् आत्मनः कन्याम् नारायणाय दातुम्
sp010-000537_SR_18	तिथिर्विवाहघटिका च निश्चिते
sp010-000538_SR_18	वरम् पुरस्कृत्य वरयात्रिण आसनग्रामम् प्राप्ताः
sp010-000539_SR_18	समक्षमन्तरपट आस्तृतः
sp010-000540_SR_18	इदानीम् पुरोहितः तारस्वरेणोच्चारयति वध्वागमननान्दीमिव सावधान इति
sp010-000541_SR_18	नारायणः पृच्छति कम् वा भवान् सावधानम् चिकीर्षसि किमिति एवम् तारेण स्वरेण
sp010-000542_SR_18	पुरोहितः प्रोवाच भवन्तमेव प्रति सावधानो भव वधूरागच्छति
sp010-000543_SR_18	तस्याः सन्तानानाम् जीविकायाः व्यवसायस्य च भारस्त्वयैव सोढव्य इति
sp010-000544_SR_18	नारायणस्य मनसि विचारझञ्झा प्रोत्थिता
sp010-000545_SR_18	स व्यचारयत् किमहम् द्रव्यम् जीविका गार्हस्थ्यकम् पालयितुमस्म्युत्पन्नः
sp010-000546_SR_18	मम ध्येयम् तु परमेश्वरस्य प्राप्तिः
sp010-000547_SR_18	अहम् ध्रुव इव तपश्चरितुमुत्पन्नः भगवता हनूमताऽऽदिष्टोऽस्मि रामभक्तिम् कर्तुम्
sp010-000548_SR_18	मया मात्रे केवलमियदेव प्रतिश्रुतम् यत् सावधानध्वनिम् यावत् स्थास्याम्यहम् विवाहचतुष्के
sp010-000549_SR_18	पुरोहितेनोच्चारित एव सावधान इति शब्दः
sp010-000550_SR_18	मम वचनम् पूर्णम् जातम्
sp010-000551_SR_18	इदानीमितोऽपैमि
sp010-000552_SR_18	पुरोहितोऽक्षिणी निमील्य मङ्गलाष्टकम् पठति स्म
sp010-000553_SR_18	आकर्षकम् वितानम् शोभमानमासीत्
sp010-000554_SR_18	बहुमूल्यानि वासांसि भूषणानि च धारयन्त्यः स्त्रियस्तत्रात्मनो नेपथ्यवैभवम् दर्शयन्ति स्म
sp010-000555_SR_18	शिशवः परिधावन्ति स्म परितः
sp010-000556_SR_18	पार्श्व एवासीद् महानसम्
sp010-000557_SR_18	तत्र विविधानि मिष्टानि साध्यमानान्यभूवन्
sp010-000558_SR_18	अन्येऽपि तिक्तास्वादा विविधाः पाकाः साध्यन्ते स्म
sp010-000559_SR_18	तेषाम् सौरभ्यम् परितः प्रसरीसरति स्म
sp010-000560_SR_18	अनेकेषाम् मुखेषु जलम् स्रवति स्म
sp010-000561_SR_18	कन्यापक्षा भोजनादिव्यवस्थालग्ना अभूवन्
sp010-000562_SR_18	सर्वत्रैव जनसम्मर्द आसीत्
sp010-000563_SR_18	कोलाहलो जायते स्म
sp010-000564_SR_18	एकम् श्लोकमुच्चार्य पुरोहितो यावत् पश्यति स सहसैव कथयति वरः कुत्र गत इति
sp010-000565_SR_18	जना अन्योन्यम् पृच्छन्ति वरः क्वेति
sp010-000566_SR_18	सर्वे कथयितुमारब्धा वरः पलायित इति
sp010-000567_SR_18	सर्वेऽपि जनाः सीददन्तरङ्गाः स्तब्धाश्च जाताः
sp010-000568_SR_18	ईदृशम् तु कदापि नाघटत नादृश्यत नाश्रूयतेति विरावः सर्वत्र
sp010-000569_SR_18	अन्विष्यतामन्विष्यताम् कुत्र वा यास्यति अत्रैव क्वापि भविष्यतीति जनरवः
sp010-000570_SR_18	आसनग्रामस्य प्रत्येकम् गृहमदृश्यत किन्तु न दृष्टः कुत्रापि वरः
sp010-000571_SR_18	सर्वेषामुत्साहोऽनवासादयत
sp010-000572_SR_18	नारायणस्य माता राणूदेवी महत्तममाधिमन्वभूत्
sp010-000573_SR_18	तामसान्त्वयत् गङ्गाधरः
sp010-000574_SR_19	सोऽचकथत् मातः यद् घटितम् तदसम्भावितम् नासीत्
sp010-000575_SR_19	नारायणविवाहे प्रारम्भत एवासमहम् बद्धसन्देहः
sp010-000576_SR_19	नासीत् नारायणः साधारणो बालः
sp010-000577_SR_19	आसीत् स बालयोगी
sp010-000578_SR_19	स नास्त्येवास्य लोकस्य
sp010-000579_SR_19	अस्माकम् पूर्वसुकृतानामयम् परीपाको यत् नारायणोऽस्माकम् गृहम् जन्मना व्यभूषयत
sp010-000580_SR_19	को वा रुन्ध्याद् विद्युतम् को वा बध्नीत समुद्रम् कश्चेश्वरभक्तम् सांसारिकेषु बन्धनेषु बध्नीत
sp010-000581_SR_19	ध्रुवः प्रह्लादश्चैवम्विधावेवाजायेताम्
sp010-000582_SR_19	अस्माकम् नारायणोऽपि तत्समकोटिक आसीत्
sp010-000583_SR_19	विश्वसिमि कामम् कियानपि कालावधिर्व्यत्येतु एकदा नारायण आगमिष्यत्येव
sp010-000584_SR_19	राणूदेवी स्वस्य ज्येष्ठस्य पुत्रस्य भाषणम् तूष्णीम् श्रुतवती
sp010-000585_SR_19	अश्रूणि प्रोञ्छितानि
sp010-000586_SR_19	किञ्चिदिव साऽशाम्यत
sp010-000587_SR_19	तपश्चर्या
sp010-000588_SR_19	नारायणो विवाहमण्डपादियता वेगेनाधावत् यन्न कश्चिदशकत् तम् द्रष्टुम्
sp010-000589_SR_19	सम्बन्धिभिरिष्टजनैश्च बहुधा प्रयतितम् किन्तु नाशकत् कश्चनापि तमन्वेष्टुम्
sp010-000590_SR_19	स गहनमरण्यमविशत्
sp010-000591_SR_19	दिने प्रच्छन्नो रात्रौ च प्रकाशः स प्रवासम् करोति
sp010-000592_SR_19	नासिकम् प्राप्तुमासीत् सङ्कल्पस्तस्य
sp010-000593_SR_19	नासिकम् हि गोदावरीतीरस्थितम् तीर्थम्
sp010-000594_SR_19	तत्रावसत् भगवान् रामचन्द्रः सौमित्रिणा सीतया च सार्धम्
sp010-000595_SR_19	तत्रैवासीत् तस्य पञ्चवटी
sp010-000596_SR_19	तत्रैव वसता भगवता रामेण सहस्रशो राक्षसा हताः
sp010-000597_SR_19	सा हि तपोभूमिः शतशतानामृषीणाम् मुनीनाञ्च
sp010-000598_SR_19	नारायणस्तत्र गन्तुम् निरचिनोत्
sp010-000599_SR_19	आसनग्रामान्निष्क्रम्य स गोदावरीतीरमासदत्
sp010-000600_SR_19	मार्गमसौ पृच्छति स्म ताँस्तान् पथि स्थिताञ्जनान्
sp010-000601_SR_19	गोदावरीप्रभवभूमिदिशम् स चलति
sp010-000602_SR_19	अविरामम् अश्रमम् च स निरन्तरम् चलन्नेवावर्तिष्ट
sp010-000603_SR_19	रूक्षशुष्काम् रोटिकाम् कश्चिदाशयति चेत् तामश्नाति अग्रतश्च सरति
sp010-000604_SR_19	कदाचित् कस्मिंश्चिन्मन्दिरे कदाचिद् धर्मशालायाम्
sp010-000605_SR_19	कदाचित् क्षेत्रस्य खले कदाचिच्च वृक्षतले निद्राम् नयति स्म
sp010-000606_SR_19	प्रबुद्धमात्रः प्रवर्त्तते स्माग्रेसर्तुम्
sp010-000607_SR_19	एवमेकादश दिनानि नीत्वा नासिकक्षेत्रम् स प्राप
sp010-000608_SR_19	रामकुण्डे कृतस्नानः स मन्दिरम् प्राप
sp010-000609_SR_19	स प्रभोः सम्मुखे साष्टाङ्गम् प्रणनाम
sp010-000610_SR_19	ततः साञ्जलिबन्धो ध्यानस्थः सन्नुपाविशत्
sp010-000611_SR_19	प्रेमकारुण्यपूर्णाम् ताम् मूर्तिम् दृष्ट्वा नारायणः कृतकृत्यतामन्वभूत्
sp010-000612_SR_19	शरीरे रोमाण्यहृष्यन्
sp010-000613_SR_19	तस्याङ्गानि स्फुरणामद्भुतामवापन्
sp010-000614_SR_22	सम्पूज्य अजपत् स गोदावरीजले स्थित्वा गायत्रीम् जय राम श्रीराम जय जय रामेति च
sp010-000615_SR_22	मध्याह्नसन्ध्यावन्दनादुत्तरम् स ग्रामे गत्वा भिक्षाम् याचते केवलान् पञ्चैव गृहान्
sp010-000616_SR_22	भिक्षाया अप्राप्तौ अल्पप्राप्तौ वा षष्ठम् गृहम् नोपयाति
sp010-000617_SR_22	भिक्षायै स राम इत्येवोच्चैस्स्वरेणोच्चारयते
sp010-000618_SR_22	पादबद्धदृष्टिरेव सदा स तिष्ठति
sp010-000619_SR_22	प्राप्ताम् भिक्षामाददानः स नदीम् प्राप्नोति
sp010-000620_SR_22	भिक्षाया अन्नम् त्रिविभक्तम् तनोति
sp010-000621_SR_22	एकम् भागम् स मत्स्येषु क्षिपति द्वितीयम् भागम् गोमात्रे यच्छति
sp010-000622_SR_22	तृतीयम् भागम् स प्रसेवके स्थापयित्वा नदीजले वारत्रयम् ब्रूडयति
sp010-000623_SR_22	तेन भिक्षान्नस्याम्लत्वम् कटुत्वम् वाऽपैति जिह्वालौल्यजननम्
sp010-000624_SR_22	देहधारणमुद्दिश्य तमसावत्ति
sp010-000625_SR_22	देहधारणमपि नाभूत् सुखाय
sp010-000626_SR_22	अभूदिदम् परमेश्वरभक्तये
sp010-000627_SR_22	कृतभोजन एष नासिकमाप्नोति
sp010-000628_SR_22	तत्र विद्वच्चरणेषु स्थित्वा शास्त्राण्यधीते सायङ्काले देवदर्शनम् लभते
sp010-000629_SR_22	रात्रौ कथाकीर्त्तनप्रवचनानि श्रुत्वा स स्वीयम् गह्वरम् प्रतिप्रयाति
sp010-000630_SR_22	तत्र प्रभोर्लीलानाम् मननम् चिन्तनम् च कुर्वाणो निद्राति
sp010-000631_SR_22	नारायणः स्वकीयम् संस्कारप्राप्तम् नाम गोदावर्याम् अर्पितवान्
sp010-000632_SR_22	पृष्टे स स्वम् रामदास इति कथयति
sp010-000633_SR_22	प्रश्नान्तरे स उदीरयति भगवतो रामस्य शतसहस्रम् वानरा आसन् तेष्वेवान्यतमो भवामीति
sp010-000634_SR_22	तपस्विनम् लब्ध्वा आतुरा जनाः प्रायेण क्लेशयन्ति तम्
sp010-000635_SR_22	कथयन्ति स्वामिन् कुतो लप्स्यते लक्ष्मीर्मह्यम् इति कश्चित्
sp010-000636_SR_22	लौहम् सुवर्णयितुम् क्षमन्ते किम् पूज्या अत्रभवन्तः
sp010-000637_SR_22	अस्माकम् वाणिज्यायाम् लाभवृद्धिः कदा भाविनी मम कायः कदा भावी रोगाद् विमुक्तः
sp010-000638_SR_22	मम मूकस्तनयः कदा वक्तुम् प्रभविष्यति वृषभो मम क्वचित् भ्रष्टः क्व तम् लप्स्य इत्येवमादिकम्
sp010-000639_SR_22	एवम्विधान् प्रश्नान् पृच्छन्त्येव प्रायेण सामान्याः कामकामा जनाः साधकान्
sp010-000640_SR_22	तेऽपि तेष्वेषु लोकैषणया व्यवस्यन्ति
sp010-000641_SR_22	रामदास एवंविधेषु प्रश्नेषूदास्ते
sp010-000642_SR_22	निर्बन्धपृष्टः कथयति रामजपम् कुरु सर्वम् सेत्स्यति समधिकम् क्लेशितो दण्डकाष्ठेन प्रजिहीर्षत्यपि
sp010-000643_SR_22	लोक एतेन रामदासम् मत्तः स्वामी इति कथयन्ति
sp010-000644_SR_22	नित्यकर्मतो लब्धक्षणो रामदासः कण्ठस्थीकरोति वाल्मीकीयम् रामायणम्
sp010-000645_SR_22	तस्य प्रतिलिपिमपि करोति
sp010-000646_SR_22	रामदासहस्तलिखितम् वाल्मीकीयम् रामायणम् धुलिया नगरस्य समर्थवाग्देवतामन्दिरेऽद्यापि द्रष्टुम् सुशकम्
sp010-000647_SR_23	त्रीणि वर्षाणि व्यतीतानि
sp010-000648_SR_23	अनन्तरम् प्रायेण रात्रावपि रामदासगह्वरपरिसरे जनास्तिष्ठन्ति
sp010-000649_SR_23	सर्वे मिलित्वा राम जपम् कुर्वन्ति
sp010-000650_SR_23	प्रेम्णा मिलित्वा भजनानि गायन्ति
sp010-000651_SR_23	रामदासोऽपि प्रेम्णा तेषु रामकथायाः प्रवचनानि प्रेरकेण प्रकारेण वितनुते
sp010-000652_SR_23	तेषु दिवसेषु भारतवर्षमतीव दीनामवस्थामनुभवति स्म
sp010-000653_SR_23	उत्तरापथे दुष्टा मुगला अवर्तन्त शासकाः
sp010-000654_SR_23	दक्षिणापथे पुनः यवना एव शासनेऽधिकृताः आदिलशाहः निजामशाहः कुतुबशाह इत्यादयः
sp010-000655_SR_23	ते अत्याचारिणः
sp010-000656_SR_23	पीडयन्ति स्म ते प्रजाजनान्
sp010-000657_SR_23	इस्लामभिन्नान् धर्मसम्प्रदायान् हीनान् निन्द्यान् विनाशनीयाँश्च मन्वते
sp010-000658_SR_23	तेषाम् मते ऋते मुहम्मदम् न भवति कश्चनापि पितुः परमेश्वरस्य सन्देशवाहकः
sp010-000659_SR_23	नास्ति तेषाम् मते कुराणाद् भिन्नः कोऽपि ग्रन्थ आदरणीयः
sp010-000660_SR_23	मुस्लिमानातिरिक्तानन्याञ्जनांस्ते काफिर इति परिभाषन्ते
sp010-000661_SR_23	आसीत् तेषाम् पुण्यम् कर्म परेषाम् धर्मपरिवर्त्तनम् तदस्वीकारे वधश्च
sp010-000662_SR_23	काफिरवधस्तेषामश्वमेधः
sp010-000663_SR_23	इदमेव कर्म तेषाम् प्रभोरादेश इति तेषाम् संस्कारः
sp010-000664_SR_23	इमा घटना रामदासस्य श्रवसी स्पृशन्ति
sp010-000665_SR_23	अन्तरात्मनि व्यथितो रामदासश्चिन्तयति देवभूमिरियमस्माकम् कथम् दानवानामत्याचारेषु पतिता
sp010-000666_SR_23	कथम् सहामहे वयम् इमानेतेषामत्याचारान्
sp010-000667_SR_23	सुवर्णभूमिरियम् इदानीम् न शक्ता दिने वारद्वयम् अन्नमपि जनमुखे पातयितुम्
sp010-000668_SR_23	एतावती विपुला अस्माकम् जनसङ्ख्या
sp010-000669_SR_23	सभ्या वयम्
sp010-000670_SR_23	कथमेतेषु अङ्गुलिगण्या इमे असंस्कृता विदेशीयाः शासति
sp010-000671_SR_23	मृत्युजयिनाम् मार्कण्डेयानाम् नचिकेतसाम् भूमौ कथमद्य जना भीरवः
sp010-000672_SR_23	आत्मतत्त्वेऽजरामरताम् स्वीकुर्वताम् जनानाम् केयम् दशा
sp010-000673_SR_23	नैनम् छिन्दन्ति शस्त्राणि इत्यादिषु गीतोपनिषत्सु श्रद्धधानाः कथम् वयम् देहवादिभिराक्रान्तसर्वस्वाः
sp010-000674_SR_23	कथम् वयमस्मिन् प्रविष्टान् चौरान् चरणेषु स्पृशामः
sp010-000675_SR_23	अस्माकम् ध्येयमिदानीमुदरपूर्तिरेव पशुवत्
sp010-000676_SR_23	अद्य सहस्रम् सीता उच्चैर्विलपन्त्यः श्रूयन्ते
sp010-000677_SR_23	ग्रामे ग्रामे रावणा नृत्यन्ति
sp010-000678_SR_23	किम् रामप्रभुर्भूयस्तरामस्याम् भूमौ अवतरिष्यति तारयिष्यति चास्मान्
sp010-000679_SR_23	वयमारचयिष्यामस्तदवतारावसरम्
sp010-000680_SR_23	स हि भक्तेभ्य कल्पद्रुमः
sp010-000681_SR_23	पतितपावनः सः
sp010-000682_SR_24	स शबरीम् प्रीणयत्युद्धरति चाहल्याम्
sp010-000683_SR_24	स हि विनाशकः खर दूषण बालि रावणानाम्
sp010-000684_SR_24	अस्माकमाह्वानम् श्रुत्वा सोऽवश्यमेवागन्ता
sp010-000685_SR_24	नास्ति स दूरवासी
sp010-000686_SR_24	स सर्वेषाम् हृदये तिष्ठति
sp010-000687_SR_24	अज्ञानवशाज्जनास्तम् विस्मृताः
sp010-000688_SR_24	अस्माभिः प्रत्येकम् ग्रामम् गत्वा जागरणम् क्रियेत
sp010-000689_SR_24	अस्माकम् प्रत्येकम् गृहे शुद्धिः स्थापनीया
sp010-000690_SR_24	प्रत्येकम् जनस्य हृदि विद्यमानः स पूजनीयो भवति नः
sp010-000691_SR_24	स्वस्मिन्नवस्थित ईश एष साक्षात्कारणीयः सर्वैरद्य
sp010-000692_SR_24	को वा कार्यमिदम् कर्ता
sp010-000693_SR_24	अहमिति गृह्णीरन्
sp010-000694_SR_24	अहमहम् जागरयिष्ये आत्मविस्मृतम् राष्ट्रम्
sp010-000695_SR_24	आलस्ये निमग्नान् प्रसुप्तांश्च जनान् अहम् प्रबोधयिताहे
sp010-000696_SR_24	समाजम् करिष्येऽहम् कर्त्तव्योन्मुखम्
sp010-000697_SR_24	मयाऽत्र भूमौ द्वादश वर्षाणि तपस्तप्तम्
sp010-000698_SR_24	इदानीम् देशभ्रमणेच्छा जायते मम
sp010-000699_SR_24	श्रीरामो यथादेक्ष्यति तथा करिष्ये
sp010-000700_SR_24	प्रथमः शिष्यः उद्धवः
sp010-000701_SR_24	प्रभू रामोऽभ्यनुज्ञामददाद् देशभ्रमणाय
sp010-000702_SR_24	नासिकस्थान् शास्त्रपण्डितान् सोऽपश्यत्
sp010-000703_SR_24	स निजमाश्रमम् टाकलीग्रामस्थितमाजगाम
sp010-000704_SR_24	आपृष्टास्तेन ग्रामवासिनः
sp010-000705_SR_24	बालक उद्धवो रामदासचरणययोः पतितः
sp010-000706_SR_24	रुदन्नकथयत् स त्यक्त्वा माम् न गच्छेयुः स्वामिनः इति
sp010-000707_SR_24	उद्धव एष प्रायेण रामदासाश्रम एव निवसति करोति च सेवाम् श्रद्धया स्वामिनामेषाम्
sp010-000708_SR_24	स कथमेभिः प्राप्त इति विज्ञाय विस्मिता भवामः
sp010-000709_SR_24	घटनेयमीदृशी
sp010-000710_SR_24	रामदासस्य टाकलीम् प्राप्तवतश्चत्वारि वर्षाणि व्यतीतानि
sp010-000711_SR_24	तस्य कीर्त्तिसौरभ्यम् चतसृष्वपि दिक्षु व्यश्नुवानमासीत्
sp010-000712_SR_24	टाकलीमुत्तरेणास्ति दशपञ्चकनामा ग्रामः
sp010-000713_SR_24	तत्र वसति स्म कुलकर्णीत्युपाधिको गिरिधरो नाम युवा
sp010-000714_SR_24	तस्य पत्नी अन्नपूर्णा
sp010-000715_SR_24	निस्सन्तानाविमौ दम्पती क्षेत्रेष्वन्येषु सुखिनावपि
sp010-000716_SR_24	दुःखसन्तप्तौ तत इमौ
sp010-000717_SR_24	ताविमौ रामदासस्य कथाप्रवचनादिकम् नियमेन शृणुतः
sp010-000718_SR_24	एकदा गिरिधरोऽसुस्थो जातः
sp010-000719_SR_24	वैद्यैरसाध्यत्वेन घोषितः सः
sp010-000720_SR_24	अन्नपूर्णा धावन्ती रामदासमुपेता
sp010-000721_SR_24	प्रणामम् कृतवती सा
sp010-000722_SR_24	स्वामिनस्तदानीम् ध्यानस्था आसन्
sp010-000723_SR_24	कृतप्रणामास्ते प्रायेणाचकथन् जय जय रघुवीर समर्थ अथवा रामः कृपाम् कुर्यादिति
sp010-000724_SR_25	अद्य पुनस्तैरुक्तम् अष्टपुत्रा सौभाग्यवती भवेति
sp010-000725_SR_25	तदाऽन्नपूर्णा रोदितुमारभताऽचकथत च भवतामियमाशीः कतमाय जन्मन इति
sp010-000726_SR_25	रामदासस्वामी पृच्छति कोऽर्थः इति
sp010-000727_SR_25	अन्नपूर्णया न्यवेदि पतिर्ममान्तिमम् श्वासम् गृह्णाति वैद्याः पराजिताः
sp010-000728_SR_25	स्वाम्यब्रूत कथमेवम् ब्रूषे नेदम् कथमपि सम्भावि चल अहम् तम् पश्यामीति
sp010-000729_SR_25	स्वामी रामदासो गिरिधरावासम् गतः
sp010-000730_SR_25	तत्र गिरिधरस्य दशाऽऽसन्नमृत्युका
sp010-000731_SR_25	स्वामी नाडीम् पर्यैक्षत गिरिधरस्य मुखे जलम् प्रौक्षत
sp010-000732_SR_25	औषधम् किमपि आशितम् मात्राप्येका लेहिता
sp010-000733_SR_25	गिरिधरो नवजीवनो भूत्वोत्थायोपविष्टः
sp010-000734_SR_25	शनैश्शनैः सुस्थोऽपि संवृत्तः
sp010-000735_SR_25	एकवर्षानन्तरम् अन्नपूर्णा पुत्रम् सुषुवे
sp010-000736_SR_25	मासद्वयानन्तरम् दम्पती तौ बालकमादाय स्वामिनो ददृशुः
sp010-000737_SR_25	तस्य चरणयोस्तम् स्थापयित्वाऽब्रूताम् अयमत्रभवद्भ्योऽर्प्यत इति
sp010-000738_SR_25	स्वामिनोऽब्रुवन् कथमिदम् अहम् सन्न्यासी
sp010-000739_SR_25	कथमिमम् पालयिष्ये
sp010-000740_SR_25	भवन्तावेवेमम् नयेताम् पालयेताम् च समवधानेन
sp010-000741_SR_25	वयस्कताम् प्राप्त एष मह्यम् समर्पणीय इति
sp010-000742_SR_25	बालको पितृभ्याम् सह स्वामिनाम् दर्शनम् प्रत्यहम् करोति पश्चात् प्राप्तवया एकाक्यपि दर्शनार्थम् गच्छति
sp010-000743_SR_25	अधिकम् समयम् स आश्रम एव तिष्ठति
sp010-000744_SR_25	यदा रामदासस्तीर्थयात्रायै प्रतिष्ठासवस्तदा उद्धवः सपीडम् रुरोद
sp010-000745_SR_25	तदा स्वामिना सञ्ज्ञापितः ममानुपस्थितावाश्रम एष त्वयैव रक्षणीयः
sp010-000746_SR_25	अध्ययनम् करणीयम् भगवतः पूजा चावधानेन करणीया
sp010-000747_SR_25	आश्रमव्यवस्थापि द्रष्टव्या
sp010-000748_SR_25	अथ वास्तवो रामदासस्तव पार्श्वे सदैव स्थाता इति
sp010-000749_SR_25	उद्धवोऽप्राक्षीत् वास्तवो रामदास इति कोऽर्थः
sp010-000750_SR_25	रामदासो बहुतरम् गोमयमेकत्रीकृत्वा तत्र मृत्तिकाम् न्यक्षिपत्
sp010-000751_SR_25	अन्यान्यपि कानिचिद् द्रव्याणि तत्र चिक्षेप
sp010-000752_SR_25	तेन पिण्डेन रामदासो विपुलाकाराम् मारुतिमूर्तिम् निर्ममे
sp010-000753_SR_25	शुष्का सा सिन्दूरेण लेपिता
sp010-000754_SR_25	अथ उद्धवम् सम्बोधितवान् अयमस्ति वास्तवो रामदासः वयम् त्वस्यच्छायामात्रम् भवामः
sp010-000755_SR_25	एते प्रत्यहम् पूजनीयास्त्वया
sp010-000756_SR_25	एते तुभ्यम् बलम् बुद्धिम् च दास्यन्ति
sp010-000757_SR_25	सत्यावश्यके प्रेरणामपि मार्गदर्शनमपि करिष्यन्ति
sp010-000758_SR_25	ताम् सुन्दराकृतिम् मारुतिमूर्तिम् दृष्ट्वा उद्धवो जहर्ष
sp010-000759_SR_25	उद्धवो हस्तौ समानीय कथयति सम्पूर्णो देशः गोमयकल्पो मृत्तिकासोदरो वा वर्त्तते
sp010-000760_SR_26	स एष वज्राङ्गः कल्पनीय इति श्रीचरणानाम् सङ्कल्पः
sp010-000761_SR_26	एतस्या मूर्तेर्निर्माणस्यापीदमेव प्रयोजनम्
sp010-000762_SR_26	इदमेव भवताम् जीवनस्य लक्ष्यम्
sp010-000763_SR_26	अत्रभवद्भ्यः शतम् प्रणामाः
sp010-000764_SR_26	किन्तु श्रीचरणाः शीघ्रमेव प्रत्यावर्तेरन्
sp010-000765_SR_26	नाहम् विस्मरणीयः इति
sp010-000766_SR_26	रामदास उद्धवम् आशीर्भिरयोजयत् सुखेन च निर्गतः
sp010-000767_SR_26	ते पृष्ठतः परिक्रम्यापि नापश्यन्
sp010-000768_SR_26	अयोध्याम् प्रति ते प्रस्थिताः
sp010-000769_SR_26	भारतभ्रमणम्
sp010-000770_SR_26	रामदासो भारतभ्रमणम् तन्माध्यमेन च तीर्थयात्रा इयेष कर्तुम्
sp010-000771_SR_26	एवम् तु भारतस्य प्रत्येकम् क्षेत्रम् पुण्यभूमिः प्रत्येकम् नगरे प्रत्येकम् ग्रामे च निवसन्ति स्म ऋषयो मुनयो वीराः
sp010-000772_SR_26	परोपकारिणश्च ईशावतारा अप्यजायन्त तेषु तेषु क्षेत्रेषु
sp010-000773_SR_26	अतो देशेऽत्र भवन्ति भूयांस एव महिमभृतः स्थलविशेषाः
sp010-000774_SR_26	अथाप्येतेषु अतिशयम् आबिभ्रति द्वारका जन्नाथपुरी बदरिकाश्रमः सेतुबन्धरामेश्वरश्च
sp010-000775_SR_26	द्विपञ्चाशद् विलसन्ति शक्तिपीठानि
sp010-000776_SR_26	भगवतः शङ्करस्यापि विराजन्ते शताधिकानि पुण्यप्रदानि स्थलानि
sp010-000777_SR_26	दत्तात्रेयः गोरक्षनाथः बुद्धः महावीर इत्येवम् प्रभृतीनाम् तपोभूमयः सन्त्येवास्याम् पावनपावनायाम् भारतभुवि
sp010-000778_SR_26	एतेषाम् सर्वेषाम् दर्शनाय रामदासः सङ्कल्पमगृह्णात्
sp010-000779_SR_26	नर्मदाम् लङ्घयित्वा स उत्तरस्याम् दिशि गन्तुम् प्रवृत्तः
sp010-000780_SR_26	मार्गे तेन दृष्टश्रुता दुःखप्रदाः प्रसङ्गाः
sp010-000781_SR_26	क्वचिद् ग्रामा प्रज्वाल्यते स्म क्वचित् खला अलुठ्यन्त
sp010-000782_SR_26	कस्यचिद् ग्रामस्य पुत्र्यो वध्वश्च दुष्टैरपाह्रियन्त
sp010-000783_SR_26	कस्यचिद् ग्रामस्य सर्वेऽपि निवासिनो निर्वेतनासु भृतिकास्वयोज्यन्त
sp010-000784_SR_26	सर्वत्र यवनजातीयानाम् शास्तॄणाम् तेषामारक्षिणाम् च कामचारदुर्दिनानि व्यश्नुवन्ति स्म
sp010-000785_SR_26	यः कोऽपि तेषामवज्ञाम् करोति स खलु पश्यति सूर्ये खड्गेन निकृत्तशिरा दृश्यते
sp010-000786_SR_26	तस्य निर्वस्त्रे पृष्ठे कशाघाताः क्रियन्ते मुष्टीमुष्टि कचाकचि यष्टीयष्टि
sp010-000787_SR_26	दण्डादण्डि कलहानाम् का वार्ता जनसम्मर्दस्यैकध्यै शिरःकर्तनान्यपि साधारणान्यमन्यन्त
sp010-000788_SR_26	पूरिताः सर्वा अपि काष्ठा एतैरतीचारैर्दानवानाम्
sp010-000789_SR_26	यदापि कदाचिद् रामदासः धर्मशालायाम् कस्याञ्चित् विश्राम्यति
sp010-000790_SR_26	कस्यचित् कुटीरम् वाऽध्यास्ते जना आगत्य तमात्मन्यापातितानत्याचारान् श्रावयन्ति
sp010-000791_SR_26	स तान् अबोधयति प्रोत्साहयति किन्तु निभृतेऽसह्याम् पीडाम् अनुबोभोति
sp010-000792_SR_27	तत एव कदाचित् प्रजागरकष्टमपि स सहते
sp010-000793_SR_27	अनेकशोऽश्रूण्यपि पतन्ति दृश्यन्ते तस्य नेत्राभ्याम्
sp010-000794_SR_27	कदाचित् तस्य वेदना भजनबन्धेष्वपि बिम्बिता भवति
sp010-000795_SR_27	चौरास्तु सन्ति शास्तारस्त्राणहीनास्तु सज्जनाः
