sp025-000001_001	ऋतुः परिवर्तते
sp025-000459_003	मम प्रियाः देशवासिनः आधुनिकीभवनस्य परिभाषाः सततम् परिवर्तन्ते
sp025-000460_003	कियान् आधुनिकः
sp025-000461_003	भवतः विचार प्रक्रिया कियती आधुनिकी अस्ति
sp025-000462_003	एतत् सर्वम् अवगन्तुम् एकः निकषः अपि व्यवह्रियते अपि च सः वर्तते यत् भवान् पर्यावरणम् प्रति कियान् जागरूकः इति
sp025-000463_003	समाजे साम्प्रतम् एतत् प्रतिकूल व्यवहारः अनुचितः परिगण्यते
sp025-000464_003	अस्य परिणामम् साम्प्रतम् पश्यामि यत् एतद्दिनेषु गणेशोत्सवे अपि परिवेशानुकूलः गणपतिः विरच्यते मन्ये यत् बृहदेकम् अभियानम् प्रवर्त्यते
sp025-000465_003	ताः आकृतीः वर्णैः रञ्जयन्ति
sp025-000466_003	कश्चन वानस्पतिकैः रङ्गैः ताः लेपयति कश्चन तासु कर्गद शकलानि श्लेषयति
sp025-000467_003	विविधाः प्रयोगाः प्रतिगृहम् भवन्ति
sp025-000468_003	प्रकारान्तरेण गणेशोत्सवेऽस्मिन् पर्यावरण चेतनतायाः बृहद् व्यापकञ्च प्रशिक्षणम् अवलोकयितुम् शक्यते
sp025-000469_003	पूर्वम् कदाचिदेव तद्दृष्टम् स्यात्
sp025-000470_003	सञ्चार माध्यमानि अपि परिवेशानुकूलाः गणेश प्रतिमाः विरचयितुम् जनान् व्यापकतया प्रशिक्षयन्ति प्रेरयन्ति निर्दिशन्ति च
sp025-000471_003	पश्यन्तु कियत् बृहत् परिवर्तनम् सञ्जातम्
sp025-000472_003	अपि चैतत् सुखदम् वर्तते
sp025-000473_003	यथा मया पूर्वम् कथितम् देशोऽयम् कोटि कोटिभिः तेजस्वि प्रतिभाभिः अपि सम्भरितः अस्ति
sp025-000474_003	कश्चन माम् असूचयत् यत् कुत्रचित् कश्चन सज्जनः स्वयम् अभियन्ता सन्नपि सः विशिष्ट प्रकारिकाम् मृत्तिकाम् समाहृत्य ताम् संयोज्य गणेश रचनायाः प्रशिक्षणम् जनेभ्यः प्रददाति
sp025-000475_003	अपि च एकस्याम् लघु जलद्रोण्याम् गणेश मूर्ति विसर्जनम् विधीयते
sp025-000476_003	तस्यामेव जल द्रोण्याम् गणेश मूर्तिः स्थाप्यते द्रुतमेव च जलेन मिश्रीयते
sp025-000477_003	नैतावता अलम् तेन जल द्रोण्याम् वृन्दा पादपः वा अन्ये पादपाः अपि रोपिताः
sp025-000478_003	वर्ष त्रय पूर्वम् यदा स्वच्छतायाः अभियानम् आरब्धम् ओक्टोबर मासे द्वितीये दिनाङ्के ततः परम् ऐषमः वर्ष त्रयम् पूर्णम् भविता
sp025-000479_003	तथा चास्य अभियानस्य सकारात्मकानि परिणामानि आलोक्यन्ते
sp025-000480_003	प्रतिशतम् ऊनचत्वारिन्शततः प्रायेण प्रतिशतम् सप्त षष्टि मितम् शौचालयानाम् निर्माणलक्ष्यम् पूर्णम् अजायत
sp025-000481_003	अधुनावधि त्रिन्शत् सहस्रोत्तर द्विलक्षमिताधिकाः ग्रामाः अनावृत शौचाचरणात् आत्मानम् मुक्तान् घोषितवन्तः
sp025-000482_003	विगतेषु दिनेषु गुजराते जलोपप्लवः सम्मुखीकृतः
sp025-000483_003	अनेके जनाः विगत प्राणाः जाताः परञ्च जल पूरस्य अनन्तरम् यदा जल प्रवाहः न्यूनीभूतः तदा सर्वत्र अतितराम् मालिन्यम् अस्वच्छता च समेधिते जाते
sp025-000484_003	सर्वेऽपि एते स्वीय प्रस्वेद प्रस्रवण पुरस्सरम् सन्नद्धाः सन्तः कार्येऽस्मिन् संलग्नाः सञ्जाताः
sp025-000485_003	स्वच्छतायाः कृते एकतायाः अमुना उत्तमोत्तमेन उदाहरणेन प्रत्येकमपि जनः प्रेरितो भवति
sp025-000486_003	स्वच्छतायै समर्पण भावेन विहितः प्रयासः यदि अस्मदीयः स्थायी स्वभावः भवेत् चेत् राष्ट्रस्य परमोत्तमा समुन्नतिः अवश्यम्भाविनी भविता
sp025-000487_003	मम प्रियाः देशवासिनः सर्वान् भवतः आह्वयामि यत् पुनरेकवारम् ओक्टोबर मासीयात् द्वितीय दिनात् अर्थात् गान्धि जयन्त्याः पञ्चदश वा विन्शति दिनेभ्यः प्रागेव स्वच्छता एव सेवा इति अभियानमेकम् प्रवर्तयेम
sp025-000488_003	समग्रेऽपि देशे स्वच्छतायाः परिवेशम् जनयेम
sp025-000489_003	यथावसरम् यत्रावसरान् लभामहे वयम् समुचितावसरान् मृगयेम परमार्थेन वयम् संयुताः भवेम
sp025-000490_003	दीपावल्ल्याः सज्जैषा इति मन्येमहि उताहो नवरात्रस्य सन्नद्धता वा दुर्गापूजायाः उपकल्पनमिति
sp025-000491_003	श्रमदानम् कुर्याम अवकाश दिने वा रविवासरे वा सम्भूय कार्याणि कुर्याम
sp025-000492_003	तादृशीम् स्वच्छताम् कुर्याम यत् ओक्टोबर मासीयः द्वितीय दिवसः यथार्थ भावेन गान्धि महात्मनः ओक्टोबरमासीया द्वितीया तिथिः भवेत्
sp025-000493_003	मम सामाजिक सञ्चार माध्यमानाम् मित्राणि किञ्चित् रचनात्मकम् अभियानम् प्रचालयितुम् शक्नुवन्ति
sp025-000494_003	पेयजल स्वच्छता मन्त्रालयेन प्रवर्त्यमाने स्वच्छ सङ्कल्पतः स्वच्छ सिद्धि स्पर्धा इत्यभियाने निबन्ध स्पर्धा लघु चलचित्र निर्माण स्पर्धा चित्रकला स्पर्धा चायोज्यन्ते
sp025-000495_003	एतदर्थम् भवन्तः विभिन्नासु भाषासु निबन्धान् लेखितुम् अर्हन्ति
sp025-000496_003	एतदर्थम् आयुषः प्रतिबन्धः नैवास्ति
sp025-000497_003	भवन्तः लघु चलचित्रम् निर्मातुम् शक्नुवन्ति
sp025-000498_003	स्वीयेन जङ्गम दूरभाषेण वा निर्मातुम् अर्हन्ति
sp025-000499_003	मिनिट् द्वयस्य मिनिट् त्रयस्य वा चलचित्रम् रचयितुम् शक्नुवन्ति यद्धि स्वच्छतायै प्रेरकम् भवेत्
sp025-000500_003	जनपद स्तरे त्रयः राज्यस्तरे च त्रयः एतेभ्यः पुरस्काराः प्रदास्यन्ते
sp025-000501_003	अतः अहम् प्रत्येकमपि जनम् निमन्त्रयामि यत् आगच्छन्तु
sp025-000502_003	स्वच्छतायाः अभियानस्य एतादृशेन प्रकल्पेनापि आत्मानम् संयोजयन्तु
sp025-000503_003	भूयोऽपि एकवारम् कथयितुमिच्छामि यत् ऐषमः गान्धि जयन्तीम् स्वच्छ द्वितीय ओक्टोबर रूपेण आयोजयितुम् सङ्कल्पयेम
sp025-000504_003	एतदर्थञ्च सेप्टेम्बर मासस्य पञ्चदश दिनादेव स्वच्छता एव सेवा इति मन्त्रम् प्रतिगृहम् प्रापयेम
sp025-000505_003	स्वच्छतायै कमपि कमपि समुपायम् विदध्म
sp025-000506_003	स्वयम् परिश्रम्य अस्य सहभागिनः भवेम
sp025-000507_003	भवन्तः अवलोकयन्तु गान्धि जयन्त्याः ओक्टोबर मासीया द्वितीया तिथिः कियती प्रशस्ता भविता
sp025-000508_003	भवन्तः कल्पयितुम् शक्नुवन्ति यत् पञ्चदश दिवसीयायाः स्वच्छतायाः एतद् अभियानस्य अनन्तरम् स्वच्छता एव सेवा इत्यस्य अनन्तरम् ओक्टोबरे द्वितीय दिने यदा वयम् गान्धि जयन्तीम् आयोजयिष्यामः तदा पूज्याय बापू वर्याय श्रद्धाञ्जलि प्रदानावसरे वयम् कियन्तम् पवित्रम् आनन्द सन्दोहम् अनुभविष्यामः
sp025-000509_003	मम प्रियाः देशवासिनः अद्याहम् विशेष रूपेण भवताम् सर्वेषाम् आधमर्ण्यम् स्वीकर्तुम् वाञ्छामि
sp025-000510_003	सुदीर्घ कालम् यावत् भवन्तः मन् की बात् इत्यनेन संयुताः स्थिताः इति कृत्वा नैव अपि तु अमुना कार्यक्रमेण सार्धमेव अशेष देशस्य प्रत्येकमपि कोणात् लक्षशो जनाः संयुताः भवन्ति इति कृत्वा साधुवादान् वितरामि
sp025-000511_003	श्रोतारस्तु कोटिशो वर्तन्ते परन्तु लक्षशो जनाः कदाचित् माम् पत्राणि लिखन्ति कदाचित् सन्दिशन्ति कदाचित् दूरभाषेण सन्देशम् प्रेषयन्ति एतत् सर्वम् मम कृते बृहत् निधि रूपम् वर्तते
sp025-000512_003	भवन्तः मन् की बात् इत्यस्य यावतीम् प्रतीक्षाम् कुर्वन्ति ततोऽप्यधिकतया भवताम् सन्देशान् अहम् प्रतीक्षे
sp025-000513_003	यत् किमपि करोमि तस्य परीक्षायै अवसरो लभ्यते
sp025-000514_003	अत एव भवतामस्मै योगदानाय आभारम् प्रकटयामि
sp025-000515_003	अधुना पश्यन्तु अमुना दूरभाष सन्देशेन साकम् भवन्तोऽपि आत्मानम् संयोक्तुम् प्रभविष्यन्ति
sp025-000516_003	भवन्तः अपि अनुभविष्यन्ति यत् अहो मयापि कदाचित् एतादृशी त्रुटिः आचरितेति
sp025-000517_003	अहम् मम सख्याः विषये किमपि कथयितुमिच्छामि
sp025-000518_003	परञ्च तस्याः एकाम् रीतिम् दृष्ट्वा अहम् प्रतोदिता भवामि
sp025-000519_003	अहम् अतीव दुःखम् अनुभवामि
sp025-000520_003	वयम् बहुषु स्थानेषु विनैव वारमपि पृष्ट्वा बृहन्मात्रिकम् प्रदेयम् कुर्मः
sp025-000521_003	तेषु नैव विश्वसिमः
sp025-000522_003	भवान् स्वीये मन् की बात् इत्यत्र अवश्यम् विषयमेनम् उपस्थापयतु
sp025-000523_003	साम्प्रतम् इमाम् दूरभाषाकारणाम् श्रुत्वा भवन्तः नूनम् चकिताः जाताः स्युः इति दृढतया विश्वसिमि
sp025-000524_003	सम्भवेत् इतः परम् नैवम् व्यवहर्तुम् भवन्तः निश्चितवन्तः वा
sp025-000525_003	सः भवेत् वा लघुः आपणिकः वा ओटो यानचालकः वा परिभ्रम्य वस्तु विक्रयण शीलः श्रमजीवी वा कश्चित्
sp025-000526_003	केनचिदपि निर्धनेन साकम् सम्बन्धो भवति तदैव मूल्य न्यूनीकरणार्थम् वदामः
sp025-000527_003	सः आहतो भवति
sp025-000528_003	असौ निर्धनः इति कृत्वा तस्य प्रामाणिकता सन्दिह्यते
sp025-000529_003	रूप्यक द्वयेन रूप्यक पञ्चकेन वा भवताम् जीवने न किञ्चित् नैयून्यम् भविष्यति
sp025-000530_003	अस्मदीया लघ्वी अपि एषा रीतिः कियती आघातकारिका भवति इति न कदापि परिशीलितम् स्यात्
sp025-000531_003	अहम् दृढम् विश्वसिमि यन्मम देशवासिनः अपि यदि निर्धनेन साकम् एतादृक् व्यवहारस्य अभ्यासम् धारयन्ति चेत् ते नूनम् तम् परित्यक्ष्यन्ति
sp025-000532_003	मम प्रियाः नवयुवानः सखायः ओगस्ट मासस्य ऊन त्रिन्शत्तमः दिवसः खेल दिवसत्वेन आमान्यते
sp025-000533_003	तथ्यमिदम् एतस्मात् कारणादेव स्मारयामि यत् अस्मदीयस्य देशस्य नूतना सन्ततिः क्रीडाभिः साकम् आत्मानम् संयोजयेयुः
sp025-000534_003	यदि वयम् जगति युव राष्ट्र रूपेण स्मः चेत् अस्मदीया एषा तरुणता क्रीडा क्षेत्रेषु अपि दृष्टिपथम् आगता भवेत्
sp025-000535_003	क्रीडा अर्थात् शारीरिकी औचिती मानसिकी जागृतिः व्यक्तित्व संवर्धनम् चेत्यादि
sp025-000536_003	अवगच्छामि यदितः परमपि किम् स्यात्
sp025-000537_003	अस्मदीयो युव वंशः क्रीडा जगति अग्रगामी भवेत्
sp025-000538_003	सङ्गणकोपरि क्रिकेट् खेलनम् स्यात् कुर्वन्ति परञ्च अनावृते क्रीडा स्थले अपि च नभसः नीचैः क्रिकेट् क्रीडायाः आनन्दः नूनम् पृथगेव भवति
sp025-000539_003	कदाचित् पूर्वम् तादृशः कालः आसीत् यदा कुटुम्बस्य बालाः बहिर्गच्छन्ति स्म तदा जननी प्रथमम् पृच्छति स्म यत् त्वम् कदा प्रत्यागमिष्यसि
sp025-000540_003	तदा जननी सचीत्कारम् कथयितुम् विवशा भवति यत् त्वम् बहिः कदा गमिष्यसि
sp025-000541_003	इति कालानुसारिणी कथेयम् यत् कदाचित् जननी बालान् पृच्छति स्म यत् कदा प्रत्यागमिष्यसि
sp025-000542_003	चितेभ्यः उदीयमानेभ्यः क्रीडकेभ्यः खेल मन्त्रालयः प्रशिक्षणम् प्रदास्यति अपि च मन्त्रालयः श्वः एव एतद् अन्तर्जालीय वाहिकाम् प्रवर्तयिष्यति
sp025-000543_003	यदाहम् खेल चर्चाम् करोमि स्मरामि च यत् विगते सप्ताहे मार्मिकी एका घटना घटिता
sp025-000544_003	तस्याः विषये देशवासिनः सूचयितुम् वाञ्छामि
sp025-000545_003	अत्यल्पायुष्मतीनाम् बालानाम् गणेन सह मेलनस्य अवसरो मया लब्धः
sp025-000546_003	तासु काश्चन तु हिमालये जाताः सन्ति
sp025-000547_003	समुद्र विषयकः न कश्चनापि अनुभवः तासाम्
sp025-000548_003	अस्मद्देशस्य एतादृश्यः षट् पुत्रिकाः याः हि नौ सेनायाम् नियुक्ताः सन्ति तासाम् उत्साहः तासाम् भावश्च अस्मान् सर्वान् बलात् प्रेरयतः
sp025-000549_003	अस्याभियानस्य नामास्ति नाविका सागर परिक्रमा अपि चैताः अशेष विश्व भ्रमणम् कृत्वा अनेक मासानन्तरम् भारतम् प्रत्यागमिष्यन्ति
sp025-000550_003	कदाचित् अनारतम् चत्वारिंशद्दिनानि जलेषु एव यापयिष्यन्ति कदाचिच्च अनारतम् त्रिंशद्दिनानि वा सलिलेषु एव निर्यापयिष्यन्ति
sp025-000551_003	सामुद्रिकेषु तरङ्गेषु ससाहसम् रममाणाः अस्मदीयाः भारतीयाः षट् पुत्रिकाः
sp025-000552_003	विश्वस्य प्रप्रथमेयम् घटना भविता
sp025-000553_003	को नाम न भवेत् हिन्दुस्थानी यो हि आसाम् भारतीय पुत्रिकाणाम् कृते गौरवम् नानुभवेत्
sp025-000554_003	अहमासाम् पुत्रिकाणाम् साहसम् अदम्योत्साहञ्च अभिनन्दामि
sp025-000555_003	अहम् ताः अकथयम् यत् ताः स्वीयानुभवान् अशेष देशवासिभिः साकम् वितरेयुः
sp025-000556_003	यतो हि एषास्ति साहस कथा स्वानुभव कथा अपि चाहम् प्रसन्नताम् अनुभविष्यामि यदि आसाम् पुत्रिकाणाम् अनुभवान् भवतः यावत् प्रापयिष्यामि
sp025-000557_003	मामकीनाभ्यः आभ्यः पुत्रिकाभ्यः भूरिशो मङ्गल कामनाः हार्दिकीञ्च आशिराशिम् वितरामि
sp025-000558_003	मम प्रियाः देशवासिनः सेप्टेम्बर मासे पञ्चमे दिने वयम् शिक्षक दिवसम् आयोजयामः
sp025-000559_003	असौ राष्ट्रपतिः आसीत् परञ्च आजीवनम् असौ आत्मानम् शिक्षक रूपेण एव उपास्थापयत्
sp025-000560_003	सः शिक्षाम् प्रति समर्पितः आसीत्
sp025-000561_003	सः अध्येता राजनयिकः भारतस्य च राष्ट्रपतिः परञ्च प्रतिक्षणम् जीवन्नेव शिक्षकः
sp025-000562_003	तस्मै सादरम् नमामि
sp025-000563_003	स्वीयेषु विद्यार्थिषु सृजनात्मक भावस्य ज्ञानस्य च आनन्दस्य जागरणम् एव शिक्षकस्य महत्वपूर्णम् कार्यम्
sp025-000564_003	ऐषमः यदा वयम् शिक्षक दिवसम् आयोजयिष्यामः तदा किम् वयम् सर्वे मिलित्वा सङ्कल्पयितुम् शक्नुमः
sp025-000565_003	सोत्साहम् अभियानमेकम् प्रवर्तयितुम् पारयामः
sp025-000566_003	अमुना सङ्कल्पेन साकम् विषयमेनम् अग्रेसारयितुम् अर्हिष्यामः
sp025-000567_003	जीवने सफलतायाः आनन्दम् प्राप्नुमः
sp025-000568_003	एतादृशम् परिवेशम् अस्मदीयाः विद्यालयाः अस्माकीनाः महाविद्यालयाः अस्मदीयाः शिक्षकाः अस्माकम् च शिक्षा संस्थानानि कर्तुम् प्रभवन्ति
sp025-000569_003	अस्मदीये देशे यदा वयम् सङ्क्रमणस्य विषयम् उपस्थापयमः तदा यथा कुटुम्बे मातुः स्मरणम् भवति तद्वद् समाजे शिक्षकस्य स्मरणम् भवति
sp025-000570_003	आगच्छन्तु मन्त्रमेनम् स्वीकृत्य अग्रेसरामः
sp025-000571_003	किम् भवान् इदम् कथयितुम् शक्नोति यत् वर्ष त्रयानन्तरम् भारतम् समधिकम् संरक्षितम् च वर्तते
sp025-000572_003	किम् एतद्विषयकाणि सौविध्यानि अस्मदीयाभ्यः महिलाभ्यः कृषकेभ्यः श्रमिकेभ्यः वा प्राप्तानि धन्यवादः
sp025-000573_003	वर्ष त्रय पूर्वम् ओगस्ट मासे अष्टाविंशतितमे दिने स्वप्नमेकम् आधृत्य अभियानमिदम् प्रवर्तितमासीत्
sp025-000574_003	श्वः प्रधान मन्त्रि जन धन योजना वर्ष त्रयम् पूर्णताम् उपैति
sp025-000575_003	त्रिंशत् कोटिमितानि नूतनानि कुटुम्बानि अमुना साकम् संयोजितानि
sp025-000576_003	बैङ्क लेखाः च समुद्घाटिताः
sp025-000577_003	अद्याहम् समादधामि यत् वर्ष त्रयाभ्यन्तरमेव समाजस्य अन्तिम पङ्क्तिस्थः जनः मम निर्धनः भ्राता देशस्य अर्थव्यवस्थायाः मूलधारायाः अङ्गत्वेन प्रतिष्ठितो जातः
sp025-000578_003	साम्प्रतम् संयमस्य परिवेशः विरचितोस्ति
sp025-000579_003	प्रधान मन्त्रि जन धन योजनायाम् निर्धन द्वारा प्रायेण पञ्च षष्टि सहस्र कोटिमितानि रूप्यकाणि बैङ्केषु सञ्चितानि
sp025-000580_003	कोटि कोटि नवयुवकाः प्रधानमन्त्रि मुद्रा योजनया बैङ्कभ्यः विनैव प्रत्याभूतिम् धनम् प्राप्तवन्तः
sp025-000581_003	ते स्वयमपि आत्मनिर्भरत्वम् प्राप्तवन्तः
sp025-000582_003	प्रत्येकमपि एकस्मै वा द्वाभ्याम् वा वृत्ति प्रदानार्थम् प्रायतत
sp025-000583_003	एतादृशानि शताधिकानि उदाहरणानि सन्ति
sp025-000584_003	भवत् पर्यन्तम् एतानि उदाहरणानि प्रापयितुमहम् सर्वात्मना प्रयतिष्ये अपि च सञ्चार माध्यमानि अपि एतेषाम् जनानाम् साक्षात्कारादिकम् विधाय नूतनान् युव जनान् प्रेरयितुम् शक्नुवन्ति
sp025-000585_003	मम प्रियाः देशवासिनः पुनरेकवारम् भवताम् कृते मिच्छामि दुक्कडम्
sp025-000586_004	मम प्रियाः देश वासिनः नमस्कारः
sp025-000587_004	कतिपय दिनेभ्यः पूर्वम् अहम् कर्णाटकस्य बालमित्रैः सह परोक्ष संवादस्य अवसरम् लब्धवान्
sp025-000588_004	अनन्तरम् अमुना कानिचन चितानि पत्राणि प्रकाशितानि
sp025-000589_004	अहम् तानि पत्राणि अपठम् तन्मह्यम् सुतराम् अरोचत
sp025-000590_004	एते लघु लघु बालकाः अपि देशस्य समस्याभिः अभिज्ञाताः सन्ति देशे प्रवर्तमानाभिः चर्चाभिरपि परिचिताः सन्ति
sp025-000591_004	अनेकान् विषयान् आलक्ष्य एते बालाः अलिखन्
sp025-000592_004	यदि वयम् बालेभ्यः प्रकृति सूचनाम् दद्मश्चेत् स्यात् पर्यावरणस्य रक्षायाः कृते तेभ्यः भविष्यत्काले महत् साहाय्यम् सेत्स्यति
sp025-000593_004	को नाम वा भवेत् भारतीयः यः सैनिकत्व विषये गौरवम् नानुभवेत्
sp025-000594_004	भवती तु सैनिकस्य पुत्री भवत्याः गौरवानुभूतिस्तु स्वाभाविकी
sp025-000595_004	सा इदमपि लिखितवती यदेतस्मात् कारणात् स्वीयैः सखिभिः साकम् कालम् यापयितुम् सा नैव शक्नोति
sp025-000596_004	सा परामर्शयत् यत् समीपमेव कश्चन विद्यालयः स्थापनीयः
sp025-000597_004	परञ्च देशवासिनः एकेन वार्तापत्रेण प्राथमिक प्रयासत्वेन इदम् आरब्धम् माम् प्रति एतानि पत्राणि प्रापितानि मह्यम् इदम् अरोचत तेषाम् पत्राणाम् पठनस्य अवसरम् लब्धवान्
sp025-000598_004	मत्कृतेऽपि अयम् सुखदः अनुभवः आसीत्
sp025-000599_004	मम प्रियाः देशवासिनः अद्य नवम्बर मासीयः एकादश दिनाङ्कः
sp025-000600_004	नवम्बरमासीयः एकादश दिनाङ्कः अस्मदीय संविधानस्य दिवसोस्ति
sp025-000601_004	ऊनविंश शताब्दस्य ऊन पन्चाशत्तमे वर्षे अस्मिन्नेव दिने संविधान सभा भारतस्य संविधानम् स्वीकृतवती
sp025-000602_004	भारतस्य संविधानम् हि अस्मदीय लोकतन्त्रस्य आत्मा वर्तते
sp025-000603_004	अद्यतनोऽयम् दिवसः संविधान सभायाः सदस्यानाम् स्मरण दिनम् वर्तते
sp025-000604_004	ते हि भारतस्य संविधान संरचनायाः कृते प्रायेण वर्षत्रयम् यावत् परिश्रमम् अकुर्वन्
sp025-000605_004	यः कश्चन तद्विषयिणीम् परिचर्चाम् पठति नूनम् सः अनुभवति यत् राष्ट्राय समर्पित जीवनस्य विचारसरणी कीदृशी भवति
sp025-000606_004	एतद्विषये वयम् गौरवम् अनुभवामः
sp025-000607_004	किम् भवन्तः इदम् कल्पयितुम् शक्नुवन्ति यत् विविधता पूर्णस्य अस्मदीय देशस्य संविधान रचनायै ते कियन्तम् कठोरम् श्रमितवन्तः
sp025-000608_004	पारदर्शित्वस्य प्रबोधस्य दूरदर्शितायाश्च नूनम् ते दर्शनम् कारितवन्तः तदपि तस्मिन् काले यदा देशः दासतायाः शृङ्खलाभ्यः मुक्ति प्रक्रियायाम् आसीत्
sp025-000609_004	अस्यैव संविधानस्य प्रकाशान्तर्गतम् संविधान निर्मातॄणाम् तेषाम् महापुरुषाणाम् च विचार प्रकाशान्तर्गतम् नूतन भारतस्य निर्माणम् अस्माकम् सर्वेषाम् दायित्वम् वर्तते
sp025-000610_004	अस्मदीयम् संविधानम् अतिव्यापकम् वर्तते
sp025-000611_004	सम्भवतः जीवनस्य तादृशम् किञ्चन क्षेत्रम् नास्ति प्रकृतेः तादृशः कश्चन विषयो नैवास्ति यो हि नात्र समावेशितः
sp025-000612_004	सर्वेषाम् कृते समानता सर्वान् प्रति च संवेदनशीलता एतदस्ति अस्मदीय संविधानस्य अभिज्ञानम्
sp025-000613_004	इदम् प्रत्येकमपि नागरिकस्य भवतु नाम सः निर्धनो वा दलितः पश्चवर्ती वा वञ्चितः आदिवासी वा महिला सर्वेषाम् मौलिकान् अधिकारान् रक्षति तेषाञ्च हितानि परिपालयति
sp025-000614_004	अस्मदीयमिदम् कर्तव्यम् यद्वयम् संविधानम् अक्षरशः अनुसरेम
sp025-000615_004	भवतु नाम सः नागरिको वा प्रशासकः संविधानस्य भावनानुरूपम् अग्रेसरेम
sp025-000616_004	न कश्चन अपि क्षतिम् अवाप्नुयात् अयमेवास्ति संविधानस्य सन्देशः
sp025-000617_004	अस्याम् संविधान सभायाम् महत्वपूर्ण विषयाणाम् कृते सप्तदश पृथक् पृथक् समितयो विरचिताः आसन्
sp025-000618_004	असौ नितराम् भूयसीम् महत्वपूर्णाम् भूमिकाम् निर्वाहयन् आसीत्
sp025-000619_004	तेन सुनिर्धारितमासीत् यत् समाजस्य प्रत्येकमपि वर्गस्य कल्याणम् भवेत्
sp025-000620_004	डिसम्बर मासे षष्ठे दिने तस्य महापरिनिर्वाण दिवसस्य अवसरे वयम् सर्वदा एव तम् स्मरामः नमामश्च
sp025-000621_004	देशस्य समृद्धौ शक्तिमत्करणे च बाबासाहेबस्य योगदानम् अविस्मरणीयमस्ति
sp025-000622_004	असौ मौलिकाधिकाराणाम् अल्प सङ्ख्यकानाम् आदिवासिनाम् च कृते विरचितायाः परामर्शदातृ समितेः अपि अध्यक्षः आसीत्
sp025-000623_004	नवम्बर मासीयः एकादश दिनाङ्कः अस्मदी संविधान दिवसोऽस्ति परञ्च देशोऽयम् कथम् विस्मर्तुम् प्रभवति यन्नव वर्षेभ्यः प्राक् अस्मिन्नेव दिने आतङ्कवादिनः मुम्बईम् आक्रान्तवन्तः
sp025-000624_004	देशोऽयम् तान् वीरान् नागरिकान् रक्षिकर्मिणः सुरक्षाकर्मिणः सर्वान् अपि तान् स्मरति प्रणमति च ये आत्मानम् उत्सृष्टवन्तः
sp025-000625_004	देशोऽयम् तेषाम् बलिदानम् न कदापि विस्मरिष्यति
sp025-000626_004	आतङ्कवादः अद्यत्वे विश्वस्य प्रत्येकमपि भू भागे सामान्यतः प्रतिदिनम् सञ्जायमानायाः घटनायाः अति भयङ्कर रूपत्वेन सन्तिष्ठते
sp025-000627_004	वयम् भारते विगतेभ्यः चत्वारिंशद्वर्षेभ्यः आतङ्कवादस्य कारणात् सुबहु सम्मुखीकुर्मः
sp025-000628_004	अस्मदीयाः परस्सहस्रम् निर्दोष जनाः विगत प्राणाः जाताः
sp025-000629_004	अपि च कतिपय वर्षेभ्यः प्राक् यदा भारतम् जगति आतङ्कवादम् चर्चते स्म आतङ्कवादात् सञ्जायमानम् भयङ्करम् सङ्कटम् परिचर्चते स्म तदा जगतः जनानाम् अधिसङ्ख्यम् विषयमेनम् गभीरतया स्वीकर्तुम् उद्यतम् नैव आसीत्
sp025-000630_004	परञ्चाद्य आतङ्कवादः तेषाम् द्वाराणि सङ्केतयति तदा जगतः प्रत्येकमपि प्रशासनम् मानवतावादे आहित विश्वासानि लोकतन्त्रे आश्वस्तानि च प्रशासनानि आतङ्कवादम् बृहत्तर समाह्वानत्वेन अवलोकयन्ति
sp025-000631_004	आतङ्कवादः विश्वस्य मानवताम् समाह्वयति
sp025-000632_004	सः मानवीय शक्तीः नाशयितुम् तत्परः
sp025-000633_004	अतः न केवलम् भारतम् विश्वस्य सर्वाः अपि मानवतावादि शक्तयः सम्भूय नूनम् आतङ्कवादम् पराजयेरन्
sp025-000634_004	आतङ्कवादः उग्रवादश्च अस्मदीयाम् सामाजिक संरचनाम् दुर्बलीकृत्य एनाम् छेत्तुम् भेत्तुञ्च दुश्चेष्टेते
sp025-000635_004	अत एव कालेऽस्मिन् मानवतावादि शक्तयः समधिक जागरुकतया व्यवहरेयुः इति परमावश्यकम्
sp025-000636_004	मम प्रियाः देशवासिनः डिसम्बर मासे चतुर्थ दिने वयम् सर्वे मिलित्वा नौ सेना दिवसम् आयोजयिष्यामः
sp025-000637_004	भारतीय नौ सेना अस्मदीय समुद्र तटानि संरक्षति
sp025-000638_004	अहम् नौ सेना सम्बद्धान् सर्वान् अपि जनान् अभिनन्दामि
sp025-000639_004	एते अशेष विश्वस्य कृते अस्मदीय द्वाराणि सन्ति
sp025-000640_004	अस्य देशस्य अस्मदीयायाः अस्याः भूमेः महासागरैः साकम् अविभाज्यः सम्बन्धः अवर्तत
sp025-000641_004	तथा च यदा वयम् इतिहासम् अवलोकयामः प्रायेण अष्टशत नवशत वर्षेभ्यः प्राक् चोल वंश काले चोल नौ सेना शक्तिमत्तमासु सेनासु अन्यतमा मान्यते स्म
sp025-000642_004	चोल साम्राज्यस्य विस्तरे आर्थिक महच्छक्तित्वेन अस्य विकासार्थम् नौ सेनायाः महद्योगदानमासीत्
sp025-000643_004	चोल नौ सेनायाः अभियानानाम् अन्वेषण यात्राणाम् चानेकानि उदाहरणानि अद्यापि सङ्गम साहित्ये समुपलब्धानि सन्ति
sp025-000644_004	अतिन्यूनाः एव अवगताः भवेयुः यत् जगति नौसेनानाम् अधिसङ्ख्यम् सुदीर्घ कालानन्तरम् युद्ध पोतेषु कार्यार्थम् महिलाः अनुज्ञातवत्
