sp008-000001_SR_01	स मातुः पार्श्वम् प्राप्तः
sp008-001191_YS_26	चतुर्थस्तु श्वासप्रश्वासयोः विषयावधारणात् क्रमेण भूमिजयात् उभयाक्षेपपूर्वको गत्यभावः चतुर्थः प्राणायामः इत्ययम् विशेषः
sp008-001192_YS_26	ततः क्षीयते प्रकाशावरणम्
sp008-001193_YS_26	प्राणायामान् अभ्यस्यतः अस्य योगिनः क्षीयते विवेकज्ञानावरणीयम् कर्म यत्तदाचक्षते महामोहमयेन इन्द्रजालेन प्रकाशशीलम् सत्त्वम् आवृत्य तदेव अकार्ये नियुङ्क्ते इति
sp008-001194_YS_26	तदस्य प्रकाशावरणम् कर्म संसारनिबन्धनम् प्राणायामाभ्यासात् दुर्बलम् भवति प्रतिक्षणम् च क्षीयते
sp008-001195_YS_26	तथा चोक्तम् तपो न परम् प्राणायामात् ततो विशुद्धिः मलानाम् दीप्तिश्च ज्ञानस्य इति
sp008-001196_YS_26	किम् च धारणासु च योग्यता मनसः
sp008-001197_YS_26	प्राणायामाभ्यासादेव प्रच्छर्दनविधारणाभ्याम् वा प्राणस्य इति वचनात्
sp008-001198_YS_26	स्वस्वविषयासम्प्रयोगे चित्तस्य स्वरूपानुकार इवेन्द्रियाणाम् प्रत्याहारः
sp008-001199_YS_26	स्वविषयसम्प्रयोगाभावे चित्तस्वरूपानुकारः इवेति चित्तनिरोधे चित्तवत् निरुद्धानि इन्द्रियाणि नेतरेन्द्रियजयवत् उपायान्तरम् अपेक्षन्ते
sp008-001200_YS_26	यथा मधुकरराजम् मक्षिका उत्पतन्तम् अनूत्पतन्ति निविशमानम् अनुनिविशन्ते तथा इन्द्रियाणि चित्तनिरोधे निरुद्धानि इत्येष प्रत्याहारः
sp008-001201_YS_26	ततः परमा वश्यतेन्द्रियाणाम्
sp008-001202_YS_26	शब्दादिषु अव्यसनम् इन्द्रियजयः इति केचित्
sp008-001203_YS_26	सक्तिः व्यसनम् व्यस्यत्येनम् श्रेयसः इति अविरुद्धा प्रतिपत्तिः न्याय्या
sp008-001204_YS_26	शब्दादिसम्प्रयोगः स्वेच्छया इत्यन्ये
sp008-001205_YS_26	रागद्वेषाभावे सुखदुःखशून्यम् शब्दादिज्ञानम् इन्द्रियजय इति केचित्
sp008-001206_YS_26	चित्तैकाग्र्यात् अप्रतिपत्तिरेव इति जैगीषव्यः
sp008-001207_YS_26	ततश्च परमा त्वियम् वश्यता यत् चित्तनिरोधे निरुद्धानि इन्द्रियाणि नेतरेन्द्रियजयवत् प्रयत्नकृतम् उपायान्तरम् अपेक्षन्ते योगिनः इति
sp008-001208_YS_26	इति श्रीभगवत्पतञ्जलिविरचिते योगसूत्रे द्वितीयः साधनपादः
sp008-001209_YS_27	तृतीयः विभूतिपादः
sp008-001210_YS_27	उक्तानि पञ्चबहिरङ्गाणि साधनानि
sp008-001211_YS_27	धारणा वक्तव्या देशबन्धश्चित्तस्य धारणा
sp008-001212_YS_27	नाभिचक्रे हृदयपुण्डरीके मूर्ध्नि ज्योतिषि नासिकाग्रे जिह्वाग्रे इत्येवमादिषु देशेषु बाह्ये वा विषये चित्तस्य वृत्तिमात्रेण बन्धः इति धारणा
sp008-001213_YS_27	तत्र प्रत्ययैकतानता ध्यानम्
sp008-001214_YS_27	तस्मिन् देशे ध्येयालम्बनस्य प्रत्ययस्य एकतानता सदृशः प्रवाहः प्रत्ययान्तरेण अपरामृष्टः ध्यानम्
sp008-001215_YS_27	तदेवार्थमात्रनिर्भासम् स्वरूपशून्यमिव समाधिः
sp008-001216_YS_27	ध्यानमेव ध्येयाकारनिर्भासम् प्रत्ययात्मकेन स्वरूपेण शून्यमिव यदा भवति ध्येयस्वभावावेशात् तदा समाधिरित्युच्यते
sp008-001217_YS_27	तदेतद्धारणाध्यानसमाधित्रयम् एकत्र संयमः
sp008-001218_YS_27	त्रयमेकत्र संयमः
sp008-001219_YS_27	एकविषयाणि त्रीणि साधनानि संयम इत्युच्यते
sp008-001220_YS_27	तदस्य त्रयस्य तान्त्रिकी परिभाषा संयम इति
sp008-001221_YS_27	तज्जयात् प्रज्ञालोकः
sp008-001222_YS_27	तस्य संयमस्य जयात् समाधिप्रज्ञाया भवति आलोकः
sp008-001223_YS_27	यथा यथा संयमः स्थिरपदो भवति तथा तथा समाधिप्रज्ञा विशारदी भवति
sp008-001224_YS_27	तस्य भूमिषु विनियोगः
sp008-001225_YS_27	तस्य संयमस्य जितभूमेः या अनन्तरा भूमिः तत्र विनियोगः
sp008-001226_YS_27	न हि अजिताधरभूमिः अनन्तरभूमिम् विलङ्घ्य प्रान्तभूमिषु संयमम् लभते
sp008-001227_YS_27	तदभावाच्च कुतस्तस्य प्रज्ञालोकः
sp008-001228_YS_27	ईश्वरप्रसादात् जितोत्तरभूमिकस्य च नाधरभूमिषु परचित्तज्ञानादिषु संयमो युक्तः
sp008-001229_YS_27	कस्मात् तदर्थस्य अन्यत एव अवगतत्वात्
sp008-001230_YS_27	भूमेः अस्याः इयम् अनन्तरा भूमिः इत्यत्र योग एव उपाध्यायः
sp008-001231_YS_27	कथम् एवम् ह्युक्तम्
sp008-001232_YS_27	योगेन योगो ज्ञातव्यो योगो योगात् प्रवर्तते
sp008-001233_YS_27	योऽप्रमत्तस्तु योगेन स योगे रमते चिरम् इति
sp008-001234_YS_27	त्रयमन्तरङ्गम् पूर्वेभ्यः
sp008-001235_YS_27	तदेतत् धारणाध्यानसमाधित्रयम् अन्तरङ्गम् सम्प्रज्ञातस्य समाधेः पूर्वेभ्यो यमादिभ्यः पञ्चभ्यः साधनेभ्यः इति
sp008-001236_YS_27	तदपि बहिरङ्गम् निर्बीजस्य
sp008-001237_YS_27	तदप्यन्तरङ्गम् साधनत्रयम् निर्बीजस्य योगस्य बहिरङ्गम् भवति
sp008-001238_YS_27	कस्मात् तदभावे भावात् इति
sp008-001239_YS_27	अथ निरोधचित्तक्षणेषु चलम् गुणवृत्तमिति कीदृशस्तदा चित्तपरिणामः
sp008-001240_YS_27	व्युत्थान निरोध संस्कारयोरभिभवप्रादुर्भावौ निरोधक्षण चित्तान्वयो निरोध परिणामः
sp008-001241_YS_27	व्युत्थानसंस्काराः चित्तधर्माः न ते प्रत्ययात्मकाः इति प्रत्ययनिरोधे न निरुद्धाः
sp008-001242_YS_27	निरोधसंस्काराः अपि चित्तधर्माः तयोः अभिभवप्रादुर्भावौ
sp008-001243_YS_27	व्युत्थानसंस्कारा हीयन्ते निरोधसंस्कारा आधीयन्ते
sp008-001244_YS_27	निरोधक्षणम् चित्तमन्वेति
sp008-001245_YS_27	तदेकस्य चित्तस्य प्रतिक्षणम् इदम् संस्कारान्यथात्वम् निरोधपरिणामः
sp008-001246_YS_27	तदा संस्कारशेषम् चित्तमिति निरोधसमाधौ व्याख्यातम्
sp008-001247_YS_27	तस्य प्रशान्तवाहिता संस्कारात्
sp008-001248_YS_27	निरोधसंस्कारात् निरोधसंस्काराभ्यासपाटवापेक्षा प्रशान्तवाहिता चित्तस्य भवति
sp008-001249_YS_27	तत्संस्कारमान्द्ये व्युत्थानधर्मिणा संस्कारेण निरोधधर्मः संस्कारोऽभिभूयते इति
sp008-001250_YS_27	सर्वार्थतैकाग्रतयोः क्षयोदयौ चित्तस्य समाधिपरिणामः
sp008-001251_YS_27	सर्वार्थता चित्तधर्मः
sp008-001252_YS_27	एकाग्रतापि चित्तधर्मः
sp008-001253_YS_27	सर्वार्थतायाः क्षयः तिरोभावः इत्यर्थः
sp008-001254_YS_27	एकाग्रतायाः उदयः आविर्भावः इत्यर्थः
sp008-001255_YS_27	तयोः धर्मित्वेन अनुगतम् चित्तम्
sp008-001256_YS_27	तदिदम् चित्तम् अपायोपजननयोः स्वात्मभूतयोः धर्मयोः अनुगतम् समाधीयते स चित्तस्य समाधिपरिणामः
sp008-001257_YS_28	ततः पुनः शान्तोदितौ तुल्यप्रत्ययौ चित्तस्यैकाग्रतापरिणामः
sp008-001258_YS_28	समाहितचित्तस्य पूर्वप्रत्ययः शान्तः उत्तरस्तत्सदृशः उदितः
sp008-001259_YS_28	समाहितचित्तम् उभयोः अनुगतम् पुनस्तथैव आसमाधिभ्रेषात् इति
sp008-001260_YS_28	स खल्वयम् धर्मिणः चित्तस्य एकाग्रतापरिणामः
sp008-001261_YS_28	एतेन भूतेन्द्रियेषु धर्मलक्षणावस्थापरिणामा व्याख्याताः
sp008-001262_YS_28	एतेन पूर्वोक्तेन चित्तपरिणामेन धर्मलक्षणावस्थारूपेण भूतेन्द्रियेषु धर्मपरिणामो लक्षणपरिणामो अवस्थापरिणामश्च उक्तः वेदितव्यः
sp008-001263_YS_28	तत्र व्युत्थाननिरोधयोः धर्मयोः अभिभवप्रादुर्भावौ धर्मिणि धर्मपरिणामः
sp008-001264_YS_28	लक्षणपरिणामश्च निरोधः त्रिलक्षणः त्रिभिः अध्वभिः युक्तः
sp008-001265_YS_28	स खल्वनागतलक्षणम् अध्वानम् प्रथमम् हित्वा धर्मत्वम् अनतिक्रान्तो वर्तमानम् लक्षणम् प्रतिपन्नः यत्र अस्य स्वरूपेण अभिव्यक्तिः
sp008-001266_YS_28	एषोऽस्य द्वितीयोऽध्वा
sp008-001267_YS_28	न च अतीतानागताभ्याम् लक्षणाभ्याम् वियुक्तः
sp008-001268_YS_28	तथा व्युत्थानम् त्रिलक्षणम् त्रिभिः अध्वभिः युक्तम् वर्तमानम् लक्षणम् हित्वा धर्मत्वम् अनतिक्रान्तम् अतीतलक्षणम् प्रतिपन्नम्
sp008-001269_YS_29	यत्र अस्य स्वरूपाभिव्यक्तौ सत्याम् व्यापारः एषोऽस्य तृतीयोऽध्वा
sp008-001270_YS_29	न च अतीतानागताभ्याम् लक्षणाभ्याम् वियुक्तमिति
sp008-001271_YS_29	एवम् पुनर्निरोध एवम् पुनर्व्युत्थानमिति तथावस्थापरिणामः तत्र निरोधक्षणेषु निरोधसंस्कारा बलवन्तो भवन्ति दुर्बला व्युत्थानसंस्कारा इति
sp008-001272_YS_29	एष धर्माणाम् अवस्थापरिणामः
sp008-001273_YS_29	तत्र धर्मिणो धर्मैः परिणामो धर्माणाम् त्र्यध्वनाम् लक्षणैः परिणामो लक्षणानामपि अवस्थाभिः परिणाम इति
sp008-001274_YS_29	एवम् धर्मलक्षणावस्थापरिणामैः शून्यम् न क्षणमपि गुणवृत्तम् अवतिष्ठते
sp008-001275_YS_29	चलम् च गुणवृत्तम्
sp008-001276_YS_29	गुणस्वाभाव्यम् तु प्रवृत्तिकारणम् उक्तम् गुणानामिति
sp008-001277_YS_29	एतेन भूतेन्द्रियेषु धर्मधर्मिभेदात् त्रिविधः परिणामो वेदितव्यः
sp008-001278_YS_29	परमार्थतस्तु एक एव परिणामः धर्मिस्वरूपमात्रो हि धर्मो धर्मिविक्रियैव एषा धर्मद्वारा प्रपञ्च्यते इति
sp008-001279_YS_29	तत्र धर्मस्य धर्मिणि वर्तमानस्यैव अध्वसु अतीतानागतवर्तमानेषु भावान्यथात्वम् भवति न तु द्रव्यान्यथात्वम्
sp008-001280_YS_29	यथा सुवर्णभाजनस्य भित्त्वाऽन्यथाक्रियमाणस्य भावान्यथात्वम् भवति न सुवर्णान्यथात्वमिति
sp008-001281_YS_29	अपर आह धर्मानभ्यधिको धर्मो पूर्वतत्त्वानतिक्रमा पूर्वापरावस्थाभेदमनुपतितः कौटस्थ्येन विपरिवर्तेत यद्यन्वयी स्यादिति
sp008-001282_YS_29	अयमदोषः
sp008-001283_YS_29	कस्मात् एकान्तानभ्युपगमात्
sp008-001284_YS_29	तदेतत् त्रैलोक्यम् व्यक्तेः अपैति
sp008-001285_YS_29	कस्मात् नित्यप्रतिषेधात्
sp008-001286_YS_29	अपेतम् अप्यस्ति विनाशप्रतिषेधात्
sp008-001287_YS_29	संसर्गाच्च अस्य सौक्ष्म्यम्
sp008-001288_YS_29	सौक्ष्म्याच्च अनुपलब्धिरिति
sp008-001289_YS_29	लक्षणपरिणामः धर्मः अध्वसु वर्तमानः अतीतः अतीतलक्षणयुक्तः अनागतवर्तमानाभ्याम् लक्षणाभ्याम् अवियुक्तः
sp008-001290_YS_29	तथा वर्तमानः अनागतलक्षणयुक्तः वर्तमानातीताभ्याम् लक्षणाभ्याम् अवियुक्तः
sp008-001291_YS_29	तथा वर्तमानः वर्तमानलक्षणयुक्तः अतीतानागताभ्याम् लक्षणाभ्याम् अवियुक्तः इति
sp008-001292_YS_29	यथा पुरुष एकस्याम् स्त्रियाम् रक्तः न शेषासु विरक्तो भवतीति
sp008-001293_YS_29	अत्र लक्षणपरिणामे सर्वस्य सर्वलक्षणयोगात् अध्वसङ्करः प्राप्नोतीति परैः दोषश्चोद्यत इति
sp008-001294_YS_29	तस्य परिहारः धर्माणाम् धर्मत्वम् अप्रसाध्यम्
sp008-001295_YS_29	सति च धर्मत्वे लक्षणभेदोऽपि वाच्यो न वर्तमानसमय एव अस्य धर्मत्वम्
sp008-001296_YS_29	एवम् हि न चित्तम् रागधर्मकम् स्यात् क्रोधकाले रागस्य असमुदाचारादिति
sp008-001297_YS_29	किम् च त्रयाणाम् लक्षणानाम् युगपत् एकस्याम् व्यक्तौ नास्ति सम्भवः
sp008-001298_YS_29	क्रमेण तु स्वव्यञ्जकाञ्जनस्य भावो भवेदिति
sp008-001299_YS_29	उक्तम् च रूपातिशया वृत्त्यतिशयाश्च परस्परेण विरुध्यन्ते
sp008-001300_YS_29	सामान्यानि तु अतिशयैः सह प्रवर्तन्ते
sp008-001301_YS_29	तस्मादसङ्करः
sp008-001302_YS_29	यथा रागस्यैव क्वचित् समुदाचारः इति न तदानीम् अन्यत्राभावः
sp008-001303_YS_29	किन्तु केवलम् सामान्येन समन्वागतः इत्यस्ति तदा तत्र तस्य भावः तथा लक्षणस्य इति
sp008-001304_YS_29	न धर्मी त्र्यध्वा
sp008-001305_YS_29	धर्मास्तु त्र्यध्वानः
sp008-001306_YS_29	ते लक्षिता अलक्षिताश्च ताम् ताम् अवस्थाम् प्राप्नुवन्तः अन्यत्वेन प्रतिनिर्दिश्यन्ते अवस्थान्तरतो न द्रव्यान्तरतः यथा एका रेखा शतस्थाने शतम् दशस्थाने दश एकम् च एकस्थाने
sp008-001307_YS_29	यथा च एकत्वेऽपि स्त्री माता च उच्यते दुहिता च स्वसा च इति
sp008-001308_YS_30	अवस्थापरिणामे कौटस्थ्यप्रसङ्गदोषः कैश्चिदुक्तः
sp008-001309_YS_30	कथम् अध्वनो व्यापारेण व्यवहितत्वात्
sp008-001310_YS_30	यदा धर्मः स्वव्यापारम् न करोति तदा अनागतः यदा करोति तदा वर्तमानः यदा कृत्वा निवृत्तः तदा अतीतः इत्येवम् धर्मधर्मिणोः लक्षणानाम् अवस्थानाम् च कौटस्थ्यम् प्राप्नोतीति परैः दोषः उच्यते
sp008-001311_YS_30	नासौ दोषः
sp008-001312_YS_30	कस्मात् गुणिनित्यत्वेऽपि गुणानाम् विमर्दवैचित्र्यात्
sp008-001313_YS_30	यथा संस्थानम् आदिमत् धर्ममात्रम् शब्दादीनाम् गुणानाम् विनाश्यविनाशिनाम् एवम् लिङ्गम् आदिमत् धर्ममात्रम् सत्त्वादीनाम् गुणानाम् विनाश्यविनाशिनाम्
sp008-001314_YS_30	तस्मिन् विकारसञ्ज्ञा इति
sp008-001315_YS_30	तत्र इदम् उदाहरणम् मृद्धर्मी पिण्डाकारः अनागतम् लक्षणम् हित्वा वर्तमानलक्षणम् प्रतिपद्यत इति लक्षणतः परिणमते
sp008-001316_YS_30	घटो नवपुराणताम् प्रतिलक्षणम् अनुभवन् नवस्थापरिणामम् प्रतिपद्यत इति
sp008-001317_YS_30	धर्मिणोऽपि धर्मान्तरम् अवस्था धर्मस्यापि लक्षणान्तरम् अवस्था इत्येक एव द्रव्यपरिणामो भेदेन उपदर्शितः इति
sp008-001318_YS_30	एवम् पदार्थान्तरेष्वपि योज्यमिति
sp008-001319_YS_30	एते धर्मलक्षणावस्थापरिणामा धर्मिस्वरूपम् अनतिक्रान्ता इत्येक एव परिणामः सर्वान् अमून् विशेषान् अभिप्लवते
sp008-001320_YS_30	अथ कोऽयम् परिणामः
sp008-001321_YS_30	अवस्थितस्य द्रव्यस्य पूर्वधर्मनिवृत्तौ धर्मान्तरोत्पत्तिः परिणामः
sp008-001322_YS_30	तत्र शान्तोदिताव्यपदेश्यधर्मानुपाती धर्मी
sp008-001323_YS_30	योग्यतावच्छिन्ना धर्मिणः शक्तिरेव धर्मः
sp008-001324_YS_30	स च फलप्रसवभेदानुमितसद्भाव एकस्य अन्योऽन्यश्च परिदृष्टः
sp008-001325_YS_30	तत्र वर्तमानः स्वव्यापारम् अनुभवन् धर्मो धर्मान्तरेभ्यः शान्तेभ्यश्च अव्यपदेशेभ्यश्च भिद्यते
sp008-001326_YS_30	यदा तु सामान्येन समन्वागतो भवति तदा धर्मिस्वरूपमात्रत्वात् कोऽसौ केन भिद्यते
sp008-001327_YS_30	तत्र त्रयः खलु धर्मिणो धर्माः शान्ताः उदिताः अव्यपदेश्याश्च इति
sp008-001328_YS_30	तत्र शान्ता ये कृत्वा व्यापारानुपरताः
sp008-001329_YS_30	सव्यापारा उदिताः
sp008-001330_YS_30	ते च अनागतस्य लक्षणस्य समनन्तराः
sp008-001331_YS_30	वर्तमानस्य अनन्तराः अतीताः
sp008-001332_YS_30	किमर्थम् अतीतस्य अनन्तराः न भवन्ति वर्तमानाः
sp008-001333_YS_30	पूर्वपश्चिमतायाः अभावात्
sp008-001334_YS_30	यथा अनागतवर्तमानयोः पूर्वपश्चिमता नैवम् अतीतस्य
sp008-001335_YS_30	तस्मात् न अतीतस्य अस्ति समनन्तरः
sp008-001336_YS_30	तदनागतः एव समनन्तरो भवति वर्तमानस्य
sp008-001337_YS_30	अथ अव्यपदेश्याः के सर्वम् सर्वात्मकम् इति
sp008-001338_YS_30	यथोक्तम् जलभूम्योः पारिणामिकम् रसादिवैश्वरूप्यम् स्थावरेषु दृष्टम् तथा स्थावराणाम् जङ्गमेषु जङ्गमानाम् स्थावरेषु इति
sp008-001339_YS_30	एवम् जात्यनुच्छेदेन सर्वम् सर्वात्मकम् इति
sp008-001340_YS_30	देशकालाकारनिमित्तासम्बन्धात् न खलु समानकालम् आत्मनाम् अभिव्यक्तिरिति
sp008-001341_YS_30	य एतेषु अभिव्यक्तानभिव्यक्तेषु धर्मेषु अनुपाती सामान्यविशेषात्मा सोऽन्वयी धर्मी
sp008-001342_YS_30	यस्य तु धर्ममात्रमेवेदम् निरन्वयम् तस्य भोगाभावः
sp008-001343_YS_30	कस्मात् अन्येन विज्ञानेन कृतस्य कर्मणः अन्यत्कथम् भोक्तृत्वेन अधिक्रियेत
sp008-001344_YS_30	तत्स्मृत्यभावश्च नान्यदृष्टस्य स्मरणम् अन्यस्यास्तीति
sp008-001345_YS_30	वस्तुप्रत्यभिज्ञानाच्च स्थितः अन्वयी धर्मी यः धर्मान्यथात्वम् अभ्युपगतः प्रत्यभिज्ञायते
sp008-001346_YS_30	तस्मात् नेदम् धर्ममात्रम् निरन्वयम् इति
sp008-001347_YS_30	क्रमान्यत्वम् परिणामान्यत्वे हेतुः
sp008-001348_YS_30	एकस्य धर्मिणः एक एव परिणामः इति प्रसक्ते क्रमान्यत्वम् परिणामान्यत्वे हेतुर्भवतीति
sp008-001349_YS_30	तद्यथा चूर्णमृत् पीण्डमृत् घटमृत् कणमृदिति च क्रमः
sp008-001350_YS_30	यो यस्य धर्मस्य समनन्तरो धर्मः स तस्य क्रमः
sp008-001351_YS_30	पिण्डः प्रच्यवते घटः उपजायत इति धर्मपरिणामक्रमः
sp008-001352_YS_30	लक्षणपरिणामक्रमो घटस्य अनागतभावात् वर्तमानभावक्रमः
sp008-001353_YS_30	तथा पिण्डस्य वर्तमानभावात् अतीतभावक्रमः
sp008-001354_YS_30	न अतीतस्य अस्ति क्रमः
sp008-001355_YS_30	कस्मात् पूर्वपरतायाम् सत्याम् समनन्तरत्वम्
sp008-001356_YS_30	सा तु नास्ति अतीतस्य
sp008-001357_YS_30	तस्मात् द्वयोरेव लक्षणयोः क्रमः
sp008-001358_YS_30	तथा अवस्थापरिणामक्रमोऽपि
sp008-001359_YS_30	घटस्य अभिनवस्य प्रान्ते पुराणता दृश्यते
sp008-001360_YS_30	सा च क्षणपरम्परानुपातिना क्रमेणाभिव्यज्यमाना पराम् व्यक्तिम् आपद्यत इति
sp008-001361_YS_30	धर्मलक्षणाभ्याम् च विशिष्टोऽयम् तृतीयः परिणामः इति
sp008-001362_YS_30	त एते क्रमा धर्मधर्मिभेदे सति प्रतिलब्धस्वरूपाः
sp008-001363_YS_30	धर्मोऽपि धर्मी भवति अन्यधर्मस्वरूपापेक्षया इति
sp008-001364_YS_30	यदा तु परमार्थतो धर्मिणि अभेदोपचारः तद्द्वारेण स एव अभिधीयते धर्मः तदा अयमेकत्वेनैव क्रमः प्रत्यवभासते
sp008-001365_YS_30	चित्तस्य द्वये धर्माः परिदृष्टाश्च अपरिदृष्टाश्च
sp008-001366_YS_30	तत्र प्रत्ययात्मकाः परिदृष्टाः
sp008-001367_YS_30	वस्तुमात्रात्मकाः अपरिदृष्टाः
sp008-001368_YS_30	ते च सप्तैव भवति अनुमानेन प्रापितवस्तुमात्रसद्भावाः
sp008-001369_YS_30	निरोधधर्मसंस्काराः परिणामोऽथ जीवनम्
sp008-001370_YS_30	चेष्टा शक्तिश्च चित्तस्य धर्मा दर्शनवर्जिताः इति
sp008-001371_YS_31	अतो योगेन उपात्तसर्वसाधनस्य बुभुत्सितार्थप्रतिपत्तये संयमस्य विषयः उपक्षिप्यते
sp008-001372_YS_31	परिणामत्रय संयमादतीतानागतज्ञानम्
sp008-001373_YS_31	धर्मलक्षणावस्थापरिणामेषु संयमात् योगिनाम् भवति अतीतानागतज्ञानम्
sp008-001374_YS_31	धारणाध्यानसमाधित्रयम् एकत्र संयमः उक्तः
sp008-001375_YS_31	तेन परिणामत्रयम् साक्षात् क्रियमाणम् अतीतानागतज्ञानम् तेषु सम्पादयति
sp008-001376_YS_31	शब्दार्थप्रत्ययानाम् इतरेतराध्यासात् सङ्करः तत्प्रविभागसंयमात् सर्वभूतरुतज्ञानम्
sp008-001377_YS_31	तत्र वाक् वर्णेष्वेव अर्थवती
sp008-001378_YS_31	श्रोत्रम् च ध्वनिपरिणाम मात्र विषयम्
sp008-001379_YS_31	पदम् पुनः नादानुसंहार बुद्धि निर्ग्राह्यम् इति
sp008-001380_YS_31	वर्णाः एकसमयासम्भवित्वात् परस्पर निरनुग्रहात्मानः
sp008-001381_YS_31	ते पदम् असंस्पृश्य अनुपस्थाप्य आविर्भूताः तिरोभूताश्च इति प्रत्येकम् अपदस्वरूपाः उच्यन्ते
sp008-001382_YS_31	वर्णः पुनः एकैकः पदात्मा सर्वाभिधानशक्तिप्रचितः सहकारिवर्णान्तरप्रतियोगित्वात् वैश्वरूप्यमिव आपन्नः
sp008-001383_YS_31	पूर्वश्च उत्तरेण उत्तरश्च पूर्वेण विशेषे अवस्थापितः इति
sp008-001384_YS_31	एवम् बहवो वर्णाः क्रमानुरोधिनः अर्थसङ्केतेन अवच्छिन्नाः इयन्तः एते सर्वाभिधानशक्तिपरिवृत्ताः गकारौकारविसर्जनीयाः सास्नादिमन्तम् अर्थम् द्योतयन्तीति
sp008-001385_YS_31	तत् एतेषाम् अर्थसङ्केतेन अवच्छिन्नानाम् उपसंहृतध्वनिक्रमाणाम् यः एकः बुद्धिनिर्भासः तत्पदम् वाचकम् वाच्यस्य सङ्केत्यते
sp008-001386_YS_31	तदेकम् पदम् एकबुद्धिविषयम् एकप्रयत्नाक्षिप्तम् अभागम् अक्रमम् अवर्णम्
sp008-001387_YS_31	बौद्धम् अन्त्यवर्णप्रत्यय व्यापारोपस्थापितम् परत्र प्रतिपिपादयिषया वर्णैरेव अभिधीयमानैः श्रूयमाणैश्च श्रोतृभिः अनादि वाग्व्यवहार वासनानुविद्धया लोकबुद्ध्या सिद्धवत्सम् प्रतिपत्त्या प्रतीयते
sp008-001388_YS_31	तस्य सङ्केतबुद्धितः प्रविभागः
sp008-001389_YS_31	एतावताम् एवञ्जातीयकः अनुसंहारः एतस्य अर्थस्य वाचकः इति
sp008-001390_YS_31	सङ्केतस्तु पद पदार्थयोः इतरेतराध्यासरूपः स्मृत्यात्मको योऽयम् शब्दः सोऽयमर्थः
sp008-001391_YS_31	योऽर्थः स शब्दः इति
sp008-001392_YS_31	एवम् इतरेतराध्यासरूपः सङ्केतो भवतीति
sp008-001393_YS_31	एवम् एते शब्दार्थप्रत्ययाः इतरेतराध्यासात् सङ्कीर्णाः
sp008-001394_YS_31	गौरिति शब्दो गौरित्यर्थो गौरिति ज्ञानम्
sp008-001395_YS_31	यः एषाम् प्रविभागज्ञः सः सर्ववित्
sp008-001396_YS_31	सर्वपदेषु चास्ति वाक्यशक्तिः
sp008-001397_YS_31	वृक्षः इत्युक्ते अस्तीति गम्यते
sp008-001398_YS_31	न सत्ताम् पदार्थौ व्यभिचरति इति
sp008-001399_YS_31	तथा न हि असाधना क्रिया अस्तीति
sp008-001400_YS_31	तथा च पचतीत्युक्ते सर्वकारकाणाम् आक्षेपः
sp008-001401_YS_31	नियमार्थः अनुवादः कर्तृकरणकर्मणाम् चैत्राग्नितण्डुलानाम् इति
sp008-001402_YS_31	दृष्टम् च वाक्यार्थे पदरचनम् श्रोत्रियः छन्दोऽधीते जीवति प्राणान् धारयति
sp008-001403_YS_31	तत्र वाक्ये पदार्थाभिव्यक्तिः ततः पदम् प्रविभज्य व्याकरणीयम् क्रियावाचकम् वा कारकवाचकम् वा
sp008-001404_YS_31	अन्यथा भवति अश्वः अजापयः इत्येवमादिषु नामाख्यातसारूप्यात् अनिर्ज्ञातम् कथम् क्रियायाम् कारके वा व्याक्रियेत इति
sp008-001405_YS_31	तेषाम् शब्दार्थप्रत्ययानाम् प्रविभागः
sp008-001406_YS_31	तद्यथा श्वेतते प्रासाद इति क्रियार्थः
sp008-001407_YS_31	श्वेतः प्रासादः इति कारकार्थः शब्दः
sp008-001408_YS_31	क्रियाकारकात्मा तदर्थः प्रत्ययश्च
sp008-001409_YS_31	कस्मात् सोऽयम् इत्यभिसम्बन्धात् एकाकार एव प्रत्ययः सङ्केतः इति
sp008-001410_YS_31	यस्तु श्वेतोऽर्थः स शब्दप्रत्यययोः आलम्बनीभूतः
sp008-001411_YS_31	स हि स्वाभिः अवस्थाभिः विक्रियमाणः न शब्दसहगतः न बुद्धिसहगतः
sp008-001412_YS_31	एवम् शब्दः एवम् प्रत्ययः नेतरेतरसहगतः इति
sp008-001413_YS_31	अन्यथा शब्दः अन्यथार्थः अन्यथा प्रत्ययः इति विभागः
sp008-001414_YS_31	एवम् तत्प्रविभागसंयमात् योगिनः सर्वभूतरुतज्ञानम् सम्पद्यते इति
sp008-001415_YS_32	संस्कारसाक्षात्करणात् पूर्वजातिज्ञानम्
sp008-001416_YS_32	द्वये खल्वमी संस्काराः
sp008-001417_YS_32	स्मृतिक्लेशहेतवो वासनारूपाः विपाकहेतवो धर्माधर्मरूपाः
sp008-001418_YS_32	ते पूर्वभवाभिसंस्कृताः परिणामचेष्टा निरोधशक्तिजीवन धर्मवत् अपरिदृष्टाः चित्तधर्माः
sp008-001419_YS_32	तेषु संयमः संस्कारसाक्षात्क्रियायै समर्थः
sp008-001420_YS_32	न च देशकालनिमित्तानुभवैः विना तेषाम् अस्ति साक्षात्करणम्
sp008-001421_YS_32	तदित्थम् संस्कारसाक्षात्करणात् पूर्वजातिज्ञानम् उत्पद्यते योगिनः
sp008-001422_YS_32	परत्रापि एवमेव संस्कारसाक्षात्करणात् परजातिसंवेदनम्
