sp006-000001_GB_00-00	SANkaraBAzyam
sp006-001109_GB_04-01-10	mAm eti AgacCati sa mucyate he arjuna
sp006-001110_GB_04-01-10	na eza mokzamArga idAnIm pravfttaH kim tarhi pUrvamapi
sp006-001111_GB_04-01-10	vItarAgaBayakroDAH rAgaSca Bayam ca kroDaSca vItA vigatA yeByaH te vItarAgaBayakroDAH
sp006-001112_GB_04-01-10	manmayA brahmavida ISvarABedadarSinaH mAm eva parameSvaram upASritAH kevalajYAnanizWA ityarTaH
sp006-001113_GB_04-01-10	bahavaH aneke jYAnatapasA jYAnam eva ca paramAtmavizayam tapaH tena jYAnatapasA
sp006-001114_GB_04-01-10	pUtAH parAm SudDim gatAH santo madBAvam ISvaraBAvam mokzam AgatAH samanuprAptAH
sp006-001115_GB_04-01-10	itarataponirapekzajYAnanizWA ityasya liNgam jYAnatapasA iti viSezaRam
sp006-001116_GB_04-11	ye yaTA yena prakAreRa yena prayojanena yatPalArTitayA mAm prapadyante tAn taTA eva
sp006-001117_GB_04-11	tatPaladAnena BajAmi anugfhRAmi aham iti etat
sp006-001118_GB_04-11	tezAm mokzam prati anarTitvAt
sp006-001119_GB_04-11	na hi ekasya mumukzutvam PalArTitvam ca yugapat samBavati
sp006-001120_GB_04-11	ato ye PalArTinaH tAn PalapradAnena
sp006-001121_GB_04-11	ye yaToktakAriRastu aPalArTino mumukzavaH ca tAn jYAnapradAnena
sp006-001122_GB_04-11	ye jYAninaH sannyAsino mumukzavaH ca tAn mokzapradAnena
sp006-001123_GB_04-11	taTA ArtAn ArtiharaRena iti evam yaTA prapadyante ye tAn taTA eva BajAmi ityarTaH
sp006-001124_GB_04-11	na punaH rAgadvezanimittam mohanimittam vA kaYcit BajAmi
sp006-001125_GB_04-11	sarvaTA api sarvAvasTasya mama ISvarasya vartma mArgam anuvartante manuzyAH
sp006-001126_GB_04-11	yatPalArTitayA yasmin karmaRi aDikftA ye prayatante te manuzyA ucyante
sp006-001127_GB_04-11	he pArTa sarvaSaH sarvaprakArEH
sp006-001128_GB_04-12	sarvaPalapradAnasamarTe ca tvayi sati vAsudevaH sarvam iti jYAnena eva mumukzavaH santaH
sp006-001129_GB_04-12	kasmAt tvAmeva sarve na pratipadyante iti
sp006-001130_GB_04-12	SfRu tatra kAraRam
sp006-001131_GB_04-12	kANkzantaH aBIpsantaH karmaRAm sidDim Palanizpattim prArTayantaH
sp006-001132_GB_04-12	yajanta iha asmin loke devatA indrAgnyAdyAH
sp006-001133_GB_04-12	bfhadAraRyaka upanizat eka catuH daSa iti SruteH
sp006-001134_GB_04-12	tezAm hi BinnadevatAyAjinAm PalAkANkziRAm kzipram SIGram hi yasmAt mAnuze loke
sp006-001135_GB_04-12	manuzyaloke hi SAstrADikAraH
sp006-001136_GB_04-12	kzipram hi mAnuze loke iti viSezaRAt anyezu api karmaPalasidDim darSayati BagavAn
sp006-001137_GB_04-12	mAnuze loke varRASramAdikarmADikAra iti viSezaH
sp006-001138_GB_04-12	tezAm varRASramAdyaDikArikarmaRAm PalasidDiH kzipram Bavati
sp006-001139_GB_04-12	karmajA karmaRo jAtA
sp006-001140_GB_04-13	na anyezu lokezu iti niyamaH kinnimitta iti
sp006-001141_GB_04-13	aTavA varRASramAdipraviBAgopetA manuzyA mama vartma anuvartante sarvaSa iti uktam
sp006-001142_GB_04-13	kasmAtpunaH kAraRAt niyamena tava eva vartma anuvartante na anyasya iti ucyate
sp006-001143_GB_04-13	cAturvarRyam catvAra eva varRAH cAturvarRyam mayA ISvareRa sfzwam utpAditam
sp006-001144_GB_04-13	guRakarmaviBAgaSo guRaviBAgaSaH karmaviBAgaSaSca
sp006-001145_GB_04-13	guRAH sattvarajastamAMsi
sp006-001146_GB_04-13	tatra sAttvikasya sattvapraDAnasya brAhmaRasya Samo damastapa ityAdIni karmARi
sp006-001147_GB_04-13	sattvopasarjana rajaHpraDAnasya kzatriyasya SOryatejaHpraBftIni karmARi
sp006-001148_GB_04-13	tamaupasarjanarajaHpraDAnasya vESyasya kfzyAdIni karmARi
sp006-001149_GB_04-13	rajaupasarjanatamaHpraDAnasya SUdrasya SuSrUzA eva karma
sp006-001150_GB_04-13	iti evam guRakarmaviBAgaSaH cAturvarRyam mayA sfzwam ityarTaH
sp006-001151_GB_04-13	tacca idam cAturvarRyam na anyezu lokezu ato mAnuze loke iti viSezaRam
sp006-001152_GB_04-13	hanta tarhi cAturvarRya sargAdeH karmaRaH kartftvAt tatPalena yujyase ato na tvam nityamukto nityeSvara iti ucyate
sp006-001153_GB_04-13	yadyapi mAyAsaMvyavahAreRa tasya karmaRaH kartAram api santam mAm paramArTato vidDi akartAram
sp006-001154_GB_04-13	ata eva avyayam asaMsAriRam ca mAm vidDi
sp006-001155_GB_04-14	na mAm tAni karmARi limpanti dehAdyAramBakatvena ahaNkArABAvAt
sp006-001156_GB_04-14	na ca tezAm karmaRAm Palezu me spfhA tfzRA
sp006-001157_GB_04-14	yezAm tu saMsAriRAm aham kartA iti aBimAnaH karmasu spfhA tatPalezu ca
sp006-001158_GB_04-14	tAn karmARi limpanti iti yuktam
sp006-001159_GB_04-14	iti evam yaH anyaH api mAm Atmatvena aBijAnAti
sp006-001160_GB_04-14	na aham kartA na me karmaPale spfhA iti sa karmaBiH na baDyate
sp006-001161_GB_04-14	tasyApi na dehAdyAramBakARi karmARi Bavanti ityarTaH
sp006-001162_GB_04-15	evam jYAtvA kftam karma pUrvaH api atikrAntEH mumukzuBiH
sp006-001163_GB_04-15	kuru tena karma eva tvam na tUzRImAsanam na api sannyAsaH kartavyaH
sp006-001164_GB_04-15	tasmAt tvam pUrvEH api anuzWitatvAt yadi anAtmajYaH tvam tadA AtmaSudDyarTam
sp006-001165_GB_04-15	tattvaviccet lokasaNgrahArTam pUrvEH janakAdiBiH pUrvataram kftam na aDunAtanam kftam nirvartitam
sp006-001166_GB_04-16	kim viSezitena pUrvEH pUrvataram kftam iti ucyate yasmAt mahadvEzamyam karmaRi
sp006-001167_GB_04-16	kim karma kim ca akarma iti kavayo meDAvinaH api atra asmin karmAdivizaye mohitA moham gatAH
sp006-001168_GB_04-16	ataH te tuByam aham karma akarma ca pravakzyAmi
sp006-001169_GB_04-17	karma nAma dehAdicezwA lokaprasidDam
sp006-001170_GB_04-17	akarma tadakriyA tUzRIm Asanam
sp006-001171_GB_04-17	kim tatra bodDavyam iti
sp006-001172_GB_04-17	kasmAt ucyate
sp006-001173_GB_04-17	karmaRaH SAstravihitasya hi yasmAdapi asti bodDavyam
sp006-001174_GB_04-17	bodDavyam ca asti eva vikarmaRaH pratizidDasya
sp006-001175_GB_04-17	taTA akarmaRaH ca tUzRImBAvasya bodDavyam asti iti trizu api aDyAhAraH kartavyaH
sp006-001176_GB_04-17	yasmAt gahanA vizamA durjYAnA
sp006-001177_GB_04-17	karmaRa iti upalakzaRArTam karmAdInAm karmAkarmavikarmaRAm gatiH yATAtmyam tattvam ityarTaH
sp006-001178_GB_04-18-01	karmaRi karma kriyate iti vyApAramAtram
sp006-001179_GB_04-18-01	tasmin karmaRi akarma karmABAvam yaH paSyet
sp006-001180_GB_04-18-01	akarmaRi ca karmABAve kartftantratvAt pravfttinivfttyoH vastu aprApyEva hi
sp006-001181_GB_04-18-01	sarva eva kriyAkArakAdivyavahAraH avidyABUmO eva
sp006-001182_GB_04-18-01	karma yaH paSyet paSyati
sp006-001183_GB_04-18-01	sa budDimAn manuzyezu sa yukto yogI
sp006-001184_GB_04-18-01	kftsnakarmakft samastakarmakfcca sa iti stUyate karmAkarmaRoH itaretaradarSI
sp006-001185_GB_04-18-01	nanu kim idam virudDam ucyate
sp006-001186_GB_04-18-01	karmaRi akarma yaH paSyediti
sp006-001187_GB_04-18-01	akarmaRi ca karma iti
sp006-001188_GB_04-18-01	na hi karma akarma syAt akarma vA karma
sp006-001189_GB_04-18-01	tatra virudDam kaTam paSyed drazwA
sp006-001190_GB_04-18-01	nanu akarma eva paramArTataH sat karmavat avaBAsate mUQadfzweH lokasya
sp006-001191_GB_04-18-01	taTA karma eva akarmavat
sp006-001192_GB_04-18-01	tatra yaTABUtadarSanArTam Aha BagavAn karmaRi akarma yaH paSyet ityAdi
sp006-001193_GB_04-18-01	ato na virudDam
sp006-001194_GB_04-18-01	budDimattvAdyupapatteSca
sp006-001195_GB_04-18-01	bodDavyam iti ca yaTABUtadarSanam ucyate
sp006-001196_GB_04-18-01	na ca viparItajYAnAt aSuBAt mokzaRam syAt
sp006-001197_GB_04-18-01	iti ca uktam
sp006-001198_GB_04-18-01	tasmAt karmAkarmaRI viparyayeRa gfhIte prARiBiH
sp006-001199_GB_04-18-01	tadviparyayagrahaRanivfttyarTam Bagavato vacanam karmaRi akarma yaH ityAdi
sp006-001200_GB_04-18-01	na ca atra karmADikaraRam akarma asti kuRqe badarARIva
sp006-001201_GB_04-18-01	na api akarmADikaraRam karma asti
sp006-001202_GB_04-18-01	karmABAvatvAt akarmaRaH
sp006-001203_GB_04-18-01	ato viparItagfhIte eva karmAkarmaRI lOkikEH
sp006-001204_GB_04-18-01	yaTA mfgatfzRikAyAm udakam SuktikAyAm vA rajatam
sp006-001205_GB_04-18-01	nanu karma karma eva sarvezAm na kvacit vyaBicarati tanna
sp006-001206_GB_04-18-01	nOsTasya nAvi gacCantyAm tawasTezu agatizu nagezu pratikUlagatidarSanAt
sp006-001207_GB_04-18-01	dUrezu cakzuzA asannikfzwezu gacCatsu gatyaBAvadarSanAt
sp006-001208_GB_04-18-01	evam ihApi akarmaRi ahaNkaromi iti karmadarSanam
sp006-001209_GB_04-18-01	karmaRi ca akarmadarSanam viparItadarSanam yena tannirAkaraRArTam ucyate karmaRi akarma yaH paSyet ityAdi
sp006-001210_GB_04-18-01	tadetat uktaprativacanam api asakft
sp006-001211_GB_04-18-01	atyantaviparItadarSanaBAvitatayA momuhyamAno lokaH
sp006-001212_GB_04-18-01	Srutamapi asakft tattvam vismftya miTyAprasaNgam avatArya avatArya codayati iti
sp006-001213_GB_04-18-01	punaH punaH uttaram Aha BagavAn durvijYeyatvam ca Alakzya vastunaH
sp006-001214_GB_04-18-01	ityAdinA Atmani karmABAvaH SrutismftinyAyaprasidDa ukto vakzyamARaSca
sp006-001215_GB_04-18-01	tasmin Atmani karmABAve akarmaRi karmaviparItadarSanam atyantanirUQam
sp006-001216_GB_04-18-01	dehAdyASrayam ca karma Atmani aDyAropya
sp006-001217_GB_04-18-01	iti ca taTA
sp006-001218_GB_04-18-01	iti kAryakaraRASrayam vyApAroparamam tatkftam ca suKitvam Atmani aDyAropya
sp006-001219_GB_04-18-01	iti aBimanyate lokaH
sp006-001220_GB_04-18-01	tatra idam lokasya vipararItadarSanApanayAya Aha BagavAn
sp006-001221_GB_04-18-01	karmaRi akarma yaH paSyet ityAdi
sp006-001222_GB_04-18-02	yataH paRqitaH api aham karomi iti manyate
sp006-001223_GB_04-18-02	ataH AtmasamavetatayA sarvalokaprasidDe karmaRi nadIkUlasTezu iva vfkzezu gatiprAtilomyena
sp006-001224_GB_04-18-02	akarma karmABAvam yaTABUtam gatyaBAvam iva vfkzezu yaH paSyet
sp006-001225_GB_04-18-02	akarmaRi ca kAryakaraRavyApAroparame karmavat Atmani aDyAropite tUzRIm akurvan suKam Asa iti ahaNkArABisanDihetutvAt
sp006-001226_GB_04-18-02	tasmin akarmaRi ca karma yaH paSyet
sp006-001227_GB_04-18-02	ya evam karmAkarmaviBAgajYaH sa budDimAn paRqito manuzyezu
sp006-001228_GB_04-18-02	sa yukto yogI kftsnakarmakfcca saH aSuBAt mokzitaH kftakftyo Bavati ityarTaH
sp006-001229_GB_04-18-02	ayam SlokaH anyaTA vyAKyAtaH kEScit
sp006-001230_GB_04-18-02	nityAnAm kila karmaRAm ISvarArTe anuzWIyamAnAnAm tatPalABAvAt akarmARi tAni ucyante gORyA vfttyA
sp006-001231_GB_04-18-02	tezAm ca akaraRam akarma
sp006-001232_GB_04-18-02	tacca pratyavAyaPalatvAt karma ucyate gORyA eva vfttyA
sp006-001233_GB_04-18-02	tatra nitye karmaRi akarma yaH paSyet PalABAvAt
sp006-001234_GB_04-18-02	yaTA DenuH api gOH agOH ucyate
sp006-001235_GB_04-18-02	kzIrAKyam Palam na prayacCatIti tadvat
sp006-001236_GB_04-18-02	taTA nityAkaraRe tu akarmaRi ca karma yaH paSyet narakAdipratyavAyaPalam prayacCati iti
sp006-001237_GB_04-18-02	na etat yuktam vyAKyAnam
sp006-001238_GB_04-18-02	evam jYAnAt aSuBAt mokzAnupapatteH
sp006-001239_GB_04-18-02	iti BagavatA uktam vacanam bADyeta kaTam
sp006-001240_GB_04-18-02	nityAnAmanuzWAnAt aSuBAt syAnnAma mokzaRam na tu tezAm PalABAvajYAnAt
sp006-001241_GB_04-18-02	na hi nityAnAm PalABAvajYAnam aSuBamuktiPalatvena coditam nityakarmajYAnam vA
sp006-001242_GB_04-18-02	na ca BagavatA eva iha uktam
sp006-001243_GB_04-18-02	etena akarmaRi karmadarSanam pratyuktam
sp006-001244_GB_04-18-02	na hi akarmaRi karma iti darSanam kartavyatayA iha codyate nityasya tu kartavyatAmAtram
sp006-001245_GB_04-18-02	na ca akaraRAt nityasya pratyavAyo BavatIti vijYAnAt kiYcit Palam syAt
sp006-001246_GB_04-18-02	nApi nityAkaraRam jYeyatvena coditam
sp006-001247_GB_04-18-02	nApi karma akarma iti miTyAdarSanAt aSuBAt mokzaRam budDimattvam yuktatA kftsnakarmakfttvAdi ca Palam upapadyate stutirvA
sp006-001248_GB_04-18-02	miTyAjYAnameva hi sAkzAt aSuBarUpam kutaH anyasmAdaSuBAt mokzaRam
sp006-001249_GB_04-18-02	na hi tamaH tamaso nivartakam Bavati
sp006-001250_GB_04-18-02	nanu karmaRi yadakarmadarSanam akarmaRi vA karmadarSanam na tat miTyAjYAnam
sp006-001251_GB_04-18-02	kim tarhi gORam PalaBAvABAvanimittam
sp006-001252_GB_04-18-02	na karmAkarmavijYAnAdapi gORAt Palasya aSravaRAt
sp006-001253_GB_04-18-02	nApi SrutahAnyaSrutaparikalpanAyA kaScit viSezo laByate
sp006-001254_GB_04-18-02	svaSabdenApi Sakyam vaktum nityakarmaRAm Palam nAsti akaraRAcca tezAm narakapAtaH syAditi
sp006-001255_GB_04-18-02	tatra vyAjena paravyAmoharUpeRa karmaRi akarma yaH paSyedityAdinA kim
sp006-001256_GB_04-18-02	tatra evam vyAcakzARena BagavatA uktam vAkyam lokavyAmohArTamiti vyaktam kalpitam syAt
sp006-001257_GB_04-18-02	na ca etat CadmarUpeRa vAkyena rakzaRIyam vastu
sp006-001258_GB_04-18-02	nApi SabdAntareRa punaH punaH ucyamAnam suboDaH syAt ityevam vaktum yuktam
sp006-001259_GB_04-18-02	iti atra hi sPuwatara uktaH arTo na punaH vaktavyo Bavati
sp006-001260_GB_04-18-02	sarvatra ca praSastam bodDavyam ca kartavyameva
sp006-001261_GB_04-18-02	na nizprayojanam bodDavyam iti ucyate
sp006-001262_GB_04-18-02	na ca miTyAjYAnam bodDavyam Bavati tatpratyupasTApitam vA vastvABAsam
sp006-001263_GB_04-18-02	nApi nityAnAm akaraRAt aBAvAt pratyavAyaBAvotpattiH
sp006-001264_GB_04-18-02	iti vacanAt
sp006-001265_GB_04-18-02	CAndogya upanizat zaw dvi dvi iti ca darSitam asataH sajjanmapratizeDAt
sp006-001266_GB_04-18-02	asataH sadutpattim bruvatA asadeva sadBavet sacca asadBavet iti uktam syAt
sp006-001267_GB_04-18-02	tacca ayuktam sarvapramARaviroDAt
sp006-001268_GB_04-18-02	na ca nizPalam vidaDyAt karma SAstram duHKasvarUpatvAt
sp006-001269_GB_04-18-02	duHKasya ca budDipUrvakatayA kAryatvAnupapatteH
sp006-001270_GB_04-18-02	tadakaraRe ca narakapAtAByupagame anarTA eva uBayaTApi karaRe akaraRe ca SAstram nizPalam kalpitam syAt
sp006-001271_GB_04-18-02	svAByupagamaviroDaH ca nityam nizPalam karma iti aByupagamya mokzaPalAya iti bruvataH
sp006-001272_GB_04-18-02	tasmAt yaTASruta eva arTaH karmaRi akarma yaH ityAdeH
sp006-001273_GB_04-18-02	taTA ca vyAKyAtaH asmABiH SlokaH
sp006-001274_GB_04-19	yasya yaToktadarSinaH sarve yAvantaH samAramBAH karmARi samAraByante iti samAramBAH
sp006-001275_GB_04-19	kAmasaNkalpavarjitAH kAmEH tatkAraRESca saNkalpEH varjitA muDA eva cezwAmAtrA anuzWIyante
sp006-001276_GB_04-19	pravfttena cet lokasaNgrahArTam nivfttena cet jIvanamAtrArTam
sp006-001277_GB_04-19	tam jYAnAgnidagDakarmARam karmAdO akarmAdidarSanam jYAnam tadeva agniH
sp006-001278_GB_04-19	tena jYAnAgninA dagDAni SuBASuBalakzaRAni karmARi yasya
sp006-001279_GB_04-19	tam AhuH paramArTataH paRqitam buDAH brahmavidaH
sp006-001280_GB_04-20	karmaRi na pravartate yadyapi prAg vivekataH pravfttaH
sp006-001281_GB_04-20	yastu prArabDakarmA san uttarakAlam utpannAtmasamyagdarSanaH syAt
sp006-001282_GB_04-20	sa karmaRi prayojanam apaSyan sasADanam karma parityajatyeva
sp006-001283_GB_04-20	sa kutaScit nimittAt karmaparityAgAsamBave sati
sp006-001284_GB_04-20	karmaRi tatPale ca saNgarahitatayA svaprayojanABAvAt lokasaNgrahArTam pUrvavat karmaRi pravfttoऽpi na eva kiYcit karoti
sp006-001285_GB_04-20	jYAnAgnidagDakarmatvAt tadIyam karma akarma eva sampadyate iti etam arTam darSayizyan Aha
sp006-001286_GB_04-20	tyaktvA karmasu aBimAnam PalAsaNgam ca yaToktena jYAnena nityatfpto nirAkANkzo vizayezu ityarTaH
sp006-001287_GB_04-20	nirASraya ASrayarahitaH ASrayo nAma yadASritya puruzArTam sisADayizati
sp006-001288_GB_04-20	dfzwAdfzwezwaPalasADanASrayarahita ityarTaH
sp006-001289_GB_04-20	viduzA kriyamARam karma paramArTataH akarma eva tasya nizkriyAtmadarSanasampannatvAt
sp006-001290_GB_04-20	tena evamBUtena prayojanABAvAt sasADanam karma parityaktavyam eva iti prApte
sp006-001291_GB_04-20	tato nirgamAsamBavAt lokasaNgrahacikIrzayA SizwavigarhaRAparijihIrzayA vA
sp006-001292_GB_04-20	pUrvavat karmaRi aBipravfttaH api nizkriyAtmadarSanasampannatvAt na eva kiYcit karoti saH
sp006-001293_GB_04-21	sa dfzwAdfzwezwavizayASIrvivarjitatayA dfzwAdfzwArTe karmaRi prayojanam apaSyan sasADanam karma sannyasya
sp006-001294_GB_04-21	SarIrayAtrAmAtracezwo yatiH jYAnanizWo mucyate ityetamarTam darSayitum Aha
sp006-001295_GB_04-21	nirASIH nirgatA ASizo yasmAt sa nirASIH
sp006-001296_GB_04-21	yatacittAtmA cittam antaHkaraRam AtmA bAhyaH kAryakaraRasaNGAtaH
sp006-001297_GB_04-21	tO uBO api yatO saMyatO yena saH yatacittAtmA
sp006-001298_GB_04-21	tyaktasarvaparigrahaH tyaktaH sarvaH parigraho yena sa tyaktasarvaparigrahaH
sp006-001299_GB_04-21	SArIram SarIrasTitimAtraprayojanam
sp006-001300_GB_04-21	kevalam tatrApi aBimAnavarjitam karma kurvan na Apnoti na prApnoti kilbizam anizwarUpam pApam Darmam ca
sp006-001301_GB_04-21	DarmaH api mumukzoH kilbizameva banDApAdakatvAt
sp006-001302_GB_04-21	kiYca SArIram kevalam karma ityatra kim SarIranirvartyam SArIram karma aBipretam
sp006-001303_GB_04-21	Ahosvit SarIrasTitimAtraprayojanam SArIram karma iti
sp006-001304_GB_04-21	kim ca ato yadi SarIranirvartyam SArIram karma yadi vA SarIrasTitimAtraprayojanam SArIram iti ucyate
sp006-001305_GB_04-21	yadA SarIranirvartyam karma SArIram aBipretam syAt
sp006-001306_GB_04-21	tadA dfzwAdfzwaprayojanam karma pratizidDamapi SarIreRa kurvan na Apnoti kilbizam iti bruvato virudDABiDAnam prasajyeta
sp006-001307_GB_04-21	SAstrIyam ca karma dfzwAdfzwaprayojanam SarIreRa kurvan na Apnoti kilbizam
sp006-001308_GB_04-21	ityapi bruvataH aprAptapratizeDaprasaNgaH
sp006-001309_GB_04-21	SArIram karma kurvan iti viSezaRAt kevalaSabdaprayogAcca vANmanasanirvartyam karma
sp006-001310_GB_04-21	viDipratizeDavizayam DarmADarmaSabdavAcyam kurvan prApnoti kilbizam iti uktam syAt
sp006-001311_GB_04-21	tatrApi vANmanasAByAm vihitAnuzWAnapakze kilbizaprAptivacanam virudDam Apadyeta
sp006-001312_GB_04-21	pratizidDasevApakzeऽpi BUtArTAnuvAdamAtram anarTakam syAt
sp006-001313_GB_04-21	yadA tu SarIrasTitimAtraprayojanam SArIram karma aBipretam Bavet
sp006-001314_GB_04-21	tadA dfzwAdfzwaprayojanam karma viDipratizeDagamyam SarIravANmanasanirvartyam anyadakurvan
sp006-001315_GB_04-21	tEH eva SarIrAdiBiH SarIrasTitimAtraprayojanam kevalaSabdaprayogAt aham karomi iti
sp006-001316_GB_04-21	aBimAnavarjitaH SarIrAdicezwAmAtram lokadfzwyA kurvan na Apnoti kilbizam
sp006-001317_GB_04-21	evamBUtasya pApaSabdavAcyakilbizaprAptyasamBavAt kilbizam saMsAram na Apnoti
sp006-001318_GB_04-21	jYAnAgnidagDasarvakarmatvAt apratibanDena mucyate eva iti pUrvoktasamyagdarSanaPalAnuvAda eva ezaH
sp006-001319_GB_04-21	evam SArIram kevalam karma iti asya arTa parigrahe niravadyam Bavati
sp006-001320_GB_04-22	yAcanAdinA SarIrasTitO kartavyatAyAm prAptAyAm
sp006-001321_GB_04-22	boDAyana smftiH ekaviMSati azwa dvAdaSa
sp006-001322_GB_04-22	ityAdinA vacanena anujYAtam yateH SarIrasTitihetoH annAdeH prAptidvAram Avizkurvan Aha
sp006-001323_GB_04-22	yadfcCAlABasantuzwaH aprArTitopanato lABo yadfcCAlABaH tena santuzwaH saYjAtAlampratyayaH
sp006-001324_GB_04-22	dvandvAtIto dvandvaH SItozRAdiBiH hanyamAnaH api avizaRRacitto dvandvAtIta ucyate
sp006-001325_GB_04-22	vimatsaro vigatamatsaro nirvErabuddiH samaH tulyo yadfcCAlABasya sidDO asidDO ca
sp006-001326_GB_04-22	ya evamBUto yatiH annAdeH SarIrasTitihetoH lABAlABayoH samo harzavizAdavarjitaH
sp006-001327_GB_04-22	karmAdO akarmAdidarSI yaTABUtAtmadarSananizWaH SarIrasTitimAtraprayojane BikzAwanAdikarmaRi
sp006-001328_GB_04-22	SarIrAdinirvartye na eva kiYcit karomi aham
sp006-001329_GB_04-22	guRA guRezu vartante iti evam sadA samparicakzARa AtmanaH kartftvABAvam paSyan
sp006-001330_GB_04-22	na eva kiYcit BikzAwanAdikam karma karoti
sp006-001331_GB_04-22	lokavyavahArasAmAnyadarSanena tu lOkikEH Aropitakartftve BikzAwanAdO karmaRi kartA Bavati
sp006-001332_GB_04-22	svAnuBavena tu SAstrapramARAdijanitena akartA eva
sp006-001333_GB_04-22	sa evam parADyAropitakartftvaH SarIrasTitimAtraprayojanam BikzAwanAdikam karma kftvA api na nibaDyate
sp006-001334_GB_04-22	banDahetoH karmaRaH sahetukasya jYAnAgninA dagDatvAt iti uktAnuvAda eva ezaH
sp006-001335_GB_04-23	iti anena Slokena yaH prArabDakarmA san yadA nizkriyabrahmAtmadarSanasampannaH syAt
sp006-001336_GB_04-23	tadA tasya AtmanaH kartfkarmaprayojanABAvadarSinaH karmaparityAge prApte kutaScit nimittAt tadasamBave sati
sp006-001337_GB_04-23	pUrvavat tasmin karmaRi aBipravfttaH api
sp006-001338_GB_04-23	na eva kiYcit karoti sa iti karmABAvaH pradarSitaH
sp006-001339_GB_04-23	yasya evam karmABAvo darSitaH tasya eva
sp006-001340_GB_04-23	gatasaNgasya sarvatonivfttAsakteH muktasya nivfttaDarmADarmAdibanDanasya
sp006-001341_GB_04-23	jYAnAvasTitacetaso jYAne eva avasTitam ceto yasya saH ayam jYAnAvasTitacetAH tasya
sp006-001342_GB_04-23	yajYAya yajYanirvfttyarTam Acarato nivartayataH karma samagram sahAgreRa Palena vartate
sp006-001343_GB_04-23	iti samagram karma tat samagram pravilIyate vinaSyati ityarTaH
sp006-001344_GB_04-24	brahma arpaRam yena kAraRena brahmavit haviH agnO arpayati tat brahma eva iti paSyati
sp006-001345_GB_04-24	tasya AtmavyatirekeRa aBAvam paSyati yaTA SuktikAyAm rajatABAvam paSyati
sp006-001346_GB_04-24	taducyate brahma eva arpaRam iti
sp006-001347_GB_04-24	yaTA yadrajatam tat SuktikA eva iti
sp006-001348_GB_04-24	brahma arpaRam iti asamaste pade
sp006-001349_GB_04-24	yat arpaRabudDyA gfhyate loke tat asya brahmavido brahma eva ityarTaH
sp006-001350_GB_04-24	brahma haviH taTA yat havirbudDyA gfhyamARam tat brahma eva asya
sp006-001351_GB_04-24	taTA brahmAgnO iti samastam padam
sp006-001352_GB_04-24	agniH api brahma eva yatra hUyate brahmaRA kartrA brahma eva kartA ityarTaH
sp006-001353_GB_04-24	yat tena hutam havanakriyA tat brahma eva
sp006-001354_GB_04-24	Palam tadapi brahma eva
sp006-001355_GB_04-24	brahma eva karma brahmakarma tasmin samADiH
sp006-001356_GB_04-24	yasya sa brahmakarmasamADiH tena brahmakarmasamADinA brahma eva gantavyam
sp006-001357_GB_04-24	evam lokasaNgraham cikIrzURApi kriyamARam karma paramArTataH akarma
sp006-001358_GB_04-24	brahmabudDyupamfditatvAt
sp006-001359_GB_04-24	evam sati nivfttakarmaRaH api sarvakarmasannyAsinaH samyagdarSanastutyarTam yajYatvasampAdanam jYAnasya sutarAm upapadyate
sp006-001360_GB_04-24	yat arpaRAdi aDiyajYe prasidDam tat asya aDyAtmam brahma eva paramArTadarSina iti
sp006-001361_GB_04-24	anyaTA sarvasya brahmatve arpaRAdInAm eva viSezato brahmatvABiDAnam anarTakam syAt
sp006-001362_GB_04-24	tasmAt brahma eva idam sarvam iti aBijAnato viduzaH sarvakarmABAvaH
sp006-001363_GB_04-24	kArakabudDyaBAvAcca
sp006-001364_GB_04-24	na hi kArakabudDirahitam yajYAKyam karma dfzwam
sp006-001365_GB_04-24	sarvameva agnihotrAdikam karma SabdasamarpitadevatAviSezasampradAnAdikArakabudDimat kartraBimAnaPalABisanDimacca dfzwam
sp006-001366_GB_04-24	na upamfditakriyAkArakaPalaBedabudDimat kartftvABimAnaPalABisanDirahitam vA
sp006-001367_GB_04-24	idam tu brahmabudDyupamfditArpaRAdikArakakriyAPalaBedabudDi karma
sp006-001368_GB_04-24	ataH akarma eva tat
sp006-001369_GB_04-24	taTA ca darSitam
sp006-001370_GB_04-24	ityAdiBiH
sp006-001371_GB_04-24	taTA ca darSayan tatra tatra kriyAkArakaPalaBedabudDyupamardam karoti
sp006-001372_GB_04-24	dfzwA ca kAmyAgnihotrAdO kAmopamardena kAmyAgnihotrAdihAniH
sp006-001373_GB_04-24	taTA matipUrvakAmatipUrvakAdInAm karmaRAm kAryaviSezasya AramBakatvam dfzwam
sp006-001374_GB_04-24	taTA ihApi brahmabudDyupamfditArpaRAdikArakakriyAPalaBedabudDeH bAhyacezwAmAtreRa karmApi viduzaH akarma sampadyate
sp006-001375_GB_04-24	ata uktam samagram pravilIyate iti
sp006-001376_GB_04-24	atra kecidAhuH yadbrahma tadarpaRAdIni
sp006-001377_GB_04-24	brahma eva kila arpaRAdinA paYcaviDena kArakAtmanA vyavasTitam sat tad eva karma karoti
sp006-001378_GB_04-24	tatra na arpaRAdibudDiH nivartyate kim tu arpaRAdizu brahmabudDiH ADIyate
sp006-001379_GB_04-24	yaTA pratimAdO vizRvAdibudDiH yaTA vA nAmAdO brahmabudDiH iti
sp006-001380_GB_04-24	satyam evamapi syAt yadi jYAnayajYastutyarTam prakaraRam na syAt
