sp004-000001_KS_11	aByarTyeti
sp004-000719_KS_12	hi yataH DAmaDAmni tejorASO kasya manaH cetaH na kzuByati kzoBam prApnoti
sp004-000720_KS_12	api tu sarvasyApi ityarTaH
sp004-000721_KS_12	vikasvareti
sp004-000722_KS_12	svargapatiH mahendraH
sp004-000723_KS_12	vikasvarARAm praPullAnAm amBojAnAm kamalAnAm vanasya SrIriva SrIH
sp004-000724_KS_12	SoBA yasya taTABUtena dfSAm netrARAm sahasreRa tam maheSvaram nirIkzamARaH vilokamAnaH san
sp004-000725_KS_12	romRAm AliBiH samUhEH nimittEH puzpARAm utkareRa samUhena AkIrRaH
sp004-000726_KS_12	AsamantAt vyAptaH AmraSAKI Amravfkza iva baBAse SuSuBe
sp004-000727_KS_12	upamAlaNkAraH
sp004-000728_KS_12	dfzwveti
sp004-000729_KS_12	dfSAm sahasreRa maheSam Sivam dfzwvA mahendraH indraH atitarAm atiSayam kftArTaH kftakftyaH aBUt
sp004-000730_KS_12	aTaH anantaram tatsarvANgajAtam sarvezu aNgezu BUtam virUpam romAYcajanitavErUpyam
sp004-000731_KS_12	priyAyAH SacyAH kopakaram kroDaviDAyIva viveda jajYe
sp004-000732_KS_12	sapatnIsambanDa janitatva SaNkAkulatvAt iti BAvaH
sp004-000733_KS_12	tata iti
sp004-000734_KS_12	tataH anantaram
sp004-000735_KS_12	purandaraH indraH kanakAdreH sumeroH sAra iva sAraH vIryam yasya tam
sp004-000736_KS_12	mahAbalIyAMsam ityarTaH
sp004-000737_KS_12	ata eva DftAni astrARi SastrARi ca yena taTA maheSvarasya pituH
sp004-000738_KS_12	upAntike samIpe vartamAnam tizWantam kumAram prekzya vilokya
sp004-000739_KS_12	SatroH tArakasya jaye ASAm manasA babanDa DftavAn
sp004-000740_KS_12	evamBUtaH ayam kumAraH macCatrUn jezyatyeva iti purandarasya pratItiH aBUt ityarTaH
sp004-000741_KS_12	SrIti
sp004-000742_KS_12	itIti
sp004-000743_KS_12	aTa nandI gaRaH purataH sarveByaH agragAmitayA indrADizWitakakzAm AraBya
sp004-000744_KS_12	maheSvarADiSritamandiraparyantam ahampUrvikayA
sp004-000745_KS_12	bahuviDagaRasuragaRAvfte maDyagatadeSe ahampUrvikAvalambena iti tAtparyArTaH
sp004-000746_KS_12	prasAdasya indrAgamanivedanAm udanDena anDakAriRA
sp004-000747_KS_12	dattapAritozikarUpasya pAtram yogyaH BavizRuH Bavitum icCuH san etya
sp004-000748_KS_12	antariti SezaH
sp004-000749_KS_12	taTA kakzAm dvAramaBi sammuKam hemavetram sOvarRayazwikAm niDAya saMsTApya
sp004-000750_KS_12	iyam vetraDAriRaH rItiH varRitA
sp004-000751_KS_12	prabadDAYjaliH san smarArAtim maheSvaram
sp004-000752_KS_12	Bo SrIyuktanIlakaRWa sapArvatIka maheSvara
sp004-000753_KS_12	dyupatiH indraH tvayi Bavati praRAmAvasaram praRatisamayam pratIcCan
sp004-000754_KS_12	pratIkzamARaH puraH agre asti vidyate
sp004-000755_KS_12	maheSvaram praRinaMsuH san bahiH Aste ityarTaH
sp004-000756_KS_12	ataH he trinetra Bo maheSa
sp004-000757_KS_12	atra purovartini sahasranetre indre dfzwyA darSanena prasAdaguRaH prasAdaviDAnAnukUlo Bava
sp004-000758_KS_12	AtmIyadarSanarUpam prasAdam tadupari kuru ityarTaH
sp004-000759_KS_12	ityevamBUtAm vAcam uvAca uktavAn
sp004-000760_KS_12	pureti
sp004-000761_KS_12	tataH anantaram nivedanAnantaram trilokasevyaH trElokyapUjanIyaH
sp004-000762_KS_12	tripurAsurasya ariH SatruH maheSvaraH surasaNGena devasamUhena
sp004-000763_KS_12	sevyam pUjyam surendram indram purA praTamam prItyA nimittena suDAsAram
sp004-000764_KS_12	amftatulyam ityarTaH
sp004-000765_KS_12	niDArayati nitarAm DArAm DArArUpam karoti
sp004-000766_KS_12	tatkaroti iti karotyarTe Ric
sp004-000767_KS_12	suDAsAraDArAm varzate ityarTaH
sp004-000768_KS_12	evamBUteneva vilokanena darSanena anujagrAha
sp004-000769_KS_12	tadupari anugraham akArzIt ityarTaH
sp004-000770_KS_12	svAminAm prasAdapUrvakam avalokanameva BftyAnAm upari mahAn anugrahaH iti BAvaH
sp004-000771_KS_12	kirIweti
sp004-000772_KS_12	svarge eva ekam kevalam vandyaH namaskaraRIyaH devaH indraH
sp004-000773_KS_12	Anamitena ata eva kirIwakowyAH cyutaH aDaHpatitaH
sp004-000774_KS_12	pArijAtapuzpARAm mandArakusumAnAm utkaraH samUhaH yasmAt
sp004-000775_KS_12	taTABUtena mUrDnA SirasA jagatAm ekameva vandyam namaskaraRIyam
sp004-000776_KS_12	etatsadfSaH jagatAm vandyatayA anyaH na vidyate ityarTaH
sp004-000777_KS_12	tam devadevam maheSvaram praRanAma namaScakre
sp004-000778_KS_12	aneketi
sp004-000779_KS_12	saH tridaSeSvaraH indraH BaktyA
sp004-000780_KS_12	BaktipUrvakam ityarTaH
sp004-000781_KS_12	aneke trayaH ye lokAH tezAm eka eva namaskriyAyAm arhaH
sp004-000782_KS_12	ucitaH taToktam tam maheSvaram namaskftya upapadaviBakteH kArakaviBaktiH balIyasI ityukteH dvitIyA
sp004-000783_KS_12	paramam atyantam pavitram viSadam kftArTatAyAH kftakftyatvasya pAtram sTAnam baBUva
sp004-000784_KS_12	mahendraH maheSvaram praRamya kftakftyaH aBUt ityarTaH
sp004-000785_KS_12	suBaktIti
sp004-000786_KS_12	tataH anantaram
sp004-000787_KS_12	suBaktim Bajanti tezAm
sp004-000788_KS_12	BajoRviH iti RviH
sp004-000789_KS_12	surARAm indrAtiriktAnAm surARAm gaRAH
sp004-000790_KS_12	gaRAnAm pramaTapraBftInAm purataH agre
sp004-000791_KS_12	anena maryAdAtiriktakaraRasya durviDeyatvam uktam
sp004-000792_KS_12	pAdapIWasya caraRADArapIWaviSezasya prAntakzitiH samIpaBUmiH tAm aDi aDikftya
sp004-000793_KS_12	ADAraBUtAm kftvA ityarTaH
sp004-000794_KS_12	atra aDiSabdena aDikaraRam ADAraH
sp004-000795_KS_12	sa ca OpaSlezikaH
sp004-000796_KS_12	avyayAnAm AkftigaRatvAt aDiSabdaH atra aDikaraRaparyAyaH avyayam
sp004-000797_KS_12	anyaTA mAntattvam anvezaRIyam
sp004-000798_KS_12	namratarEH SiroBiH purArim maheSvaram kramataH krameRa praRemuH namaScakruH
sp004-000799_KS_12	gaReti
sp004-000800_KS_12	surendraH
sp004-000801_KS_12	gaRena kenacit upanIte
sp004-000802_KS_12	praBuSAsanena iti SezaH
sp004-000803_KS_12	taTA hemamaye suvarRamaye SuBAsane praBuRA hareRa upadizwaH AroQum AjYaptaH san
sp004-000804_KS_12	purastAt praBoH agrata eva upaviSya sTitvA prakfzwAm mudam harzam prApa
sp004-000805_KS_12	taTA hi
sp004-000806_KS_12	praBuprasAdaH praBukartfkaH anugrahaH kasya anugasya mude prItyE na Bavati
sp004-000807_KS_12	api tu sarvasyApi iti kAkvA vyAKyeyam
sp004-000808_KS_12	krameReti
sp004-000809_KS_12	ISvareRa maheSvareRa krameRa anukramataH anyeऽpi ca samagrAH surAH
sp004-000810_KS_12	sasmitam saprasAdavyaYjakahAsam yaTA taTA vilokanena samBAvitAH AdftAH
sp004-000811_KS_12	ata eva tozaviSezam santozADikyam AptAH prAptAH santaH
sp004-000812_KS_12	tasya praBoH dfggocare dfzwivizaye upAviSan tasTuH
sp004-000813_KS_12	yaTA yugapadeva BagavAn sarvAn avalokayet taTEva sarve tasTuH ityarTaH
sp004-000814_KS_12	aTeti
sp004-000815_KS_12	aTa devaH haraH balavErI indraH saH muKyaH yezu taTABUtAn gIrvARavargAn devasamUhAn
sp004-000816_KS_12	asureRa tArakeRa aBiBUtAn jitAn ata eva DvastaSriyaH
sp004-000817_KS_12	nazwalakzmIkAn ata eva SrAntam Kinnam muKam yezAm
sp004-000818_KS_12	nazwamuKatejasaH ityarTaH
sp004-000819_KS_12	ata eva kazwanivfttyarTam kftaH aYjaliH yEH tAn avekzya
sp004-000820_KS_12	dfzwvA karuRayA Ardram snigDam cetaH yasya taTA BUtaH san AhA uvAca
sp004-000821_KS_12	aho iti
sp004-000822_KS_12	ahoSabdaH atra heSabdaparyAyaH
sp004-000823_KS_12	he divOkasaH devAH
sp004-000824_KS_12	anantaparAkramARAm ApAravikramARAm
sp004-000825_KS_12	taTA vIrAn vfRate aBilazanti
sp004-000826_KS_12	vIrahastajigamizASAlIni ityarTaH
sp004-000827_KS_12	evam BUtAni AyuDAni yezAm taTABUtAnAm vaH yuzmAkam muKAni himasya
sp004-000828_KS_12	yat udam udakam tasya yo binduH tena glapitasya kzIRaharzIkftasya
sp004-000829_KS_12	udakasya udaH saYjYAyAm ityudAdeSaH
sp004-000830_KS_12	taTABUtasya padmasya dEnyam dInatAm kim kutaH daDate biBrati
sp004-000831_KS_12	yUyam kutaH kAraRataH
sp004-000832_KS_12	BrazwalakzmIkAH iti praSnASayaH
sp004-000833_KS_12	svargOkasaH iti
sp004-000834_KS_12	he svargOkasaH svapuRyarASO svargaprAptinimittapuRyavraje sutarAm mahattameऽpi
sp004-000835_KS_12	akzayeऽpi ityarTaH
sp004-000836_KS_12	kim kutaH svarguparicyutAH svasTAnaBrazwAH
sp004-000837_KS_12	BraMSe kim kAraRam iti praSnASayaH
sp004-000838_KS_12	aTa ca ASvAsayati
sp004-000839_KS_12	ete yUyam ciroQam bahukAlam UQam nijADipatyasya
sp004-000840_KS_12	svIyasvAmitAyAH cihnam CatracAmarAdi tu na parityajaDvam mA parityajata
sp004-000841_KS_12	viDyarTe low
sp004-000842_KS_12	tyajaDvam ityAtmanepadam cintyam
sp004-000843_KS_12	divOkasa iti
sp004-000844_KS_12	he divOkasaH mahAntaH ata eva mAnaBftaH manasvinaH yUyam kutaH kAraRataH kAraRAt
sp004-000845_KS_12	devagfham svargam vihAya parityajya manuzyasADAraRatAm mAnavasAmyam avAptAH santaH mahItale caraDvam
sp004-000846_KS_12	sampraSne low
sp004-000847_KS_12	atrApi Atmanepadam cintyam
sp004-000848_KS_12	ananyeti
sp004-000849_KS_12	he devAH anyasADAraRena anyadIyadeSatulyatvena sidDam sADitam
sp004-000850_KS_12	racitam ityarTaH
sp004-000851_KS_12	tanna BavatIti taToktam ata eva nikAmam bahu ramyam manoharam uccEH mahat
sp004-000852_KS_12	tat prasidDam dEvatam DAma svargam akasmAt sahasEva kasmAdDetoH BavadByaH apacArAt
sp004-000853_KS_12	pApAdDetoH cirArjitam bahukAlena sampAditam puRyamiva niragAt nirgatam
sp004-000854_KS_12	tuhmAmpAsUna sTala kasem jAtem jahAlem iti lokoktirItiH anusanDeyA
sp004-000855_KS_12	divOkasa iti
sp004-000856_KS_12	he divOkasaH he AryAH taTAviDam tAdfSam ahAryam anirvacanIyam vaH yuzmAkam
sp004-000857_KS_12	hfdayasya manasaH DEryam kasmAdDetoH BIzmeRa yaH atitApAdiH santApAdiH
sp004-000858_KS_12	tasya vaSAt hetoH agADasya jalASayasya amBaH iva
sp004-000859_KS_12	agAt anaSat
sp004-000860_KS_12	anyatra Suzyati ityarTaH
sp004-000861_KS_12	DEryam na heyam iti BAvaH
sp004-000862_KS_12	surA iti
sp004-000863_KS_12	he surAH tat tasmAt AturARAm ata eva samam saha samIyuzAm AgatAnAm
sp004-000864_KS_12	taTA surADISapuraH sarARAm indrapramuKAnAm vaH yuzmAkam lokatrayajitvarAt
sp004-000865_KS_12	trElokyajetuH tArakataH tArakasaYjYakAt mahAsurAt virudDam vEram kim
sp004-000866_KS_12	saH BavatAm vErI kim iti praSnaH
sp004-000867_KS_12	brUta vadata
sp004-000868_KS_12	parABavamiti
sp004-000869_KS_12	Bo devAH
sp004-000870_KS_12	tasya mahAsurasya tArakasya tatkartfkam
sp004-000871_KS_12	kartfkarmaRoH kfti iti kartari zazWI
sp004-000872_KS_12	parABavam parAjayam
sp004-000873_KS_12	arTAt yOzmAkIRam ityarTaH
sp004-000874_KS_12	nizedDum nivArayitum ahameka eva alamBavizRuH
sp004-000875_KS_12	samarTaH asmi ityarTaH
sp004-000876_KS_12	taTA hi
sp004-000877_KS_12	vanAnAm sambanDinIm dAvAnalasya dAvAnalakartfkaH yaH plozaH dAhaH sa eva vipattiH
sp004-000878_KS_12	tAm mahAmbudAt mahataH meGAt sa eva vipattiH tAm mahAmbudAt mahataH meGAt anyaH aparaH
sp004-000879_KS_12	anyArAt ityAdinA paYcamI
sp004-000880_KS_12	harate kim
sp004-000881_KS_12	api tu nEva iti kAkvA vyAKyeyam
sp004-000882_KS_12	itIti
sp004-000883_KS_12	manmaTamardanena maheSvareRa iti itTam Irite ukte sati
sp004-000884_KS_12	surendrapramuKAH surAH devAH ASvasantaH viSvasantaH santaH
sp004-000885_KS_12	ujjIvantaH iti yAvat
sp004-000886_KS_12	sAndrARi saGanAni yAni pramodASrURi
sp004-000887_KS_12	AnandabAzpARi tEH taraNgitezu taraNgayuktezu muKezu satvaram SIGram
sp004-000888_KS_12	maheSvaravAkyasya AtyAnandahetutvAt SEGryam
sp004-000889_KS_12	Sriyam SoBAm daDuH baBruH
sp004-000890_KS_12	tata iti
sp004-000891_KS_12	tataH anantaram girISasya harasya girAm vAcAm virAme sati
sp004-000892_KS_12	labDe prApte avasare samaye surendraH indraH jagAda uvAca
sp004-000893_KS_12	taTA hi
sp004-000894_KS_12	avasare kAle prayuktAH preritAH
sp004-000895_KS_12	uktAH iti yAvat
sp004-000896_KS_12	vAcaH giraH Palena AvizwaH pUrRaH yaH mahodayaH mahardDiH tasmE tadarTam Bavanti Druvam
sp004-000897_KS_12	kriyAgrahaRAt sampradAnatvam
sp004-000898_KS_12	tAdarTye vA caturTI
sp004-000899_KS_12	jYAneti
sp004-000900_KS_12	he sarvajYa
sp004-000901_KS_12	tamopahena AjYAnahantrA avinaSvareRa akzayeRa asKalitapraBeRa asKalitakAntinA
sp004-000902_KS_12	anena viSezaRena amandakAntitvam hi bodDavyam
sp004-000903_KS_12	ataH na pOnaruktyam
sp004-000904_KS_12	taTABUtena jYAnapradIpena AtmajYAnarUpadIpakena
sp004-000905_KS_12	BUtam vyatItam Bavat vartamAnam BAvi Bavizyacca yatkiYcit tatsarvameva tava gocaram jYAnavizayam
sp004-000906_KS_12	astItyarTaH
sp004-000907_KS_12	AtmajYAnena trEkAlikasyApi karmAdikasya jYAtA asi iti BAvaH
sp004-000908_KS_12	durvAreti
sp004-000909_KS_12	he Bagavan durvAraH durDarzaRIyaH yaH doH udyamaH BujadaRqabalam
sp004-000910_KS_12	tena kAraRena duHsahena ata eva amarARAm devAnAm GasmareRa vaDakena
sp004-000911_KS_12	Gasmaro vaDakeऽpi ca iti medinI
sp004-000912_KS_12	sfGasyadaH kmarac iti kmaracpratyayaH
sp004-000913_KS_12	ISatAm svargADISatAm AptavatA tArakeRa amI vayam divaH svargasakASAt
sp004-000914_KS_12	yat nirastAH nizkrAmitAH tanna vetsi kim
sp004-000915_KS_12	apitu vetsyeva
sp004-000916_KS_12	vada
sp004-000917_KS_12	vAkyArTaH karma
sp004-000918_KS_12	viDeriti
sp004-000919_KS_12	he Bagavan saH tArakaH viDeH brahmaRaH sakASAt
sp004-000920_KS_12	amoGam saPalam varaprasAdam aBilAzAnugraham
sp004-000921_KS_12	varoऽBilazite vare iti medinI
sp004-000922_KS_12	AsAdya prApya sadyaH sahasEva dordaRqAByAm BujadaRqAByAm caRqaH pracaRqaH
sp004-000923_KS_12	durjaya iti yAvat
sp004-000924_KS_12	ata eva trijagataH jigIzuH jetA san
sp004-000925_KS_12	ahakapramuKyAn aham pramuKaH jyezWaH yezu taTABUtAn aSezAn sarvAn surAn
sp004-000926_KS_12	tfRAya tfRam manute manyate
sp004-000927_KS_12	manyakarmaRyanAdare viBAzAprARizu iti caturTI
sp004-000928_KS_12	savikaraRagrahaRAt tanotiyoge cintyA
sp004-000929_KS_12	stutyeti
sp004-000930_KS_12	he Bagavan purA pUrvam asmABiH stutyA SlAGayA upAsitena
sp004-000931_KS_12	anukUlitena pitAmahena brahmaRA naH asmAn he devAH
sp004-000932_KS_12	saMyati saNgare smarArAtisutaH SANkariH senApatiH senAnIH san
sp004-000933_KS_12	etam dEtyam puraH agre nihanti
sp004-000934_KS_12	nihanizyati ityarTaH
sp004-000935_KS_12	yAvatpurAnipAtayoH law iti nirUpitam kaTitam
sp004-000936_KS_12	aho iti
sp004-000937_KS_12	aho Bagavan tataH pitAmahanirUpaRAdanantaram
sp004-000938_KS_12	adya yAvat adyaparyantam amI tridivOkasaH devAH suduHsahAm
sp004-000939_KS_12	IzadduHsuzu iti Kal
sp004-000940_KS_12	tasya tatkartfkAm parABavena nimittena Artim pIqAm hfdante manomaDye
sp004-000941_KS_12	Salyam tadvat duHsaham AjYAyAH anuSAsanasya BAram vahata
sp004-000942_KS_12	ityAdikasya niveSam sTApanam vizehire asahanta
sp004-000943_KS_12	hanteti duHKe
sp004-000944_KS_12	nidAGeti
sp004-000945_KS_12	he Bagavan tvam svayameva nidAGe grIzme yadDAma sOram tejaH tena yaH klamaH
sp004-000946_KS_12	KedaH dAhalakzaRaH tena viklavAnAm malinAnAm OzaDInAm sutarAm nandanam AnandakAriRam
sp004-000947_KS_12	navInam AzAQIyam amBodamiva naH asmAkam nandanam AnandakAriRam
sp004-000948_KS_12	taTA senAnyam senADipatim etam purovartinam AtmanaH nandanam putram
sp004-000949_KS_12	nandyAditvat lyuH
sp004-000950_KS_12	yuvoH ityanAdeSaH
sp004-000951_KS_12	AdiSa anuSADi
sp004-000952_KS_12	prArTanAyAm low
sp004-000953_KS_12	asmatkAryam kartumiti SezaH
sp004-000954_KS_12	trElokyeti
sp004-000955_KS_12	yaH BavannandanaH trElokyasya lakzmyAH hfdaye ekam advitIyam Salyam tadvat durDarzam
sp004-000956_KS_12	tam mahAsuram tArakam yuDi saNgare ezAm asmAkam purataH agre Bavansan
sp004-000957_KS_12	agreBUtvA ityarTaH
sp004-000958_KS_12	samUlam sakuwumbaparivAram utKAya nihatya duHKApahAram duHKavinASam viDatte kurute
sp004-000959_KS_12	tvannandanam vinA asmAkam duHKasamUhaH kena nivAryate iti BAvaH
sp004-000960_KS_12	mahAhava iti
sp004-000961_KS_12	he nATa mahAhave mahati saNgrAme asya purovartinaH tava sUnoH putrasya SitEH tIkzREH
sp004-000962_KS_12	SastrEH karavAlAdiBiH kfttaSiroDarARAm kartitagrIvARAm mahAsurARAm dEtyAnAm tArakapakzASrayiRAm
sp004-000963_KS_12	ramaRInAm vilApEH vEDavyaprayuktapralApEH etAH daSa diSaH muKarIBavantu vAvadUkA Bavantu
sp004-000964_KS_12	muKaro vAvadUkeऽpi iti medinI
sp004-000965_KS_12	svamuKakuYjeByaH raH iti rapratyayaH
sp004-000966_KS_12	maheti
sp004-000967_KS_12	he Bagavan tatra asure tArake tava Atmajena putreRa mahatI yA raRakzoRiH
sp004-000968_KS_12	saNgrAmaBUmiH tatra ye paSavaH krozwryAdayaH tezAm upahArIkfte upadIkfte sati
sp004-000969_KS_12	upahAraScopadAyAm iti medinI
sp004-000970_KS_12	eza suralokaH bandiH banDanAgAram tatra sTitAnAm sudfSAm
sp004-000971_KS_12	svaramaRInAm veRIpramokzam veRImocanam karotu
sp004-000972_KS_12	itTamiti
sp004-000973_KS_12	surendre mahendre itTam vadati sati surAriH tArakaH tasya duScezwitam
sp004-000974_KS_12	aparADajanakaH cezwAviSezaH tena hetunA jAtarozaH utpanna amarzaH
sp004-000975_KS_12	smarAriH BUtAnAm aDipatiH haraH
sp004-000976_KS_12	tezu tridaSezu kftAnukampaH vihitadayaH san
sp004-000977_KS_12	kfpA dayAnukampA syAt ityamaraH
sp004-000978_KS_12	BUyopi punarapi baBAze uvAca
sp004-000979_KS_12	aho iti
sp004-000980_KS_12	aho aho iti samboDane
sp004-000981_KS_12	samBrame dviruktiH
sp004-000982_KS_12	he devagaRAH surendramuKyAH purandarapraDAnAH ete yUyam mama vacanam SfRudDvam SfRuta
sp004-000983_KS_12	tadeva sArDadvayyA Aha
sp004-000984_KS_12	eza SaNkaraH devaH sutAdyEH putrapraBftiBiH
sp004-000985_KS_12	putrapOtrAdiBiH ityarTaH
sp004-000986_KS_12	BavatAm yuzmAkam kAryAya kAryam kartum ityarTaH
sp004-000987_KS_12	kriyArTa ityAdinA caturTI
sp004-000988_KS_12	sajjaH sidDaH vicezwate
sp004-000989_KS_12	vartate ityarTaH
sp004-000990_KS_12	mama putrapOtrajanakatAyAmapi BavatkAryameva bIjam iti BAvaH
sp004-000991_KS_12	pureti
sp004-000992_KS_12	he devAH purA pUrvam niyatAtmanApi yoginApi mayA girIndraputryA ayam pratigrahaH AdAnam
sp004-000993_KS_12	pariRayanam ityarTaH
sp004-000994_KS_12	yadakAri kftaH
sp004-000995_KS_12	tatra eza hetuH nimittam
sp004-000996_KS_12	Kalu niScitam
sp004-000997_KS_12	yat yasmAt eza SatruH tArakasaYjYakaH tadBavena pArvatIjanmanA vIreRa vaDyate anyate
sp004-000998_KS_12	ataH tadBavArTam pArvatIparigrahaH kftaH iti BAvaH
sp004-000999_KS_12	ataH aham BavatAm upAlamBapAtram na iti SlokatAtparyam
sp004-001000_KS_12	atreti
sp004-001001_KS_12	tat tasmAt amI BavantaH atra BavatkArye upapannam yuktam
sp004-001002_KS_12	yogyam ityarTaH
sp004-001003_KS_12	taTABUtam enam kumAram pftanApatitve sEnApatye niyujya niyuktam kftvA Satrum tArakam niGnantu
sp004-001004_KS_12	etatsAhAyyena BavantaH tArakam mArayantu iti BAvaH
sp004-001005_KS_12	ataH eza indraH surendraH surEH saha BUyoऽpi punarapi suralokam svargam Bunaktu pAlayatu
sp004-001006_KS_12	ASizi low
sp004-001007_KS_12	itIti
sp004-001008_KS_12	SaNkaraH SaNkarasaYjYakaH BagavAn iti pUrvoktam udIrya uccArya
sp004-001009_KS_12	GoraH BImaH Goram BImam BayAnakam ityamaraH
sp004-001010_KS_12	yaH saNgaraH saNgrAmaH sa eva mahetsavaH mahAn AnandaH
sp004-001011_KS_12	tatra utsukam utkaRWitam ata eva nandanam Anandakaram
sp004-001012_KS_12	nandigrahi iti lyuH
sp004-001013_KS_12	tam Atmajam kumAram he putra saMyati saNgrAme devAnAm indrAdInAm vidvizam viSezeRa dvezwAram tArakam jahi
sp004-001014_KS_12	hanterjaH iti hanaH jAdeSaH
sp004-001015_KS_12	iti nijagAda uktavAn hi
sp004-001016_KS_12	raTodDatAvfttam
sp004-001017_KS_12	SAsanamiti
sp004-001018_KS_12	saH kumAraH kArttikeyaH paSupateH pituH harasya SAsanam AjYAm
sp004-001019_KS_12	avanatena namrIkftena SirasA svIcakAra aNgIcakAra ityarTaH
sp004-001020_KS_12	kfBvastiyoge iti cviH
sp004-001021_KS_12	asya cvO iti ikAraH
sp004-001022_KS_12	cvO ca iti dIrGaH
sp004-001023_KS_12	taTAhi
sp004-001024_KS_12	sarvaTEva sarvaprakAreREva pitfBaktO janakaSradDAyAm ratAnAm saktAnAm Kalu ezaH eva paramo DarmaH
sp004-001025_KS_12	yat AjYAm Jawityeva svIkfrvantIti
sp004-001026_KS_12	svAgatA vfttam
sp004-001027_KS_12	asureti
sp004-001028_KS_12	vibuDeSvare sakaladevasvAmini paSupatO hare
sp004-001029_KS_12	asurasya tArakasya yaH yudDaviDiH saNgrAmakaraRam tatra
sp004-001030_KS_12	uktam iti SezaH
sp004-001031_KS_12	tam Atmajam putram iti vadati sati
sp004-001032_KS_12	girijayA pArvatyA mumude prasede
sp004-001033_KS_12	taTA hi Kalu niScaye
sp004-001034_KS_12	sutavikrame putraparAkrame sati kA vIrasUH vIraprasUtiH strI na nandati
sp004-001035_KS_12	api tu sarvApi nandati ityarTaH
sp004-001036_KS_12	putravizaye parAkramasattEva paramam utkAraRam vIrasUnAm Bavati iti BAvaH
sp004-001037_KS_12	drutavilambitam vfttam drutavilambitamAha naBO BarO iti lakzaRAt
sp004-001038_KS_12	sureti
sp004-001039_KS_12	surARAm parivfQaH pariSAstA indraH
sp004-001040_KS_12	vfhU hiMsAyAm
sp004-001041_KS_12	kartari ktaH
sp004-001042_KS_12	prOQam atiSayam vIram parAkramaSAlinam balavAn yaH amarArAtiH tArakAsuraH tasya strIRAm
sp004-001043_KS_12	dfgaYjanasya dfzwikajjalasya BaYjanam BaYjakam
sp004-001044_KS_12	kartari lyuw
sp004-001045_KS_12	mftaBartfkatayA kajjalaDAraRasya anucitatvAt iti BAvaH
sp004-001046_KS_12	ata eva
sp004-001047_KS_12	jagadByaH aBayadam aBayadAtAram umApateH harasya
sp004-001048_KS_12	kumAram putram prApya sadyaH sahasA pramode prakfzwonmode paraH AsaktaH aBavat jAtaH
sp004-001049_KS_12	taTA hi
sp004-001050_KS_12	aBimate manoraTe
sp004-001051_KS_12	pUrRe sati mudA prItyA nimittena ko vA na mAdyati
sp004-001052_KS_12	api tu sarva eva unmatto Bavati ityarTaH
sp004-001053_KS_12	atra sAmAnyena viSezasamarTanarUpaH arTAntaranyAsaha alaNkAraH
sp004-001054_KS_12	idam hariRICandaH
sp004-001055_KS_12	rasayugahayErnsO mnO lo go yadA hariRI tadA iti lakzaRAt
sp004-001056_KS_12	iti SrIparvaRIkaropanAmaka SrIlakzmaRaBawwAtmaja satIgarBasamBava SrIsItArAmakaviviracitayA saYjIvinIsamAKyayA vyAKyayA sametaH
sp004-001057_KS_12	SrIkAlidAsasakftO kumArasamBave mahAkAvye kumArasEnApatyavarRanam nAma dvAdaSaH sargaH
sp004-001058_KS_15	senApatim iti
sp004-001059_KS_15	balasya balanAmakarAkzasasya SAtravaH Satrureva SAtravaH
sp004-001060_KS_15	prajYAditvAt svArTe aR
sp004-001061_KS_15	indraH
sp004-001062_KS_15	senApatim pftanADipam
sp004-001063_KS_15	anDakadvizaH harasya nandanam putram kArtikeyam
sp004-001064_KS_15	puraskftya agre kftvA sEnyEH saha yuDe yudDAya
sp004-001065_KS_15	yudDam kartumiti yAvat
sp004-001066_KS_15	kriyArTa ityAdinA caturTI
sp004-001067_KS_15	upEti AyAti
sp004-001068_KS_15	ityevamBUtA hfdayaprakampinI hfdayam vepayantI kiMvadantI janaSrutiH
sp004-001069_KS_15	kiMvadantI janaSrutiH ityamaraH
sp004-001070_KS_15	suradvizAm dEtyAnAm tArakanagaranivAsinAm puraH agre aBUt
sp004-001071_KS_15	sargesmin indravaMSa upajAtI vftte
sp004-001072_KS_15	camUpraBum iti
sp004-001073_KS_15	mahAsurAH tArakanagaranivAsinaH dEtyAH vijayaSriyA vijayalakzmyA Sritam sevitam
sp004-001074_KS_15	etena asya kAdAcitkoऽpi parABavaH na BavatIti Dvanitam
sp004-001075_KS_15	ata eva camUpraBum senADipam manmaTamardanasya Sivasya Atmajam
sp004-001076_KS_15	anena yadIyaH pitA sakalaBuvanajetuH makaraDvajasyApi plozitA
sp004-001077_KS_15	ataH asya kim vaktavyam
sp004-001078_KS_15	kAryam nidAnAdDi guRAn aDIte
sp004-001079_KS_15	pravartito dIpa iva pradIpAt ityAdinyAyena tArakeRApi ayam durjeyaH iti Dvanitam
sp004-001080_KS_15	tam kArtikeyam vijitvarIBiH jayaSIlABiH
sp004-001081_KS_15	jayateH iRnaSjisartiByaH kvarap iti kvarapi pare
sp004-001082_KS_15	hrasvasya piti iti tuki kfte wiqQARaY ityanena NIp
sp004-001083_KS_15	surARAm devAnAm pftanABiH senABiH saH Agatam AyAtam
sp004-001084_KS_15	SrutvA ciram bahukAlaparyantam citte manasi cukzuBire saYceluH
sp004-001085_KS_15	biByurityarTaH
sp004-001086_KS_15	kzuBa saYcalane kartari liw
sp004-001087_KS_15	atra vAcyApekzayA vyaNgyArTasya aDikacamatkftijanakatvAt DvaniH
sp004-001088_KS_15	sametyeti
