sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-001300_YS_29	sAmAnyAni tu atiSayEH saha pravartante
sp008-001301_YS_29	tasmAdasaNkaraH
sp008-001302_YS_29	yaTA rAgasyEva kvacit samudAcAraH iti na tadAnIm anyatrABAvaH
sp008-001303_YS_29	kintu kevalam sAmAnyena samanvAgataH ityasti tadA tatra tasya BAvaH taTA lakzaRasya iti
sp008-001304_YS_29	na DarmI tryaDvA
sp008-001305_YS_29	DarmAstu tryaDvAnaH
sp008-001306_YS_29	te lakzitA alakzitASca tAm tAm avasTAm prApnuvantaH anyatvena pratinirdiSyante avasTAntarato na dravyAntarataH yaTA ekA reKA SatasTAne Satam daSasTAne daSa ekam ca ekasTAne
sp008-001307_YS_29	yaTA ca ekatveऽpi strI mAtA ca ucyate duhitA ca svasA ca iti
sp008-001308_YS_30	avasTApariRAme kOwasTyaprasaNgadozaH kESciduktaH
sp008-001309_YS_30	kaTam aDvano vyApAreRa vyavahitatvAt
sp008-001310_YS_30	yadA DarmaH svavyApAram na karoti tadA anAgataH yadA karoti tadA vartamAnaH yadA kftvA nivfttaH tadA atItaH ityevam DarmaDarmiRoH lakzaRAnAm avasTAnAm ca kOwasTyam prApnotIti parEH dozaH ucyate
sp008-001311_YS_30	nAsO dozaH
sp008-001312_YS_30	kasmAt guRinityatveऽpi guRAnAm vimardavEcitryAt
sp008-001313_YS_30	yaTA saMsTAnam Adimat DarmamAtram SabdAdInAm guRAnAm vinASyavinASinAm evam liNgam Adimat DarmamAtram sattvAdInAm guRAnAm vinASyavinASinAm
sp008-001314_YS_30	tasmin vikArasaYjYA iti
sp008-001315_YS_30	tatra idam udAharaRam mfdDarmI piRqAkAraH anAgatam lakzaRam hitvA vartamAnalakzaRam pratipadyata iti lakzaRataH pariRamate
sp008-001316_YS_30	Gawo navapurARatAm pratilakzaRam anuBavan navasTApariRAmam pratipadyata iti
sp008-001317_YS_30	DarmiRoऽpi DarmAntaram avasTA DarmasyApi lakzaRAntaram avasTA ityeka eva dravyapariRAmo Bedena upadarSitaH iti
sp008-001318_YS_30	evam padArTAntarezvapi yojyamiti
sp008-001319_YS_30	ete DarmalakzaRAvasTApariRAmA DarmisvarUpam anatikrAntA ityeka eva pariRAmaH sarvAn amUn viSezAn aBiplavate
sp008-001320_YS_30	aTa koऽyam pariRAmaH
sp008-001321_YS_30	avasTitasya dravyasya pUrvaDarmanivfttO DarmAntarotpattiH pariRAmaH
sp008-001322_YS_30	tatra SAntoditAvyapadeSyaDarmAnupAtI DarmI
sp008-001323_YS_30	yogyatAvacCinnA DarmiRaH Saktireva DarmaH
sp008-001324_YS_30	sa ca PalaprasavaBedAnumitasadBAva ekasya anyoऽnyaSca paridfzwaH
sp008-001325_YS_30	tatra vartamAnaH svavyApAram anuBavan Darmo DarmAntareByaH SAnteByaSca avyapadeSeByaSca Bidyate
sp008-001326_YS_30	yadA tu sAmAnyena samanvAgato Bavati tadA DarmisvarUpamAtratvAt koऽsO kena Bidyate
sp008-001327_YS_30	tatra trayaH Kalu DarmiRo DarmAH SAntAH uditAH avyapadeSyASca iti
sp008-001328_YS_30	tatra SAntA ye kftvA vyApArAnuparatAH
sp008-001329_YS_30	savyApArA uditAH
sp008-001330_YS_30	te ca anAgatasya lakzaRasya samanantarAH
sp008-001331_YS_30	vartamAnasya anantarAH atItAH
sp008-001332_YS_30	kimarTam atItasya anantarAH na Bavanti vartamAnAH
sp008-001333_YS_30	pUrvapaScimatAyAH aBAvAt
sp008-001334_YS_30	yaTA anAgatavartamAnayoH pUrvapaScimatA nEvam atItasya
sp008-001335_YS_30	tasmAt na atItasya asti samanantaraH
sp008-001336_YS_30	tadanAgataH eva samanantaro Bavati vartamAnasya
sp008-001337_YS_30	aTa avyapadeSyAH ke sarvam sarvAtmakam iti
sp008-001338_YS_30	yaToktam jalaBUmyoH pAriRAmikam rasAdivESvarUpyam sTAvarezu dfzwam taTA sTAvarARAm jaNgamezu jaNgamAnAm sTAvarezu iti
sp008-001339_YS_30	evam jAtyanucCedena sarvam sarvAtmakam iti
sp008-001340_YS_30	deSakAlAkAranimittAsambanDAt na Kalu samAnakAlam AtmanAm aBivyaktiriti
sp008-001341_YS_30	ya etezu aBivyaktAnaBivyaktezu Darmezu anupAtI sAmAnyaviSezAtmA soऽnvayI DarmI
sp008-001342_YS_30	yasya tu DarmamAtramevedam niranvayam tasya BogABAvaH
sp008-001343_YS_30	kasmAt anyena vijYAnena kftasya karmaRaH anyatkaTam Boktftvena aDikriyeta
sp008-001344_YS_30	tatsmftyaBAvaSca nAnyadfzwasya smaraRam anyasyAstIti
sp008-001345_YS_30	vastupratyaBijYAnAcca sTitaH anvayI DarmI yaH DarmAnyaTAtvam aByupagataH pratyaBijYAyate
sp008-001346_YS_30	tasmAt nedam DarmamAtram niranvayam iti
sp008-001347_YS_30	kramAnyatvam pariRAmAnyatve hetuH
sp008-001348_YS_30	ekasya DarmiRaH eka eva pariRAmaH iti prasakte kramAnyatvam pariRAmAnyatve heturBavatIti
sp008-001349_YS_30	tadyaTA cUrRamft pIRqamft Gawamft kaRamfditi ca kramaH
sp008-001350_YS_30	yo yasya Darmasya samanantaro DarmaH sa tasya kramaH
sp008-001351_YS_30	piRqaH pracyavate GawaH upajAyata iti DarmapariRAmakramaH
sp008-001352_YS_30	lakzaRapariRAmakramo Gawasya anAgataBAvAt vartamAnaBAvakramaH
sp008-001353_YS_30	taTA piRqasya vartamAnaBAvAt atItaBAvakramaH
sp008-001354_YS_30	na atItasya asti kramaH
sp008-001355_YS_30	kasmAt pUrvaparatAyAm satyAm samanantaratvam
sp008-001356_YS_30	sA tu nAsti atItasya
sp008-001357_YS_30	tasmAt dvayoreva lakzaRayoH kramaH
sp008-001358_YS_30	taTA avasTApariRAmakramoऽpi
sp008-001359_YS_30	Gawasya aBinavasya prAnte purARatA dfSyate
sp008-001360_YS_30	sA ca kzaRaparamparAnupAtinA krameRABivyajyamAnA parAm vyaktim Apadyata iti
sp008-001361_YS_30	DarmalakzaRAByAm ca viSizwoऽyam tftIyaH pariRAmaH iti
sp008-001362_YS_30	ta ete kramA DarmaDarmiBede sati pratilabDasvarUpAH
sp008-001363_YS_30	Darmoऽpi DarmI Bavati anyaDarmasvarUpApekzayA iti
sp008-001364_YS_30	yadA tu paramArTato DarmiRi aBedopacAraH taddvAreRa sa eva aBiDIyate DarmaH tadA ayamekatvenEva kramaH pratyavaBAsate
sp008-001365_YS_30	cittasya dvaye DarmAH paridfzwASca aparidfzwASca
sp008-001366_YS_30	tatra pratyayAtmakAH paridfzwAH
sp008-001367_YS_30	vastumAtrAtmakAH aparidfzwAH
sp008-001368_YS_30	te ca saptEva Bavati anumAnena prApitavastumAtrasadBAvAH
sp008-001369_YS_30	niroDaDarmasaMskArAH pariRAmoऽTa jIvanam
sp008-001370_YS_30	cezwA SaktiSca cittasya DarmA darSanavarjitAH iti
sp008-001371_YS_31	ato yogena upAttasarvasADanasya buButsitArTapratipattaye saMyamasya vizayaH upakzipyate
sp008-001372_YS_31	pariRAmatraya saMyamAdatItAnAgatajYAnam
sp008-001373_YS_31	DarmalakzaRAvasTApariRAmezu saMyamAt yoginAm Bavati atItAnAgatajYAnam
sp008-001374_YS_31	DAraRADyAnasamADitrayam ekatra saMyamaH uktaH
sp008-001375_YS_31	tena pariRAmatrayam sAkzAt kriyamARam atItAnAgatajYAnam tezu sampAdayati
sp008-001376_YS_31	SabdArTapratyayAnAm itaretarADyAsAt saNkaraH tatpraviBAgasaMyamAt sarvaBUtarutajYAnam
sp008-001377_YS_31	tatra vAk varRezveva arTavatI
sp008-001378_YS_31	Srotram ca DvanipariRAma mAtra vizayam
sp008-001379_YS_31	padam punaH nAdAnusaMhAra budDi nirgrAhyam iti
sp008-001380_YS_31	varRAH ekasamayAsamBavitvAt paraspara niranugrahAtmAnaH
sp008-001381_YS_31	te padam asaMspfSya anupasTApya AvirBUtAH tiroBUtASca iti pratyekam apadasvarUpAH ucyante
sp008-001382_YS_31	varRaH punaH ekEkaH padAtmA sarvABiDAnaSaktipracitaH sahakArivarRAntarapratiyogitvAt vESvarUpyamiva ApannaH
sp008-001383_YS_31	pUrvaSca uttareRa uttaraSca pUrveRa viSeze avasTApitaH iti
sp008-001384_YS_31	evam bahavo varRAH kramAnuroDinaH arTasaNketena avacCinnAH iyantaH ete sarvABiDAnaSaktiparivfttAH gakArOkAravisarjanIyAH sAsnAdimantam arTam dyotayantIti
sp008-001385_YS_31	tat etezAm arTasaNketena avacCinnAnAm upasaMhftaDvanikramARAm yaH ekaH budDinirBAsaH tatpadam vAcakam vAcyasya saNketyate
sp008-001386_YS_31	tadekam padam ekabudDivizayam ekaprayatnAkziptam aBAgam akramam avarRam
sp008-001387_YS_31	bOdDam antyavarRapratyaya vyApAropasTApitam paratra pratipipAdayizayA varREreva aBiDIyamAnEH SrUyamARESca SrotfBiH anAdi vAgvyavahAra vAsanAnuvidDayA lokabudDyA sidDavatsam pratipattyA pratIyate
sp008-001388_YS_31	tasya saNketabudDitaH praviBAgaH
sp008-001389_YS_31	etAvatAm evaYjAtIyakaH anusaMhAraH etasya arTasya vAcakaH iti
sp008-001390_YS_31	saNketastu pada padArTayoH itaretarADyAsarUpaH smftyAtmako yoऽyam SabdaH soऽyamarTaH
sp008-001391_YS_31	yoऽrTaH sa SabdaH iti
sp008-001392_YS_31	evam itaretarADyAsarUpaH saNketo BavatIti
sp008-001393_YS_31	evam ete SabdArTapratyayAH itaretarADyAsAt saNkIrRAH
sp008-001394_YS_31	gOriti Sabdo gOrityarTo gOriti jYAnam
sp008-001395_YS_31	yaH ezAm praviBAgajYaH saH sarvavit
sp008-001396_YS_31	sarvapadezu cAsti vAkyaSaktiH
sp008-001397_YS_31	vfkzaH ityukte astIti gamyate
sp008-001398_YS_31	na sattAm padArTO vyaBicarati iti
sp008-001399_YS_31	taTA na hi asADanA kriyA astIti
sp008-001400_YS_31	taTA ca pacatItyukte sarvakArakARAm AkzepaH
sp008-001401_YS_31	niyamArTaH anuvAdaH kartfkaraRakarmaRAm cEtrAgnitaRqulAnAm iti
sp008-001402_YS_31	dfzwam ca vAkyArTe padaracanam SrotriyaH CandoऽDIte jIvati prARAn DArayati
sp008-001403_YS_31	tatra vAkye padArTABivyaktiH tataH padam praviBajya vyAkaraRIyam kriyAvAcakam vA kArakavAcakam vA
sp008-001404_YS_31	anyaTA Bavati aSvaH ajApayaH ityevamAdizu nAmAKyAtasArUpyAt anirjYAtam kaTam kriyAyAm kArake vA vyAkriyeta iti
sp008-001405_YS_31	tezAm SabdArTapratyayAnAm praviBAgaH
sp008-001406_YS_31	tadyaTA Svetate prAsAda iti kriyArTaH
sp008-001407_YS_31	SvetaH prAsAdaH iti kArakArTaH SabdaH
sp008-001408_YS_31	kriyAkArakAtmA tadarTaH pratyayaSca
sp008-001409_YS_31	kasmAt soऽyam ityaBisambanDAt ekAkAra eva pratyayaH saNketaH iti
sp008-001410_YS_31	yastu SvetoऽrTaH sa SabdapratyayayoH AlambanIBUtaH
sp008-001411_YS_31	sa hi svABiH avasTABiH vikriyamARaH na SabdasahagataH na budDisahagataH
sp008-001412_YS_31	evam SabdaH evam pratyayaH netaretarasahagataH iti
sp008-001413_YS_31	anyaTA SabdaH anyaTArTaH anyaTA pratyayaH iti viBAgaH
sp008-001414_YS_31	evam tatpraviBAgasaMyamAt yoginaH sarvaBUtarutajYAnam sampadyate iti
sp008-001415_YS_32	saMskArasAkzAtkaraRAt pUrvajAtijYAnam
sp008-001416_YS_32	dvaye KalvamI saMskArAH
sp008-001417_YS_32	smftikleSahetavo vAsanArUpAH vipAkahetavo DarmADarmarUpAH
sp008-001418_YS_32	te pUrvaBavABisaMskftAH pariRAmacezwA niroDaSaktijIvana Darmavat aparidfzwAH cittaDarmAH
sp008-001419_YS_32	tezu saMyamaH saMskArasAkzAtkriyAyE samarTaH
sp008-001420_YS_32	na ca deSakAlanimittAnuBavEH vinA tezAm asti sAkzAtkaraRam
sp008-001421_YS_32	taditTam saMskArasAkzAtkaraRAt pUrvajAtijYAnam utpadyate yoginaH
sp008-001422_YS_32	paratrApi evameva saMskArasAkzAtkaraRAt parajAtisaMvedanam
sp008-001423_YS_32	atredamAKyAnam SrUyate Bagavato jEgIzavyasya saMskArasAkzAtkaraRAt daSasu mahAsargezu janmapariRAmakramam anupaSyato vivekajam jYAnam prAduraBavat
sp008-001424_YS_32	aTa BagavAn AvawyastanuDaraH tamuvAca
sp008-001425_YS_32	daSasu mahAsargezu BavyatvAt anaBiBUtabudDisattvena tvayA narakatiryaggarBasamBavam duHKam sampaSyatA devamanuzyezu punaHpunaH utpadyamAnena suKaduHKayoH kimaDikam upalabDam iti
sp008-001426_YS_32	Bagavantam Avawyam jEgIzavyaH uvAca
sp008-001427_YS_32	daSasu mahAsargezu BavyatvAt anaBiBUtabudDisattvena mayA narakatiryagBavam duHKam sampaSyatA devamanuzyezu punaHpunaH utpadyamAnena yatkiYcidanuBUtam tatsarvam duHKameva pratyavEmi
sp008-001428_YS_32	BagavAn Avawya uvAca
sp008-001429_YS_32	yadidam AyuzmataH praDAnavaSitvam anuttamam ca santozasuKam kimidamapi duHKapakze nikziptam iti
sp008-001430_YS_32	BagavAn jEgIzavya uvAca
sp008-001431_YS_32	vizayasuKApekzayA eva idam anuttamam santozasuKam uktam kEvalyApekzayA duHKameva
sp008-001432_YS_32	budDisattvasya ayam DarmaH triguRaH
sp008-001433_YS_32	triguRaSca pratyayo heyapakze nyastaH iti
sp008-001434_YS_32	duHKarUpaH tfzRAtantuH
sp008-001435_YS_32	tfzRAduHKasantAnApagamAttu prasannam abADam sarvAnukUlam suKamidam uktamiti
sp008-001436_YS_32	pratyayasya paracittajYAnam
sp008-001437_YS_32	pratyaye saMyamAt pratyayasya sAkzAt karaRAttataH paracittajYAnam
sp008-001438_YS_32	na ca tat sAlambanam tasya avizayIBUtatvAt
sp008-001439_YS_32	raktam pratyayam jAnAti amuzminnAlambane raktamiti na jAnAti
sp008-001440_YS_32	parapratyayasya yadAlambanam tadyogicittena nAlambanIkftam
sp008-001441_YS_32	parapratyayamAtram tu yogicittasya AlambanIBUtamiti
sp008-001442_YS_32	kAyarUpasaMyamAt tadgrAhyaSaktistamBe cakzuHprakASAsamprayogeऽntarDAnam
sp008-001443_YS_32	kAyasya rUpe saMyamAt rUpasya yA grAhyA SaktiH tAm pratibaDnAti
sp008-001444_YS_32	grAhyaSaktistamBe sati cakzuHprakASAsamprayoge antarDAnam ityutpadyate yoginaH
sp008-001445_YS_32	etena SabdAdyantarDAnamuktam veditavyam
sp008-001446_YS_32	sopakramam nirupakramam ca karma tatsaMyamAt aparAntajYAnam arizweByo vA
sp008-001447_YS_32	AyurvipAkam karma dviviDam sopakramam nirupakramam ca
sp008-001448_YS_32	tatra yaTA Ardravastram vitAnitam laGIyasA kAlena Suzyet taTA sopakramam
sp008-001449_YS_32	yaTA ca tadeva sampiRqitam cireRa saMSuzyet evam nirupakramam
sp008-001450_YS_32	yaTA cAgniH Suzke kakze mukto vAtena samantato yuktam kzepIyasA kAlena dahet taTA sopakramam
sp008-001451_YS_32	yaTA vA sa evAgniH tfRarASO kramataH avayavezu nyastaH cireRa dahet taTA nirupakramam
sp008-001452_YS_32	tatsaMyamAt aparAntajYAnam arizweByo vA
sp008-001453_YS_32	mEtryAdizu balAni
sp008-001454_YS_32	mEtrI karuRA muditA iti tisro BAvanAH
sp008-001455_YS_32	tatra BUtezu suKitezu mEtrIm BAvayitvA karuRAbalam laBate
sp008-001456_YS_32	puRyaSIlezu muditAm BAvayitvA muditAbalam laBate
sp008-001457_YS_32	BAvanAtaH samADiH yaH sa saMyamaH
sp008-001458_YS_32	tato balAni abanDyavIryARi jAyante
sp008-001459_YS_32	pApaSIlezu upekzA na tu BAvanA
sp008-001460_YS_32	tataSca tasyAm nAsti samADirityato na balam upekzAtaH tatra saMyamABAvAt iti
sp008-001461_YS_33	balezu hastibalAdIni
sp008-001462_YS_33	hastibale saMyamAt hastibalo Bavati
sp008-001463_YS_33	vEnateyabale saMyamAt vEnateyabalo Bavati
sp008-001464_YS_33	vAyubale saMyamAt vAyubalaH ityevamAdi
sp008-001465_YS_33	pravfttyAloka nyAsAt sUkzmavyavahita viprakfzwajYAnam
sp008-001466_YS_33	jyotizmatI pravfttiruktA manasaH
sp008-001467_YS_33	tasyAm yaH AlokaH tam yogI sUkzme vA vyavahite vA viprakfzwe vArTe vinyasya tamarTam aDigacCati
sp008-001468_YS_33	BuvanajYAnam sUrye saMyamAt
sp008-001469_YS_33	tatprasAraH saptalokAH
sp008-001470_YS_33	tatra avIceH praBfti merupfzWam yAvat ityeva BUrlokaH
sp008-001471_YS_33	merupfzWAdAraBya ADruvAt grahanakzatratArAvicitraH antarikzalokaH
sp008-001472_YS_33	tatparaH svarlokaH paYcaviDaH mAhendraH tftIyo lokaH
sp008-001473_YS_33	caturTaH prAjApatyo maharlokaH
sp008-001474_YS_33	triviDo brAhmaH tadyaTA janalokaH tapolokaH satyalokaH iti
sp008-001475_YS_33	brAhmastriBUmiko lokaH prAjApatyastato mahAn
sp008-001476_YS_33	mAhendraSca svarityukto divi tArA Buvi prajAH iti saNgrahaSlokaH
sp008-001477_YS_33	tatra avIceH uparyupari nivizwAH zaw mahAnarakaBUmayaH GanasalilAnalAkASatamaHpratizWA mahAkAlAmbarIza rOrava mahArOrava kAlasUtrAnDatamisrAH
sp008-001478_YS_33	yatra svakarmopArjitaduHKavedanAH prARinaH kazwam AyurdIrGam Akzipya jAyante
sp008-001479_YS_33	tato mahAtala rasAtalAtala sutala vitala talAtala pAtAlAKyAni sapta pAtAlAni
sp008-001480_YS_33	BUmiriyam azwamI saptadvIpA vasumatI yasyAH sumeruH maDye parvatarAjaH kAYcanaH
sp008-001481_YS_33	tasya rAjata vEqUrya sPawika hema maRimayAni SfNgARi
sp008-001482_YS_33	tatra vEqUryapraBAnurAgAt nIlotpalapatraSyAmaH naBasaH dakziRo BAgaH
sp008-001483_YS_33	SvetaH pUrvaH svacCaH paScimaH kuruRqakABaH uttaraH
sp008-001484_YS_33	dakziRapArSve cAsya jambUH
sp008-001485_YS_33	yatoऽyam jambUdvIpaH tasya sUryapracArAt rAtrindivam lagnamiva vivartate
sp008-001486_YS_33	tasya nIlaSvetaSfNgasya udIcInAH trayaH parvatAH dvisahasrAyAmAH
sp008-001487_YS_33	tadantarezu trIRi varzARi navanavayojanasAhasrARi ramaRakam hiraRmayam uttarAH kuravaH iti
sp008-001488_YS_33	nizaDa hemakUwa himaSElAH dakziRato dvisahasrAyAmAH
sp008-001489_YS_33	tadantarezu trIRi varzARi navanavayojanasAhasrARi harivarzam kimpuruzam BAratamiti
sp008-001490_YS_33	sumeroH prAcInA BadrASvA mAlyavat sImAnaH
sp008-001491_YS_33	pratIcInAH ketumAlAH ganDamAdanasImAnaH
sp008-001492_YS_33	maDye varzamilAvftam
sp008-001493_YS_33	tadetat yojanaSatasahasram sumeroH diSi diSi tadarDena vyUQam
sp008-001494_YS_33	sa Kalvayam SatasahasrAyAmo jambUdvIpaH tato dviguRena lavaRodaDinA valayAkftinA vezwitaH
sp008-001495_YS_33	tataSca dviguRAH dviguRAH SAka kuSa krOYca SAlmala magaDa puzkara dvIpAH saptasamudrASca sarzaparASikalpAH savicitraSElAvataMsAH ikzurasa surA sarpirdaDi maRqa kzIra svAdUdakAH
sp008-001496_YS_33	saptasamudraparivezwitAH valayAkftayaH lokAlokaparvataparivArAH paYcASadyojanakowiparisaNKyAtAH
sp008-001497_YS_33	tadetatsarvam supratizWitasaMsTAnamaRqamaDye vyUQam
sp008-001498_YS_33	aRqam ca praDAnasTARuravayavo yaTAkASe Kadyota iti
sp008-001499_YS_33	tatra pAtAle jalaDO parvatezu etezu devanikAyA asuraganDarvakinnara kimpuruza yakzarAkzasaBUtapreta piSAcApasmArakApsaro brahmarAkzasa kUzmARqavinAyakAH prativasanti
sp008-001500_YS_33	sarvezu dvIpezu puRyAtmAno devamanuzyAH
sp008-001501_YS_33	sumeruH tridaSAnAm udyAnaBUmiH
sp008-001502_YS_33	tatra miSravanam nandanam cEtraraTam sumAnasam iti udyAnAni
sp008-001503_YS_33	suDarmA devasaBA
sp008-001504_YS_33	sudarSanam puram
sp008-001505_YS_33	vEjayantaH prAsAdaH
sp008-001506_YS_33	grahanakzatratArakAstu Druve nibadDAH vAyuvikzepaniyamena upalakzitapracArAH sumeroH uparyupari sannivizwAH viparivartante
sp008-001507_YS_33	mAhendranivAsinaH zaqdevanikAyAH tridaSAH agnizvAttAH yAmyAH tuzitAH aparinirmitavaSavartinaH parinirmitavaSavartinaSca iti
sp008-001508_YS_34	te sarve saNkalpasidDAH aRimAdyESvaryopapannAH kalpAyuzaH vfndArakAH kAmaBoginaH OpapAdikadehAH uttamAnukUlABiH apsaroBiH kftaparivArAH
sp008-001509_YS_34	mahati loke prAjApatye paYcaviDo devanikAyaH kumudAH fBavaH pratardanAH aYjanABAH pracitABAH iti
sp008-001510_YS_34	ete mahABUtavaSinaH DyAnAhArAH kalpasahasrAyuzaH
sp008-001511_YS_34	praTame brahmaRo janaloke caturviDo devanikAyaH brahmapurohitAH brahmakAyikAH brahmamahAkAyikAH ajarAmarAH iti
sp008-001512_YS_34	ete BUtendriyavaSinaH dviguRadviguRottarAyuzaH
sp008-001513_YS_34	dvitIye tapasi loke triviDo devanikAyaH ABAsvarAH mahABAsvarAH satyamahABAsvarAH iti
sp008-001514_YS_34	ete BUtendriyaprakftivaSinaH dviguRadviguRottarAyuzaH
sp008-001515_YS_34	sarve DyAnAhArAH UrDvaretasaH UrDvamapratihatajYAnAH aDaraBUmizu anAvftajYAnavizayAH
sp008-001516_YS_34	tftIye brahmaRaH satyaloke catvAro devanikAyaH acyutAH SudDanivAsAH satyABAH saYjYAsaYjYinaSca iti
sp008-001517_YS_34	akftaBavananyAsAH svapratizWAH uparyuparisTitAH praDAnavaSinaH yAvatsargAyuzaH
sp008-001518_YS_34	tatra acyutAH savitarkaDyAnasuKAH
sp008-001519_YS_34	SudDanivAsAH savicAraDyAnasuKAH
sp008-001520_YS_34	satyABAH AnandamAtraDyAnasuKAH
sp008-001521_YS_34	saYjYAsaYjYinaSca asmitAmAtraDyAnasuKAH
sp008-001522_YS_34	teऽpi trElokyamaDye pratitizWanti
sp008-001523_YS_34	ta ete sapta lokAH sarva eva brahmalokAH
sp008-001524_YS_34	videhaprakftilayAstu mokzapade vartante na lokamaDye nyastAH iti
sp008-001525_YS_34	etadyoginAm sAkzAtkartavyam sUryadvAre saMyamam kftvA tataH anyatrApi evam tAvat aByaset yAvadidam sarvam dfzwamiti
sp008-001526_YS_34	candre tArAvyUhajYAnam
sp008-001527_YS_34	candre saMyamam kftvA tArAvyUham vijAnIyAt
sp008-001528_YS_34	Druve tadgatijYAnam
sp008-001529_YS_34	tato Druve saMyamam kftvA tArARAm gatim jAnIyAt
sp008-001530_YS_34	UrDvavimAnezu kftasaMyamaH tAni vijAnIyAt
sp008-001531_YS_34	nABicakre kAyavyUhajYAnam
sp008-001532_YS_34	nABicakre saMyamam kftvA kAyavyUham vijAnIyAt
sp008-001533_YS_34	vAtapittaSlezmARaH trayo dozAH santi
sp008-001534_YS_34	DAtavaH sapta tvaglohitamAMsa snAyvasTi majjASukrARi
sp008-001535_YS_34	pUrvam pUrvamezAm bAhyam ityezaH vinyAsaH
sp008-001536_YS_34	kaRWakUpe kzutpipAsAnivfttiH
sp008-001537_YS_34	jihvAyAH aDastAt tantuH
sp008-001538_YS_34	tatoऽDastAt kaRWaH
sp008-001539_YS_34	tatoऽDastAt kUpaH
sp008-001540_YS_34	tatra saMyamAt kzutpipAse na bADete
sp008-001541_YS_34	kUrmanAqyAm sTEryam
sp008-001542_YS_34	kUpAdaDaH urasi kUrmAkArA nAqI
sp008-001543_YS_34	tasyAm kftasaMyamaH sTirapadam laBate
sp008-001544_YS_34	yaTA sarpo goDA veti
sp008-001545_YS_34	mUrDajyotizi sidDadarSanam
sp008-001546_YS_34	SiraHkapAleऽntaH Cidram praBAsvaram jyotiH
sp008-001547_YS_34	tatra saMyamAt sidDAnAm dyAvApfTivyoH antarAlacAriRAm darSanam
sp008-001548_YS_34	prAtiBAdvA sarvam
sp008-001549_YS_34	prAtiBam nAma tArakam
sp008-001550_YS_34	tadvivekajasya jYAnasya pUrvarUpam
sp008-001551_YS_34	yaTodaye praBA BAskarasya
sp008-001552_YS_34	tena vA sarvameva jAnAti yogI prAtiBasya jYAnasya utpattAviti
sp008-001553_YS_34	hfdaye cittasaMvit
sp008-001554_YS_34	yadidam asmin brahmapure daharam puRqarIkam veSma tatra vijYAnam
sp008-001555_YS_34	tasmin saMyamAt cittasaMvit
sp008-001556_YS_34	sattvapuruzayoratyantAsaNkIrRayoH pratyayAviSezo BogaH parArTatvAt svArTasaMyamAt puruzajYAnam
sp008-001557_YS_34	budDisattvam praKyASIlam samAnasattvopanibanDane rajastamasO vaSIkftya sattvapuruzAnyatApratyayena pariRatam
sp008-001558_YS_34	tasmAcca sattvAt pariRAminaH atyantaviDarmA viSudDaH anyaH citimAtrarUpaH puruzaH
sp008-001559_YS_34	tayoH atyantAsaNkIrRayoH pratyayAviSezo BogaH puruzasya darSitavizayatvAt
sp008-001560_YS_34	sa BogapratyayaH sattvasya parArTatvAt dfSyaH
sp008-001561_YS_34	yastu tasmAdviSizwaH citimAtrarUpaH anyaH pOruzeyaH pratyayaH tatra saMyamAt puruzavizayA prajYA jAyate
sp008-001562_YS_34	na ca puruzapratyayena budDisattvAtmanA puruzo dfSyate
sp008-001563_YS_34	puruza eva tam pratyayam svAtmAvalambam paSyati
sp008-001564_YS_34	taTA hyuktam vijYAtAramare kena vijAnIyAt iti
sp008-001565_YS_35	tataH prAtiBa SrAvaRa vedanAऽऽdarSAsvAdavArtA jAyante
sp008-001566_YS_35	prAtiBAt sUkzmavyavahita viprakfzwAtItAnAgatajYAnam
sp008-001567_YS_35	SrAvaRAt divyaSabdaSravaRam
sp008-001568_YS_35	vedanAt divyasparSADigamaH
sp008-001569_YS_35	AdarSAt divyarUpasaMvit
sp008-001570_YS_35	AsvAdAt divyarasasaMvit
sp008-001571_YS_35	vArtAto divyaganDavijYAnam ityetAni nityam jAyante
sp008-001572_YS_35	te samADAvupasargAH vyutTAne sidDayaH
sp008-001573_YS_35	te pratiBAdayaH samAhitacittasya utpadyamAnAH upasargAH taddarSanapratyanIkatvAt
sp008-001574_YS_35	vyutTitacittasya utpadyamAnAH sidDayaH
sp008-001575_YS_35	banDakAraRaSETilyAt pracArasaMvedanAcca cittasya paraSarIrAveSaH
sp008-001576_YS_35	lokIBUtasya manasoऽpratizWasya SarIre karmASayavaSAt banDaH pratizWA ityarTaH
sp008-001577_YS_35	tasya karmaRo banDakAraRasya SETilyam samADibalAt Bavati
sp008-001578_YS_35	pracArasaMvedanam ca cittasya samADijameva
sp008-001579_YS_35	karmabanDakzayAt svacittasya pracArasaMvedanAcca yogI cittam svaSarIrAt nizkfzya SarIrAntarezu nikzipati
sp008-001580_YS_35	nikziptam cittam cendriyARi anupatanti
sp008-001581_YS_35	yaTA maDukararAjAnam makzikA utpatantam anUtpatanti niviSamAnam anuniviSante taTendriyARi paraSarIrAveSe cittam anuviDIyante iti
sp008-001582_YS_35	udAnajayAjjalapaNka kaRwakAdizvasaNga utkrAntiSca
sp008-001583_YS_35	samastendriyavfttiH prARAdilakzaRaH jIvanam
sp008-001584_YS_35	tasya kriyA paYcatayI
sp008-001585_YS_35	prARo muKanAsikAgatiH AhfdayavfttiH
sp008-001586_YS_35	samam nayanAt samAnaSca AnABivfttiH
sp008-001587_YS_35	apanayanAt apAnaH ApAdatalavfttiH
